PG.ProteinGroups,control,high,low,unknown
A0A024R1R8;Q9Y2S6,0.5294117647058824,0.5113636363636364,0.5967741935483871,0.75
A0A075B6H9,0.9803921568627451,0.9772727272727273,0.978494623655914,1.0
A0A075B6I0,0.9019607843137255,0.9204545454545454,0.8924731182795699,0.75
A0A075B6I1,0.49673202614379086,0.6136363636363636,0.5752688172043011,0.25
A0A075B6I4,0.673202614379085,0.7102272727272727,0.7365591397849462,0.25
A0A075B6I9,0.5228758169934641,0.5852272727272727,0.45698924731182794,0.25
A0A075B6J1,0.16993464052287582,0.23863636363636365,0.23118279569892472,0.25
A0A075B6J9,0.9019607843137255,0.9090909090909091,0.956989247311828,1.0
A0A075B6K2,0.16993464052287582,0.23295454545454544,0.1989247311827957,0.0
A0A075B6K4,0.9150326797385621,0.9034090909090909,0.9086021505376344,1.0
A0A075B6K5,1.0,1.0,1.0,1.0
A0A075B6K6,0.22875816993464052,0.19318181818181818,0.1881720430107527,0.25
A0A075B6P5;P01615,0.9673202614379085,0.9886363636363636,1.0,1.0
A0A075B6Q5,0.43137254901960786,0.5227272727272727,0.5,0.75
A0A075B6R2,0.5947712418300654,0.6818181818181818,0.6290322580645161,0.5
A0A075B6R9;A0A0C4DH68,0.6862745098039216,0.8068181818181818,0.7903225806451613,1.0
A0A075B6S2,0.2549019607843137,0.32954545454545453,0.3172043010752688,0.25
A0A075B6S5,0.24183006535947713,0.36363636363636365,0.43010752688172044,0.0
A0A075B6S6,0.06535947712418301,0.10795454545454546,0.12903225806451613,0.25
A0A075B6S9;P0DSN7,0.1503267973856209,0.18181818181818182,0.16129032258064516,0.25
A0A087WSX0,0.9934640522875817,1.0,0.9838709677419355,1.0
A0A087WSY4,0.6274509803921569,0.7215909090909091,0.6612903225806451,0.75
A0A087WSY6,0.7254901960784313,0.7613636363636364,0.7473118279569892,1.0
A0A087WSZ0,0.08496732026143791,0.19318181818181818,0.10215053763440861,0.25
A0A087WW87;P01614,0.24183006535947713,0.3068181818181818,0.3172043010752688,0.25
A0A0A0MRZ8;P04433,0.9934640522875817,0.9886363636363636,0.9946236559139785,1.0
A0A0A0MRZ9,0.1895424836601307,0.13068181818181818,0.1881720430107527,0.0
A0A0A0MS00,0.006535947712418301,0.011363636363636364,0.016129032258064516,0.0
A0A0A0MS15,0.9934640522875817,1.0,0.989247311827957,1.0
A0A0A0MT36,0.3202614379084967,0.36363636363636365,0.3225806451612903,0.5
A0A0A0MT89,0.3137254901960784,0.4147727272727273,0.43010752688172044,0.5
A0A0B4J1U3,0.5163398692810458,0.5568181818181818,0.4838709677419355,0.75
A0A0B4J1U7,0.9477124183006536,0.9715909090909091,0.989247311827957,1.0
A0A0B4J1V0,0.9803921568627451,0.9659090909090909,0.9623655913978495,1.0
A0A0B4J1V2,0.6405228758169934,0.7272727272727273,0.7150537634408602,1.0
A0A0B4J1V6,0.6143790849673203,0.6875,0.7043010752688172,1.0
A0A0B4J1X5,0.9934640522875817,0.9943181818181818,0.989247311827957,1.0
A0A0B4J1Y8,0.8758169934640523,0.9034090909090909,0.9086021505376344,1.0
A0A0B4J1Y9,1.0,1.0,1.0,1.0
A0A0B4J2D9;P0DP09,0.1830065359477124,0.22727272727272727,0.27419354838709675,0.25
A0A0C4DH24,0.17647058823529413,0.18181818181818182,0.16129032258064516,0.5
A0A0C4DH25,0.9150326797385621,0.9261363636363636,0.967741935483871,1.0
A0A0C4DH29,0.477124183006536,0.5170454545454546,0.521505376344086,0.0
A0A0C4DH31,0.6666666666666666,0.7443181818181818,0.7204301075268817,0.75
A0A0C4DH33,0.3790849673202614,0.48863636363636365,0.3978494623655914,0.5
A0A0C4DH34,0.9150326797385621,0.9204545454545454,0.9301075268817204,1.0
A0A0C4DH35,0.24183006535947713,0.3068181818181818,0.25268817204301075,1.0
