"Metric","Level","N_pairs","Median","Q25","Q75","Variable","Spearman_rho"
"PC1","20250913",50,-9.4105714599299,-13.4225912369467,-6.3336823015204,"Acquisition_date",
"PC1","20250914",69,-13.1334663636762,-16.3896839809343,-9.06582408870979,"Acquisition_date",
"PC1","20251001",116,-12.8171253908797,-17.2124258123397,-6.47945691083732,"Acquisition_date",
"PC1","20251026",12,-1.15515421068845,-6.11024731464873,1.61710827429816,"Acquisition_date",
"PC1","20251104",2,-23.2251190488404,-25.3319122210288,-21.118325876652,"Acquisition_date",
"PC1","20251107",1,-17.504756549348,-17.504756549348,-17.504756549348,"Acquisition_date",
"PC1","20260527",142,1.42249487798079,-1.99588678214248,4.93605372611192,"Acquisition_date",
"PC1","20260717",123,21.2732125190738,16.7836979662517,24.2099807627419,"Acquisition_date",
"PC2","20250913",50,-4.00560915344054,-5.56330412053165,0.761657305516665,"Acquisition_date",
"PC2","20250914",69,-0.770218866915747,-5.25458708804224,4.93867685850096,"Acquisition_date",
"PC2","20251001",116,7.68761300316933,0.561068615416956,15.5729923502084,"Acquisition_date",
"PC2","20251026",12,-4.37978945732899,-6.99287302472722,-3.44768336757004,"Acquisition_date",
"PC2","20251104",2,-5.2929154524229,-5.61893065449632,-4.96690025034947,"Acquisition_date",
"PC2","20251107",1,-0.127017636822978,-0.127017636822978,-0.127017636822978,"Acquisition_date",
"PC2","20260527",142,-7.87743609686327,-10.7416997195664,-4.9629368046195,"Acquisition_date",
"PC2","20260717",123,-1.40803065606558,-5.40383040420719,6.92905646932218,"Acquisition_date",
"UMAP1","20250913",50,0.322924388584328,0.150711374369097,0.529019007471037,"Acquisition_date",
"UMAP1","20250914",69,0.999162653472853,0.556657711055708,1.45143471100612,"Acquisition_date",
"UMAP1","20251001",116,4.74746260979457,4.08256367781444,5.34547970631404,"Acquisition_date",
"UMAP1","20251026",12,0.519340345647765,0.437853371736241,0.560268560436202,"Acquisition_date",
"UMAP1","20251104",2,1.11248607375903,1.05808448233886,1.16688766517921,"Acquisition_date",
"UMAP1","20251107",1,5.60671339371486,5.60671339371486,5.60671339371486,"Acquisition_date",
"UMAP1","20260527",142,5.03130970337672,4.6265989337234,5.45974216797633,"Acquisition_date",
"UMAP1","20260717",123,-10.8874815907212,-11.385030647728,-10.2550510372849,"Acquisition_date",
"UMAP2","20250913",50,1.25976232142703,0.613501344635649,1.6917729720618,"Acquisition_date",
"UMAP2","20250914",69,2.21038172097461,1.30873188824908,3.04016492219226,"Acquisition_date",
"UMAP2","20251001",116,2.31827959866778,1.35281864257113,3.09866509289996,"Acquisition_date",
"UMAP2","20251026",12,-0.314789827153521,-0.401093856603341,-0.113543006763296,"Acquisition_date",
"UMAP2","20251104",2,2.02120432706134,1.98071054072635,2.06169811339633,"Acquisition_date",
"UMAP2","20251107",1,2.68456575722949,2.68456575722949,2.68456575722949,"Acquisition_date",
"UMAP2","20260527",142,-9.33806445746167,-9.83929016737683,-8.73865153937085,"Acquisition_date",
"UMAP2","20260717",123,6.57460567803637,6.10522148461596,7.19605371804492,"Acquisition_date",
"detected_protein_groups","20250913",50,2136.5,2030.75,2297,"Acquisition_date",
"detected_protein_groups","20250914",69,2230,1987,2559,"Acquisition_date",
"detected_protein_groups","20251001",116,2254.5,2033.25,2571,"Acquisition_date",
"detected_protein_groups","20251026",12,2125,1982,2166.5,"Acquisition_date",
"detected_protein_groups","20251104",2,2757.5,2679.75,2835.25,"Acquisition_date",
"detected_protein_groups","20251107",1,3463,3463,3463,"Acquisition_date",
"detected_protein_groups","20260527",142,1893,1707.25,2177.5,"Acquisition_date",
"detected_protein_groups","20260717",123,1836,1638.5,2023.5,"Acquisition_date",
"log2_median","20250913",50,9.3982761969675,9.20621961316354,9.63155797905531,"Acquisition_date",
"log2_median","20250914",69,9.6398910171742,9.4100102986639,9.80590541227219,"Acquisition_date",
"log2_median","20251001",116,9.5921296636112,9.23378652587784,9.87136802042375,"Acquisition_date",
"log2_median","20251026",12,9.18965161121973,9.07985100356976,9.28858368760659,"Acquisition_date",
"log2_median","20251104",2,10.2138394689047,10.0758257318624,10.3518532059469,"Acquisition_date",
"log2_median","20251107",1,10.6259259550414,10.6259259550414,10.6259259550414,"Acquisition_date",
"log2_median","20260527",142,9.22494142585535,9.09320193610014,9.36825622079381,"Acquisition_date",
"log2_median","20260717",123,8.39520898762286,8.30173730345361,8.55875874868291,"Acquisition_date",
"missing_pct","20250913",50,44.0267225569819,39.8218496201205,46.7972229499607,"Acquisition_date",
"missing_pct","20250914",69,41.577154833639,32.957820277705,47.943411055803,"Acquisition_date",
"missing_pct","20251001",116,40.9352894943673,32.6434372543883,46.7317264867697,"Acquisition_date",
"missing_pct","20251026",12,44.3280062876605,43.2407649986901,48.074403982185,"Acquisition_date",
"missing_pct","20251104",2,27.7574011003406,25.7204610951009,29.7943411055803,"Acquisition_date",
"missing_pct","20251107",1,9.27429918784386,9.27429918784386,9.27429918784386,"Acquisition_date",
"missing_pct","20260527",142,50.4060780717841,42.9525805606497,55.2724652868745,"Acquisition_date",
"missing_pct","20260717",123,51.8993974325386,46.9871626932146,57.0736180246267,"Acquisition_date",
"PC1","湿热",279,1.08067557859052,-12.4319809893961,20.3337587419688,"Environment",
"PC1","高海拔",236,-2.86824371425719,-10.782352606882,2.93646642885077,"Environment",
"PC2","湿热",279,-1.62125378352733,-5.2692726750816,5.0002219380132,"Environment",
"PC2","高海拔",236,-4.57811982167655,-8.76637870127542,4.46848677555561,"Environment",
"UMAP1","湿热",279,0.154517786589099,-10.5983513798447,0.909490207221938,"Environment",
"UMAP1","高海拔",236,5.03586397507472,4.55641458370967,5.44229123928828,"Environment",
"UMAP2","湿热",279,3.21129510255115,1.51770553441302,6.36558101029651,"Environment",
"UMAP2","高海拔",236,-8.43618490843518,-9.50484087614758,1.75186780543582,"Environment",
"detected_protein_groups","湿热",279,2022,1784.5,2242,"Environment",
"detected_protein_groups","高海拔",236,2086,1805,2414,"Environment",
"log2_median","湿热",279,9.0517199142869,8.44386494805723,9.60316125715514,"Environment",
"log2_median","高海拔",236,9.3038975377412,9.13848973825506,9.62975558526687,"Environment",
"missing_pct","湿热",279,47.0264605711292,41.2627718103222,53.248624574273,"Environment",
"missing_pct","高海拔",236,45.3497511134399,36.7566151427823,52.7115535761069,"Environment",
"PC1","FJ_FQ",69,-11.9382184767534,-16.2123837645971,-4.21338951232789,"Cohort_group",
"PC1","FJ_PT",26,-14.6607755082512,-17.3744013458013,-12.792954289596,"Cohort_group",
"PC1","FJ_QZ",61,-8.61987609166547,-13.1963103134581,-2.47265942637704,"Cohort_group",
"PC1","GZ_TH",123,21.2732125190738,16.7836979662517,24.2099807627419,"Cohort_group",
"PC1","XZ_GG",142,1.42249487798079,-1.99588678214248,4.93605372611192,"Cohort_group",
"PC1","XZ_YA",22,-16.1894805622024,-20.1530622190586,-9.14419525842567,"Cohort_group",
"PC1","XZ_YB",10,-13.9393265453926,-15.2925342860243,-11.6373161718355,"Cohort_group",
"PC1","XZ_YC",34,-11.6055679339892,-16.4167593753364,-6.83778652587061,"Cohort_group",
"PC1","XZ_YD",28,-12.1889899338774,-19.2034303604654,-7.6509257604555,"Cohort_group",
"PC2","FJ_FQ",69,1.5324750911912,-2.47663098082251,10.1201168664427,"Cohort_group",
"PC2","FJ_PT",26,-5.04848314411641,-8.19030958831586,0.751067426017371,"Cohort_group",
"PC2","FJ_QZ",61,-4.10522555058183,-5.69618581084818,0.24303400305556,"Cohort_group",
"PC2","GZ_TH",123,-1.40803065606558,-5.40383040420719,6.92905646932218,"Cohort_group",
"PC2","XZ_GG",142,-7.87743609686327,-10.7416997195664,-4.9629368046195,"Cohort_group",
"PC2","XZ_YA",22,11.4879717922049,0.609016623041483,18.3816295799017,"Cohort_group",
"PC2","XZ_YB",10,-1.08131579115561,-3.13652506251071,-0.645051400241862,"Cohort_group",
"PC2","XZ_YC",34,7.13342515788142,2.22750073062614,11.5536749805344,"Cohort_group",
"PC2","XZ_YD",28,12.0977364784995,4.79993316493864,19.0696238627476,"Cohort_group",
"UMAP1","FJ_FQ",69,1.21978376248164,0.859607199218703,2.06936178543849,"Cohort_group",
"UMAP1","FJ_PT",26,0.650716954853964,0.389506163087321,1.38803451695724,"Cohort_group",
"UMAP1","FJ_QZ",61,0.398271391179991,0.194182084885073,0.554726252344084,"Cohort_group",
"UMAP1","GZ_TH",123,-10.8874815907212,-11.385030647728,-10.2550510372849,"Cohort_group",
"UMAP1","XZ_GG",142,5.03130970337672,4.6265989337234,5.45974216797633,"Cohort_group",
"UMAP1","XZ_YA",22,4.8637188468246,4.15092025139613,5.04063377716823,"Cohort_group",
"UMAP1","XZ_YB",10,5.4132143054275,5.34937212803645,5.57033954003139,"Cohort_group",
"UMAP1","XZ_YC",34,5.10671625473781,4.63608370163722,5.77588901856227,"Cohort_group",
"UMAP1","XZ_YD",28,4.78967986443324,4.41584823468013,5.42337785103602,"Cohort_group",
"UMAP2","FJ_FQ",69,1.83359715791003,1.16788682790057,2.63306233735339,"Cohort_group",
"UMAP2","FJ_PT",26,2.81526825280444,2.52505925746219,3.11323240847842,"Cohort_group",
"UMAP2","FJ_QZ",61,0.985067103817625,0.134013806297941,1.55532047601001,"Cohort_group",
"UMAP2","GZ_TH",123,6.57460567803637,6.10522148461596,7.19605371804492,"Cohort_group",
"UMAP2","XZ_GG",142,-9.33806445746167,-9.83929016737683,-8.73865153937085,"Cohort_group",
"UMAP2","XZ_YA",22,2.56034049840228,1.47834352107303,3.251560543492,"Cohort_group",
"UMAP2","XZ_YB",10,1.07544872613208,1.04368669243114,1.38358554692523,"Cohort_group",
"UMAP2","XZ_YC",34,2.16497549863116,1.22646761389033,3.082222257569,"Cohort_group",
"UMAP2","XZ_YD",28,2.91786954255359,2.58417955489413,3.35800043196933,"Cohort_group",
"detected_protein_groups","FJ_FQ",69,2065,1866,2215,"Cohort_group",
"detected_protein_groups","FJ_PT",26,2652,2511.5,2791.75,"Cohort_group",
"detected_protein_groups","FJ_QZ",61,2127,2023,2256,"Cohort_group",
"detected_protein_groups","GZ_TH",123,1836,1638.5,2023.5,"Cohort_group",
"detected_protein_groups","XZ_GG",142,1893,1707.25,2177.5,"Cohort_group",
"detected_protein_groups","XZ_YA",22,2345.5,2100.5,2659.75,"Cohort_group",
"detected_protein_groups","XZ_YB",10,2496,2334.25,2584.75,"Cohort_group",
"detected_protein_groups","XZ_YC",34,2298,2093.25,2480,"Cohort_group",
"detected_protein_groups","XZ_YD",28,2340.5,2091,2949.25,"Cohort_group",
"log2_median","FJ_FQ",69,9.52086286448375,9.20932238606532,9.74663613442832,"Cohort_group",
"log2_median","FJ_PT",26,9.77075209223432,9.64808996609886,9.9731957742246,"Cohort_group",
"log2_median","FJ_QZ",61,9.33133289223026,9.18235848414501,9.61189967823526,"Cohort_group",
"log2_median","GZ_TH",123,8.39520898762286,8.30173730345361,8.55875874868291,"Cohort_group",
