"Sheet1_position","Sheet1_raw_header","Resolution_method","metadata_index","metadata_excel_row","UniqueSampleID","进样时间","sample","condition","group","TREAT1","TREAT1_clean","TREAT2","Tube_Mixing","WoleBlood_oldTime","Plasma_HoldTime_h","Note","detected_protein_groups","missing_pct","MS_batch_proxy","Exposure","log2_median","PC1","PC2","UMAP1","UMAP2"
"1","20250913_Q3","P1_UNIQUE_NAME","96","98","20250913_FJ_QZ_Q3","20250913","Q3","湿热","FJ_QZ","low","low","low_sound","Normal","0","Unknown",,2133,44.1184176054493,"20250913","Short exposure",9.61189967823526,-15.4209879918602,-5.39624130609261,0.398271391179991,1.55532047601001
"2","20250913_Q4","P1_UNIQUE_NAME","97","99","20250913_FJ_QZ_Q4","20250913","Q4","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2384,37.5425727010741,"20250913","Control",9.48270432979232,-10.5297971830189,-4.39997642542198,0.0625410471229082,1.17869410367267
"3","20250913_Q12","P1_UNIQUE_NAME","98","100","20250913_FJ_QZ_Q12","20250913","Q12","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2023,47.0002619858528,"20250913","Control",9.42799728938721,-7.38376128279195,-2.05353425898215,0.961065748718215,0.924990867092771
"4","20250913__Q13","P1_UNIQUE_NAME","99","101","20250913_FJ_QZ_Q13","20250913","Q13","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,1891,50.4584752423369,"20250913","Control",9.18726764052311,-6.73217392741715,2.04644847591588,1.047973135498,0.559211586430235
"5","20250913__Q14","P1_UNIQUE_NAME","100","102","20250913_FJ_QZ_Q14","20250913","Q14","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2425,36.4684307047419,"20250913","Control",9.73089905055955,-18.1846028835029,-4.22185466578921,0.914374807861281,1.78701064439075
"6","20250913__Q15","P1_UNIQUE_NAME","101","103","20250913_FJ_QZ_Q15","20250913","Q15","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2273,40.450615666754,"20250913","Control",9.42889546051473,-9.58240207178926,-4.53847527618411,0.143205219891501,0.952495072796507
"7","20250913__Q16","P1_UNIQUE_NAME","102","104","20250913_FJ_QZ_Q16","20250913","Q16","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,1948,48.9651558815824,"20250913","Control",8.8853029098941,-0.812349382368148,0.31204725231516,0.729440340784026,0.186741267159147
"8","20250913__Q18_","P1_UNIQUE_NAME","103","105","20250913_FJ_QZ_Q18","20250913","Q18","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2233,41.4985590778098,"20250913","Control",9.56727125012651,-13.4779765254078,-5.61674352682019,0.179690906789733,1.34204265923755
"9","20250913__Q20_","P1_UNIQUE_NAME","104","106","20250913_FJ_QZ_Q20","20250913","Q20","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","hemolysis observed",2366,38.0141472360493,"20250913","Control",9.73434321135186,-11.124769807591,-6.34268008220668,0.0750927124289995,1.22220144124286
"10","20250913__Q21_","P1_UNIQUE_NAME","105","107","20250913_FJ_QZ_Q21","20250913","Q21","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2187,42.703694000524,"20250913","Control",9.27338727295965,-10.8193345180522,0.793696020263601,0.426026502635909,1.32606277318255
"11","20250913__Q22_","P1_UNIQUE_NAME","106","108","20250913_FJ_QZ_Q22","20250913","Q22","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2306,39.586062352633,"20250913","Control",9.31593716178085,-8.20364318637315,4.81791671053539,1.71742329933925,3.41469809861438
"12","20250913__Q23_","P1_UNIQUE_NAME","107","109","20250913_FJ_QZ_Q23","20250913","Q23","湿热","FJ_QZ","contrl","control","unkown","Normal","0","Unknown",,2063,45.952318574797,"20250913","Control",8.96983962454218,-2.47265942637704,0.66554116127586,0.287958486017418,0.282866154625578
"13","20250913__Q25_","P1_UNIQUE_NAME","108","110","20250913_FJ_QZ_Q25","20250913","Q25","湿热","FJ_QZ","contrl","control","unkown","Normal","0","Unknown",,2365,38.0403458213257,"20250913","Control",9.67990828450333,-15.1170539666638,-4.47543396925763,0.441374400642348,1.64676353783862
"14","20250913__Q26_","P1_UNIQUE_NAME","109","111","20250913_FJ_QZ_Q26","20250913","Q26","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2256,40.8959916164527,"20250913","Control",9.63391536951395,-13.8113406236445,-4.05572915365724,0.397263551142645,1.32468900532977
"15","20250913__Q27_","P1_UNIQUE_NAME","110","112","20250913_FJ_QZ_Q27","20250913","Q27","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2379,37.6735656274561,"20250913","Control",9.74986099847377,-16.9011359883669,-2.63649780661763,0.630708524969054,1.70677611680285
"16","20250913__Q28_","P1_UNIQUE_NAME","111","113","20250913_FJ_QZ_Q28","20250913","Q28","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2193,42.5465024888656,"20250913","Control",9.31912688850076,-8.64194615308536,-4.33986500394932,0.0471241120366579,1.09077844472186
"17","20250913__Q29_","P1_UNIQUE_NAME","112","114","20250913_FJ_QZ_Q29","20250913","Q29","湿热","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown",,2218,41.8915378569557,"20250913","Control",9.5665515752216,-13.2564353715633,-7.95315953490083,0.0352378133801942,2.16671893449084
"18","20250913__Q31_","P1_UNIQUE_NAME","113","115","20250913_FJ_QZ_Q31","20250913","Q31","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2076,45.6117369662038,"20250913","Long exposure",9.17273626344254,-8.30000091605402,11.4581936501919,2.22733507492824,3.49634740205066
"19","20250913__Q32_","P1_UNIQUE_NAME","114","116","20250913_FJ_QZ_Q32","20250913","Q32","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2158,43.4634529735394,"20250913","Long exposure",9.3685551045478,-10.4148160379487,-3.95548915322384,-0.00950453242974228,1.73509094567554
"20","20250913__Q33_","P1_UNIQUE_NAME","115","117","20250913_FJ_QZ_Q33","20250913","Q33","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2085,45.3759496987163,"20250913","Long exposure",9.22276180715236,-7.54785162579393,-0.973279128505231,0.529512712743712,0.667583797886534
"21","20250913__Q34_","P1_UNIQUE_NAME","116","118","20250913_FJ_QZ_Q34","20250913","Q34","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2111,44.69478648153,"20250913","Long exposure",9.32475395856944,-9.23874084807055,-4.43268583371751,0.243812756624651,0.985067103817625
"22","20250913__Q36_","P1_UNIQUE_NAME","117","119","20250913_FJ_QZ_Q36","20250913","Q36","湿热","FJ_QZ","low","low","unkown","Normal","0","Unknown",,2297,39.8218496201205,"20250913","Short exposure",9.60600662210091,-11.4840504302467,-4.52245817098987,0.251186808582974,1.23629221768634
"23","20250913__Q37_","P1_UNIQUE_NAME","118","120","20250913_FJ_QZ_Q37","20250913","Q37","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2057,46.1095100864553,"20250913","Long exposure",9.61022519219142,-13.5239777422642,3.0080233202818,0.527537891653014,1.34657082410113
"24","20250913__Q38_","P1_UNIQUE_NAME","119","121","20250913_FJ_QZ_Q38","20250913","Q38","湿热","FJ_QZ","low","low","unkown","Normal","0","Unknown",,2020,47.078857741682,"20250913","Short exposure",9.18235848414501,-8.61987609166547,0.24303400305556,0.281198257592154,0.872417186215086
"25","20250913__Q39_","P1_UNIQUE_NAME","120","122","20250913_FJ_QZ_Q39","20250913","Q39","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2178,42.9394812680115,"20250913","Long exposure",9.60054167349143,-15.0248507230272,-5.81706164058093,0.331942038622332,1.48641214223163
"26","20250913__Q41_","P1_UNIQUE_NAME","121","123","20250913_FJ_QZ_Q41","20250913","Q41","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2575,32.5386429132827,"20250913","Long exposure",9.67547770958175,-11.5736171247825,-9.49640335886878,0.309632675733996,2.62665054650561
"27","20250913__Q42_","P1_UNIQUE_NAME","122","124","20250913_FJ_QZ_Q42","20250913","Q42","湿热","FJ_QZ","high","high","low_sound","Normal","0","Unknown",,2090,45.2449567723343,"20250913","Long exposure",9.31860086187002,-9.60533003543744,3.55713575644421,0.616719493654204,0.806137655689878
"28","20250913__Q44_","P1_UNIQUE_NAME","123","125","20250913_FJ_QZ_Q44","20250913","Q44","湿热","FJ_QZ","low","low","low_sound","Normal","0","Unknown",,1930,49.4367304165575,"20250913","Short exposure",9.36160345266731,-8.00840360749149,-3.78271473226359,0.333819592383338,0.67099997849719
