"Exposure","Level","N","Proportion","Variable","N_total","N_available","N_missing","N_numeric","N_nonnumeric_present","Median","Q25","Q75"
"Control","20250913",28,0.183006535947712,"Acquisition_date",,,,,,,,
"Control","20250914",10,0.065359477124183,"Acquisition_date",,,,,,,,
"Control","20251001",34,0.222222222222222,"Acquisition_date",,,,,,,,
"Control","20251026",5,0.0326797385620915,"Acquisition_date",,,,,,,,
"Control","20251104",0,0,"Acquisition_date",,,,,,,,
"Control","20251107",0,0,"Acquisition_date",,,,,,,,
"Control","20260527",30,0.196078431372549,"Acquisition_date",,,,,,,,
"Control","20260717",46,0.300653594771242,"Acquisition_date",,,,,,,,
"Short exposure","20250913",14,0.0752688172043011,"Acquisition_date",,,,,,,,
"Short exposure","20250914",24,0.129032258064516,"Acquisition_date",,,,,,,,
"Short exposure","20251001",45,0.241935483870968,"Acquisition_date",,,,,,,,
"Short exposure","20251026",4,0.021505376344086,"Acquisition_date",,,,,,,,
"Short exposure","20251104",1,0.00537634408602151,"Acquisition_date",,,,,,,,
"Short exposure","20251107",1,0.00537634408602151,"Acquisition_date",,,,,,,,
"Short exposure","20260527",66,0.354838709677419,"Acquisition_date",,,,,,,,
"Short exposure","20260717",31,0.166666666666667,"Acquisition_date",,,,,,,,
"Long exposure","20250913",8,0.0454545454545455,"Acquisition_date",,,,,,,,
"Long exposure","20250914",35,0.198863636363636,"Acquisition_date",,,,,,,,
"Long exposure","20251001",37,0.210227272727273,"Acquisition_date",,,,,,,,
"Long exposure","20251026",3,0.0170454545454545,"Acquisition_date",,,,,,,,
"Long exposure","20251104",1,0.00568181818181818,"Acquisition_date",,,,,,,,
"Long exposure","20251107",0,0,"Acquisition_date",,,,,,,,
"Long exposure","20260527",46,0.261363636363636,"Acquisition_date",,,,,,,,
"Long exposure","20260717",46,0.261363636363636,"Acquisition_date",,,,,,,,
"Control","高海拔",58,0.379084967320261,"Environment",,,,,,,,
"Control","湿热",95,0.620915032679739,"Environment",,,,,,,,
"Short exposure","高海拔",103,0.553763440860215,"Environment",,,,,,,,
"Short exposure","湿热",83,0.446236559139785,"Environment",,,,,,,,
"Long exposure","高海拔",75,0.426136363636364,"Environment",,,,,,,,
"Long exposure","湿热",101,0.573863636363636,"Environment",,,,,,,,
"Control","FJ_FQ",13,0.0849673202614379,"Cohort_group",,,,,,,,
"Control","FJ_PT",4,0.0261437908496732,"Cohort_group",,,,,,,,
"Control","FJ_QZ",32,0.209150326797386,"Cohort_group",,,,,,,,
"Control","GZ_TH",46,0.300653594771242,"Cohort_group",,,,,,,,
"Control","XZ_GG",30,0.196078431372549,"Cohort_group",,,,,,,,
"Control","XZ_YA",2,0.0130718954248366,"Cohort_group",,,,,,,,
"Control","XZ_YB",10,0.065359477124183,"Cohort_group",,,,,,,,
"Control","XZ_YC",6,0.0392156862745098,"Cohort_group",,,,,,,,
"Control","XZ_YD",10,0.065359477124183,"Cohort_group",,,,,,,,
"Short exposure","FJ_FQ",24,0.129032258064516,"Cohort_group",,,,,,,,
"Short exposure","FJ_PT",10,0.0537634408602151,"Cohort_group",,,,,,,,
"Short exposure","FJ_QZ",18,0.0967741935483871,"Cohort_group",,,,,,,,
"Short exposure","GZ_TH",31,0.166666666666667,"Cohort_group",,,,,,,,
"Short exposure","XZ_GG",66,0.354838709677419,"Cohort_group",,,,,,,,
"Short exposure","XZ_YA",19,0.102150537634409,"Cohort_group",,,,,,,,
"Short exposure","XZ_YB",0,0,"Cohort_group",,,,,,,,
"Short exposure","XZ_YC",7,0.0376344086021505,"Cohort_group",,,,,,,,
"Short exposure","XZ_YD",11,0.0591397849462366,"Cohort_group",,,,,,,,
"Long exposure","FJ_FQ",32,0.181818181818182,"Cohort_group",,,,,,,,
