"Exposure","Raw_value","N","Proportion","Variable"
"Control","20250913",28,0.183006535947712,"Acquisition_date"
"Control","20250914",10,0.065359477124183,"Acquisition_date"
"Control","20251001",34,0.222222222222222,"Acquisition_date"
"Control","20251026",5,0.0326797385620915,"Acquisition_date"
"Control","20251104",0,0,"Acquisition_date"
"Control","20251107",0,0,"Acquisition_date"
"Control","20260527",30,0.196078431372549,"Acquisition_date"
"Control","20260717",46,0.300653594771242,"Acquisition_date"
"Short exposure","20250913",14,0.0752688172043011,"Acquisition_date"
"Short exposure","20250914",24,0.129032258064516,"Acquisition_date"
"Short exposure","20251001",45,0.241935483870968,"Acquisition_date"
"Short exposure","20251026",4,0.021505376344086,"Acquisition_date"
"Short exposure","20251104",1,0.00537634408602151,"Acquisition_date"
"Short exposure","20251107",1,0.00537634408602151,"Acquisition_date"
"Short exposure","20260527",66,0.354838709677419,"Acquisition_date"
"Short exposure","20260717",31,0.166666666666667,"Acquisition_date"
"Long exposure","20250913",8,0.0454545454545455,"Acquisition_date"
"Long exposure","20250914",35,0.198863636363636,"Acquisition_date"
"Long exposure","20251001",37,0.210227272727273,"Acquisition_date"
"Long exposure","20251026",3,0.0170454545454545,"Acquisition_date"
"Long exposure","20251104",1,0.00568181818181818,"Acquisition_date"
"Long exposure","20251107",0,0,"Acquisition_date"
"Long exposure","20260527",46,0.261363636363636,"Acquisition_date"
"Long exposure","20260717",46,0.261363636363636,"Acquisition_date"
