"Exposure","Raw_value","N","Proportion","Variable"
"Control","FJ_FQ",13,0.0849673202614379,"Cohort_group"
"Control","FJ_PT",4,0.0261437908496732,"Cohort_group"
"Control","FJ_QZ",32,0.209150326797386,"Cohort_group"
"Control","GZ_TH",46,0.300653594771242,"Cohort_group"
"Control","XZ_GG",30,0.196078431372549,"Cohort_group"
"Control","XZ_YA",2,0.0130718954248366,"Cohort_group"
"Control","XZ_YB",10,0.065359477124183,"Cohort_group"
"Control","XZ_YC",6,0.0392156862745098,"Cohort_group"
"Control","XZ_YD",10,0.065359477124183,"Cohort_group"
"Short exposure","FJ_FQ",24,0.129032258064516,"Cohort_group"
"Short exposure","FJ_PT",10,0.0537634408602151,"Cohort_group"
"Short exposure","FJ_QZ",18,0.0967741935483871,"Cohort_group"
"Short exposure","GZ_TH",31,0.166666666666667,"Cohort_group"
"Short exposure","XZ_GG",66,0.354838709677419,"Cohort_group"
"Short exposure","XZ_YA",19,0.102150537634409,"Cohort_group"
"Short exposure","XZ_YB",0,0,"Cohort_group"
"Short exposure","XZ_YC",7,0.0376344086021505,"Cohort_group"
"Short exposure","XZ_YD",11,0.0591397849462366,"Cohort_group"
"Long exposure","FJ_FQ",32,0.181818181818182,"Cohort_group"
"Long exposure","FJ_PT",12,0.0681818181818182,"Cohort_group"
"Long exposure","FJ_QZ",11,0.0625,"Cohort_group"
"Long exposure","GZ_TH",46,0.261363636363636,"Cohort_group"
"Long exposure","XZ_GG",46,0.261363636363636,"Cohort_group"
"Long exposure","XZ_YA",1,0.00568181818181818,"Cohort_group"
"Long exposure","XZ_YB",0,0,"Cohort_group"
"Long exposure","XZ_YC",21,0.119318181818182,"Cohort_group"
"Long exposure","XZ_YD",7,0.0397727272727273,"Cohort_group"
