"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","湿热",,FALSE,"PC2",-5.39624130609261
"20250913_FJ_QZ_Q4","Control","湿热",,FALSE,"PC2",-4.39997642542198
"20250913_FJ_QZ_Q12","Control","湿热",,FALSE,"PC2",-2.05353425898215
"20250913_FJ_QZ_Q13","Control","湿热",,FALSE,"PC2",2.04644847591588
"20250913_FJ_QZ_Q14","Control","湿热",,FALSE,"PC2",-4.22185466578921
"20250913_FJ_QZ_Q15","Control","湿热",,FALSE,"PC2",-4.53847527618411
"20250913_FJ_QZ_Q16","Control","湿热",,FALSE,"PC2",0.31204725231516
"20250913_FJ_QZ_Q18","Control","湿热",,FALSE,"PC2",-5.61674352682019
"20250913_FJ_QZ_Q20","Control","湿热",,FALSE,"PC2",-6.34268008220668
"20250913_FJ_QZ_Q21","Control","湿热",,FALSE,"PC2",0.793696020263601
"20250913_FJ_QZ_Q22","Control","湿热",,FALSE,"PC2",4.81791671053539
"20250913_FJ_QZ_Q23","Control","湿热",,FALSE,"PC2",0.66554116127586
"20250913_FJ_QZ_Q25","Control","湿热",,FALSE,"PC2",-4.47543396925763
"20250913_FJ_QZ_Q26","Control","湿热",,FALSE,"PC2",-4.05572915365724
"20250913_FJ_QZ_Q27","Control","湿热",,FALSE,"PC2",-2.63649780661763
"20250913_FJ_QZ_Q28","Control","湿热",,FALSE,"PC2",-4.33986500394932
"20250913_FJ_QZ_Q29","Control","湿热",,FALSE,"PC2",-7.95315953490083
"20250913_FJ_QZ_Q31","Long exposure","湿热",,FALSE,"PC2",11.4581936501919
"20250913_FJ_QZ_Q32","Long exposure","湿热",,FALSE,"PC2",-3.95548915322384
"20250913_FJ_QZ_Q33","Long exposure","湿热",,FALSE,"PC2",-0.973279128505231
"20250913_FJ_QZ_Q34","Long exposure","湿热",,FALSE,"PC2",-4.43268583371751
"20250913_FJ_QZ_Q36","Short exposure","湿热",,FALSE,"PC2",-4.52245817098987
"20250913_FJ_QZ_Q37","Long exposure","湿热",,FALSE,"PC2",3.0080233202818
"20250913_FJ_QZ_Q38","Short exposure","湿热",,FALSE,"PC2",0.24303400305556
"20250913_FJ_QZ_Q39","Long exposure","湿热",,FALSE,"PC2",-5.81706164058093
"20250913_FJ_QZ_Q41","Long exposure","湿热",,FALSE,"PC2",-9.49640335886878
"20250913_FJ_QZ_Q42","Long exposure","湿热",,FALSE,"PC2",3.55713575644421
"20250913_FJ_QZ_Q44","Short exposure","湿热",,FALSE,"PC2",-3.78271473226359
"20250913_FJ_QZ_Q45","Short exposure","湿热",,FALSE,"PC2",10.3663582152766
"20250913_FJ_QZ_Q48","Short exposure","湿热",,FALSE,"PC2",7.66137318950747
"20250913_FJ_QZ_Q49","Short exposure","湿热",,FALSE,"PC2",-5.20926795332245
"20250913_FJ_QZ_Q50","Control","湿热",,FALSE,"PC2",-3.71600683172548
"20250913_FJ_QZ_Q52","Short exposure","湿热",,FALSE,"PC2",2.16668900211252
"20250913_FJ_QZ_Q54","Control","湿热",,FALSE,"PC2",2.94976825469102
"20250913_FJ_QZ_Q55","Control","湿热",,FALSE,"PC2",-5.40298590166604
"20250913_FJ_QZ_Q57","Control","湿热",,FALSE,"PC2",-5.67416747470953
"20250913_FJ_QZ_Q58","Short exposure","湿热",,FALSE,"PC2",12.4884261795268
"20250913_FJ_QZ_Q59","Short exposure","湿热",,FALSE,"PC2",-5.24644351358068
"20250913_FJ_QZ_Q60","Short exposure","湿热",,FALSE,"PC2",-6.86383468297822
"20250913_FJ_QZ_Q61","Control","湿热",,FALSE,"PC2",4.23628427197328
"20250913_FJ_QZ_Q62","Control","湿热",,FALSE,"PC2",-11.7412396678262
"20250913_FJ_QZ_Q63","Control","湿热",,FALSE,"PC2",-5.69618581084818
"20250913_FJ_QZ_Q65","Control","湿热",,FALSE,"PC2",2.06498837612903
"20250913_FJ_QZ_Q66","Short exposure","湿热",,FALSE,"PC2",-3.10770960199502
"20250913_FJ_QZ_Q67","Short exposure","湿热",,FALSE,"PC2",-6.03729337402401
"20250913_FJ_QZ_Q68","Control","湿热",,FALSE,"PC2",-6.47270145751695
"20250913_FJ_QZ_Q69","Control","湿热",,FALSE,"PC2",-1.96778068790523
"20250913_FJ_QZ_Q70","Control","湿热",,FALSE,"PC2",-8.89166709325917
"20250913_FJ_QZ_Q71","Control","湿热",,FALSE,"PC2",-6.32282277356753
"20250913_FJ_QZ_Q72","Short exposure","湿热",,FALSE,"PC2",-3.12680995734138
"20250914_FJ_FQ_F47","Short exposure","湿热",,FALSE,"PC2",-0.770218866915747
