"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","湿热",,FALSE,"UMAP1",0.398271391179991
"20250913_FJ_QZ_Q4","Control","湿热",,FALSE,"UMAP1",0.0625410471229082
"20250913_FJ_QZ_Q12","Control","湿热",,FALSE,"UMAP1",0.961065748718215
"20250913_FJ_QZ_Q13","Control","湿热",,FALSE,"UMAP1",1.047973135498
"20250913_FJ_QZ_Q14","Control","湿热",,FALSE,"UMAP1",0.914374807861281
"20250913_FJ_QZ_Q15","Control","湿热",,FALSE,"UMAP1",0.143205219891501
"20250913_FJ_QZ_Q16","Control","湿热",,FALSE,"UMAP1",0.729440340784026
"20250913_FJ_QZ_Q18","Control","湿热",,FALSE,"UMAP1",0.179690906789733
"20250913_FJ_QZ_Q20","Control","湿热",,FALSE,"UMAP1",0.0750927124289995
"20250913_FJ_QZ_Q21","Control","湿热",,FALSE,"UMAP1",0.426026502635909
"20250913_FJ_QZ_Q22","Control","湿热",,FALSE,"UMAP1",1.71742329933925
"20250913_FJ_QZ_Q23","Control","湿热",,FALSE,"UMAP1",0.287958486017418
"20250913_FJ_QZ_Q25","Control","湿热",,FALSE,"UMAP1",0.441374400642348
"20250913_FJ_QZ_Q26","Control","湿热",,FALSE,"UMAP1",0.397263551142645
"20250913_FJ_QZ_Q27","Control","湿热",,FALSE,"UMAP1",0.630708524969054
"20250913_FJ_QZ_Q28","Control","湿热",,FALSE,"UMAP1",0.0471241120366579
"20250913_FJ_QZ_Q29","Control","湿热",,FALSE,"UMAP1",0.0352378133801942
"20250913_FJ_QZ_Q31","Long exposure","湿热",,FALSE,"UMAP1",2.22733507492824
"20250913_FJ_QZ_Q32","Long exposure","湿热",,FALSE,"UMAP1",-0.00950453242974228
"20250913_FJ_QZ_Q33","Long exposure","湿热",,FALSE,"UMAP1",0.529512712743712
"20250913_FJ_QZ_Q34","Long exposure","湿热",,FALSE,"UMAP1",0.243812756624651
