"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","Unknown",,FALSE,"PC1",-15.4209879918602
"20250913_FJ_QZ_Q4","Control","Unknown",,FALSE,"PC1",-10.5297971830189
"20250913_FJ_QZ_Q12","Control","Unknown",,FALSE,"PC1",-7.38376128279195
"20250913_FJ_QZ_Q13","Control","Unknown",,FALSE,"PC1",-6.73217392741715
"20250913_FJ_QZ_Q14","Control","Unknown",,FALSE,"PC1",-18.1846028835029
"20250913_FJ_QZ_Q15","Control","Unknown",,FALSE,"PC1",-9.58240207178926
"20250913_FJ_QZ_Q16","Control","Unknown",,FALSE,"PC1",-0.812349382368148
"20250913_FJ_QZ_Q18","Control","Unknown",,FALSE,"PC1",-13.4779765254078
"20250913_FJ_QZ_Q20","Control","Unknown",,FALSE,"PC1",-11.124769807591
"20250913_FJ_QZ_Q21","Control","Unknown",,FALSE,"PC1",-10.8193345180522
"20250913_FJ_QZ_Q22","Control","Unknown",,FALSE,"PC1",-8.20364318637315
"20250913_FJ_QZ_Q23","Control","Unknown",,FALSE,"PC1",-2.47265942637704
"20250913_FJ_QZ_Q25","Control","Unknown",,FALSE,"PC1",-15.1170539666638
"20250913_FJ_QZ_Q26","Control","Unknown",,FALSE,"PC1",-13.8113406236445
"20250913_FJ_QZ_Q27","Control","Unknown",,FALSE,"PC1",-16.9011359883669
"20250913_FJ_QZ_Q28","Control","Unknown",,FALSE,"PC1",-8.64194615308536
"20250913_FJ_QZ_Q29","Control","Unknown",,FALSE,"PC1",-13.2564353715633
"20250913_FJ_QZ_Q31","Long exposure","Unknown",,FALSE,"PC1",-8.30000091605402
"20250913_FJ_QZ_Q32","Long exposure","Unknown",,FALSE,"PC1",-10.4148160379487
"20250913_FJ_QZ_Q33","Long exposure","Unknown",,FALSE,"PC1",-7.54785162579393
"20250913_FJ_QZ_Q34","Long exposure","Unknown",,FALSE,"PC1",-9.23874084807055
