"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","Unknown",,FALSE,"UMAP2",1.55532047601001
"20250913_FJ_QZ_Q4","Control","Unknown",,FALSE,"UMAP2",1.17869410367267
"20250913_FJ_QZ_Q12","Control","Unknown",,FALSE,"UMAP2",0.924990867092771
"20250913_FJ_QZ_Q13","Control","Unknown",,FALSE,"UMAP2",0.559211586430235
"20250913_FJ_QZ_Q14","Control","Unknown",,FALSE,"UMAP2",1.78701064439075
"20250913_FJ_QZ_Q15","Control","Unknown",,FALSE,"UMAP2",0.952495072796507
"20250913_FJ_QZ_Q16","Control","Unknown",,FALSE,"UMAP2",0.186741267159147
"20250913_FJ_QZ_Q18","Control","Unknown",,FALSE,"UMAP2",1.34204265923755
"20250913_FJ_QZ_Q20","Control","Unknown",,FALSE,"UMAP2",1.22220144124286
"20250913_FJ_QZ_Q21","Control","Unknown",,FALSE,"UMAP2",1.32606277318255
"20250913_FJ_QZ_Q22","Control","Unknown",,FALSE,"UMAP2",3.41469809861438
"20250913_FJ_QZ_Q23","Control","Unknown",,FALSE,"UMAP2",0.282866154625578
"20250913_FJ_QZ_Q25","Control","Unknown",,FALSE,"UMAP2",1.64676353783862
"20250913_FJ_QZ_Q26","Control","Unknown",,FALSE,"UMAP2",1.32468900532977
"20250913_FJ_QZ_Q27","Control","Unknown",,FALSE,"UMAP2",1.70677611680285
"20250913_FJ_QZ_Q28","Control","Unknown",,FALSE,"UMAP2",1.09077844472186
"20250913_FJ_QZ_Q29","Control","Unknown",,FALSE,"UMAP2",2.16671893449084
"20250913_FJ_QZ_Q31","Long exposure","Unknown",,FALSE,"UMAP2",3.49634740205066
"20250913_FJ_QZ_Q32","Long exposure","Unknown",,FALSE,"UMAP2",1.73509094567554
"20250913_FJ_QZ_Q33","Long exposure","Unknown",,FALSE,"UMAP2",0.667583797886534
"20250913_FJ_QZ_Q34","Long exposure","Unknown",,FALSE,"UMAP2",0.985067103817625
"20250913_FJ_QZ_Q36","Short exposure","Unknown",,FALSE,"UMAP2",1.23629221768634
"20250913_FJ_QZ_Q37","Long exposure","Unknown",,FALSE,"UMAP2",1.34657082410113
"20250913_FJ_QZ_Q38","Short exposure","Unknown",,FALSE,"UMAP2",0.872417186215086
"20250913_FJ_QZ_Q39","Long exposure","Unknown",,FALSE,"UMAP2",1.48641214223163
"20250913_FJ_QZ_Q41","Long exposure","Unknown",,FALSE,"UMAP2",2.62665054650561
"20250913_FJ_QZ_Q42","Long exposure","Unknown",,FALSE,"UMAP2",0.806137655689878
"20250913_FJ_QZ_Q44","Short exposure","Unknown",,FALSE,"UMAP2",0.67099997849719
"20250913_FJ_QZ_Q45","Short exposure","Unknown",,FALSE,"UMAP2",3.42144009919421
"20250913_FJ_QZ_Q48","Short exposure","Unknown",,FALSE,"UMAP2",0.0709126934553813
"20250913_FJ_QZ_Q49","Short exposure","Unknown",,FALSE,"UMAP2",1.49696657510058
"20250913_FJ_QZ_Q50","Control","Unknown",,FALSE,"UMAP2",0.0257677778746318
"20250913_FJ_QZ_Q52","Short exposure","Unknown",,FALSE,"UMAP2",0.47127983422534
"20250913_FJ_QZ_Q54","Control","Unknown",,FALSE,"UMAP2",0.0332163319136333
"20250913_FJ_QZ_Q55","Control","Unknown",,FALSE,"UMAP2",0.872974728062315
"20250913_FJ_QZ_Q57","Control","Unknown",,FALSE,"UMAP2",0.595473860218687
"20250913_FJ_QZ_Q58","Short exposure","Unknown",,FALSE,"UMAP2",3.44685146661059
"20250913_FJ_QZ_Q59","Short exposure","Unknown",,FALSE,"UMAP2",1.53684637398974
"20250913_FJ_QZ_Q60","Short exposure","Unknown",,FALSE,"UMAP2",0.134013806297941
"20250913_FJ_QZ_Q61","Control","Unknown",,FALSE,"UMAP2",0.119225595905943
"20250913_FJ_QZ_Q62","Control","Unknown",,FALSE,"UMAP2",2.18423101754443
"20250913_FJ_QZ_Q63","Control","Unknown",,FALSE,"UMAP2",1.81464741082446
"20250913_FJ_QZ_Q65","Control","Unknown",,FALSE,"UMAP2",3.27391931863086
"20250913_FJ_QZ_Q66","Short exposure","Unknown",,FALSE,"UMAP2",2.02671215386645
"20250913_FJ_QZ_Q67","Short exposure","Unknown",,FALSE,"UMAP2",1.50441143365161
"20250913_FJ_QZ_Q68","Control","Unknown",,FALSE,"UMAP2",0.193571363403959
"20250913_FJ_QZ_Q69","Control","Unknown",,FALSE,"UMAP2",-0.0220328226540852
"20250913_FJ_QZ_Q70","Control","Unknown",,FALSE,"UMAP2",1.39647219033496
"20250913_FJ_QZ_Q71","Control","Unknown",,FALSE,"UMAP2",1.28323242516772
"20250913_FJ_QZ_Q72","Short exposure","Unknown",,FALSE,"UMAP2",0.452294860794706
"20250914_FJ_FQ_F47","Short exposure","Unknown",,FALSE,"UMAP2",1.21583244653003
"20250914_FJ_FQ_F51","Short exposure","Unknown",,FALSE,"UMAP2",1.88922450394885
"20250914_FJ_FQ_F53","Control","Unknown",,FALSE,"UMAP2",3.20481870026843
"20250914_FJ_FQ_F54","Short exposure","Unknown",,FALSE,"UMAP2",0.998735879376097
"20250914_FJ_FQ_F55","Long exposure","Unknown",,FALSE,"UMAP2",3.07893678994433
"20250914_FJ_FQ_F56","Control","Unknown",,FALSE,"UMAP2",1.78253457398669
"20250914_FJ_FQ_F57","Short exposure","Unknown",,FALSE,"UMAP2",2.0474738821532
"20250914_FJ_FQ_F58","Long exposure","Unknown",,FALSE,"UMAP2",0.389350150540037
"20250914_FJ_FQ_F62","Long exposure","Unknown",,FALSE,"UMAP2",1.10816392750995
"20250914_FJ_FQ_F66","Control","Unknown",,FALSE,"UMAP2",1.27761611790912
"20250914_FJ_FQ_F69","Long exposure","Unknown",,FALSE,"UMAP2",3.324021314099
"20250914_FJ_FQ_F70","Control","Unknown",,FALSE,"UMAP2",2.01136276574389
"20250914_FJ_FQ_F71","Long exposure","Unknown",,FALSE,"UMAP2",0.64994284959094
"20250914_FJ_FQ_F72","Short exposure","Unknown",,FALSE,"UMAP2",1.91144320817248
"20250914_FJ_FQ_F74","Short exposure","Unknown",,FALSE,"UMAP2",2.30879590363757
"20250914_FJ_FQ_F75","Long exposure","Unknown",,FALSE,"UMAP2",1.95833585114734
