"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","Unknown",,FALSE,"log2_median",9.61189967823526
"20250913_FJ_QZ_Q4","Control","Unknown",,FALSE,"log2_median",9.48270432979232
"20250913_FJ_QZ_Q12","Control","Unknown",,FALSE,"log2_median",9.42799728938721
"20250913_FJ_QZ_Q13","Control","Unknown",,FALSE,"log2_median",9.18726764052311
"20250913_FJ_QZ_Q14","Control","Unknown",,FALSE,"log2_median",9.73089905055955
"20250913_FJ_QZ_Q15","Control","Unknown",,FALSE,"log2_median",9.42889546051473
"20250913_FJ_QZ_Q16","Control","Unknown",,FALSE,"log2_median",8.8853029098941
"20250913_FJ_QZ_Q18","Control","Unknown",,FALSE,"log2_median",9.56727125012651
"20250913_FJ_QZ_Q20","Control","Unknown",,FALSE,"log2_median",9.73434321135186
"20250913_FJ_QZ_Q21","Control","Unknown",,FALSE,"log2_median",9.27338727295965
"20250913_FJ_QZ_Q22","Control","Unknown",,FALSE,"log2_median",9.31593716178085
"20250913_FJ_QZ_Q23","Control","Unknown",,FALSE,"log2_median",8.96983962454218
"20250913_FJ_QZ_Q25","Control","Unknown",,FALSE,"log2_median",9.67990828450333
"20250913_FJ_QZ_Q26","Control","Unknown",,FALSE,"log2_median",9.63391536951395
"20250913_FJ_QZ_Q27","Control","Unknown",,FALSE,"log2_median",9.74986099847377
"20250913_FJ_QZ_Q28","Control","Unknown",,FALSE,"log2_median",9.31912688850076
"20250913_FJ_QZ_Q29","Control","Unknown",,FALSE,"log2_median",9.5665515752216
"20250913_FJ_QZ_Q31","Long exposure","Unknown",,FALSE,"log2_median",9.17273626344254
"20250913_FJ_QZ_Q32","Long exposure","Unknown",,FALSE,"log2_median",9.3685551045478
"20250913_FJ_QZ_Q33","Long exposure","Unknown",,FALSE,"log2_median",9.22276180715236
"20250913_FJ_QZ_Q34","Long exposure","Unknown",,FALSE,"log2_median",9.32475395856944
"20250913_FJ_QZ_Q36","Short exposure","Unknown",,FALSE,"log2_median",9.60600662210091
"20250913_FJ_QZ_Q37","Long exposure","Unknown",,FALSE,"log2_median",9.61022519219142
"20250913_FJ_QZ_Q38","Short exposure","Unknown",,FALSE,"log2_median",9.18235848414501
"20250913_FJ_QZ_Q39","Long exposure","Unknown",,FALSE,"log2_median",9.60054167349143
"20250913_FJ_QZ_Q41","Long exposure","Unknown",,FALSE,"log2_median",9.67547770958175
"20250913_FJ_QZ_Q42","Long exposure","Unknown",,FALSE,"log2_median",9.31860086187002
"20250913_FJ_QZ_Q44","Short exposure","Unknown",,FALSE,"log2_median",9.36160345266731
"20250913_FJ_QZ_Q45","Short exposure","Unknown",,FALSE,"log2_median",9.09070477164697
"20250913_FJ_QZ_Q48","Short exposure","Unknown",,FALSE,"log2_median",9.01733890066823
"20250913_FJ_QZ_Q49","Short exposure","Unknown",,FALSE,"log2_median",9.62448580767936
"20250913_FJ_QZ_Q50","Control","Unknown",,FALSE,"log2_median",9.0517199142869
"20250913_FJ_QZ_Q52","Short exposure","Unknown",,FALSE,"log2_median",9.20279491980217
"20250913_FJ_QZ_Q54","Control","Unknown",,FALSE,"log2_median",8.90709855113271
"20250913_FJ_QZ_Q55","Control","Unknown",,FALSE,"log2_median",9.35762287650823
"20250913_FJ_QZ_Q57","Control","Unknown",,FALSE,"log2_median",9.27642265479369
"20250913_FJ_QZ_Q58","Short exposure","Unknown",,FALSE,"log2_median",9.33133289223026
"20250913_FJ_QZ_Q59","Short exposure","Unknown",,FALSE,"log2_median",9.8488708487208
"20250913_FJ_QZ_Q60","Short exposure","Unknown",,FALSE,"log2_median",8.9524800783855
"20250913_FJ_QZ_Q61","Control","Unknown",,FALSE,"log2_median",8.99943255919637
"20250913_FJ_QZ_Q62","Control","Unknown",,FALSE,"log2_median",9.96254171204229
"20250913_FJ_QZ_Q63","Control","Unknown",,FALSE,"log2_median",9.66449925946035
"20250913_FJ_QZ_Q65","Control","Unknown",,FALSE,"log2_median",9.49037974471881
"20250913_FJ_QZ_Q66","Short exposure","Unknown",,FALSE,"log2_median",9.92550273769064
"20250913_FJ_QZ_Q67","Short exposure","Unknown",,FALSE,"log2_median",9.80569851567435
"20250913_FJ_QZ_Q68","Control","Unknown",,FALSE,"log2_median",9.21649369324764
