"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","Normal",,FALSE,"detected_protein_groups",2133
"20250913_FJ_QZ_Q4","Control","Normal",,FALSE,"detected_protein_groups",2384
"20250913_FJ_QZ_Q12","Control","Normal",,FALSE,"detected_protein_groups",2023
"20250913_FJ_QZ_Q13","Control","Normal",,FALSE,"detected_protein_groups",1891
"20250913_FJ_QZ_Q14","Control","Normal",,FALSE,"detected_protein_groups",2425
"20250913_FJ_QZ_Q15","Control","Normal",,FALSE,"detected_protein_groups",2273
"20250913_FJ_QZ_Q16","Control","Normal",,FALSE,"detected_protein_groups",1948
"20250913_FJ_QZ_Q18","Control","Normal",,FALSE,"detected_protein_groups",2233
"20250913_FJ_QZ_Q20","Control","Normal",,FALSE,"detected_protein_groups",2366
"20250913_FJ_QZ_Q21","Control","Normal",,FALSE,"detected_protein_groups",2187
"20250913_FJ_QZ_Q22","Control","Normal",,FALSE,"detected_protein_groups",2306
"20250913_FJ_QZ_Q23","Control","Normal",,FALSE,"detected_protein_groups",2063
"20250913_FJ_QZ_Q25","Control","Normal",,FALSE,"detected_protein_groups",2365
"20250913_FJ_QZ_Q26","Control","Normal",,FALSE,"detected_protein_groups",2256
"20250913_FJ_QZ_Q27","Control","Normal",,FALSE,"detected_protein_groups",2379
"20250913_FJ_QZ_Q28","Control","Normal",,FALSE,"detected_protein_groups",2193
"20250913_FJ_QZ_Q29","Control","Normal",,FALSE,"detected_protein_groups",2218
"20250913_FJ_QZ_Q31","Long exposure","Normal",,FALSE,"detected_protein_groups",2076
"20250913_FJ_QZ_Q32","Long exposure","Normal",,FALSE,"detected_protein_groups",2158
"20250913_FJ_QZ_Q33","Long exposure","Normal",,FALSE,"detected_protein_groups",2085
"20250913_FJ_QZ_Q34","Long exposure","Normal",,FALSE,"detected_protein_groups",2111
"20250913_FJ_QZ_Q36","Short exposure","Normal",,FALSE,"detected_protein_groups",2297
"20250913_FJ_QZ_Q37","Long exposure","Normal",,FALSE,"detected_protein_groups",2057
"20250913_FJ_QZ_Q38","Short exposure","Normal",,FALSE,"detected_protein_groups",2020
"20250913_FJ_QZ_Q39","Long exposure","Normal",,FALSE,"detected_protein_groups",2178
"20250913_FJ_QZ_Q41","Long exposure","Normal",,FALSE,"detected_protein_groups",2575
"20250913_FJ_QZ_Q42","Long exposure","Normal",,FALSE,"detected_protein_groups",2090
"20250913_FJ_QZ_Q44","Short exposure","Normal",,FALSE,"detected_protein_groups",1930
"20250913_FJ_QZ_Q45","Short exposure","Normal",,FALSE,"detected_protein_groups",2042
"20250913_FJ_QZ_Q48","Short exposure","Normal",,FALSE,"detected_protein_groups",1695
"20250913_FJ_QZ_Q49","Short exposure","Normal",,FALSE,"detected_protein_groups",2393
"20250913_FJ_QZ_Q50","Control","Normal",,FALSE,"detected_protein_groups",2249
"20250913_FJ_QZ_Q52","Short exposure","Normal",,FALSE,"detected_protein_groups",1998
"20250913_FJ_QZ_Q54","Control","Normal",,FALSE,"detected_protein_groups",2027
"20250913_FJ_QZ_Q55","Control","Normal",,FALSE,"detected_protein_groups",2140
"20250913_FJ_QZ_Q57","Control","Normal",,FALSE,"detected_protein_groups",2102
"20250913_FJ_QZ_Q58","Short exposure","Normal",,FALSE,"detected_protein_groups",2056
"20250913_FJ_QZ_Q59","Short exposure","Normal",,FALSE,"detected_protein_groups",2357
"20250913_FJ_QZ_Q60","Short exposure","Normal",,FALSE,"detected_protein_groups",2008
"20250913_FJ_QZ_Q61","Control","Normal",,FALSE,"detected_protein_groups",2004
"20250913_FJ_QZ_Q62","Control","Normal",,FALSE,"detected_protein_groups",2737
"20250913_FJ_QZ_Q63","Control","Normal",,FALSE,"detected_protein_groups",2212
"20250913_FJ_QZ_Q65","Control","Normal",,FALSE,"detected_protein_groups",2078
"20250913_FJ_QZ_Q66","Short exposure","Normal",,FALSE,"detected_protein_groups",2385
"20250913_FJ_QZ_Q67","Short exposure","Normal",,FALSE,"detected_protein_groups",2111
"20250913_FJ_QZ_Q68","Control","Normal",,FALSE,"detected_protein_groups",2014
"20250913_FJ_QZ_Q69","Control","Normal",,FALSE,"detected_protein_groups",1670
"20250913_FJ_QZ_Q70","Control","Normal",,FALSE,"detected_protein_groups",2352
"20250913_FJ_QZ_Q71","Control","Normal",,FALSE,"detected_protein_groups",2297
"20250913_FJ_QZ_Q72","Short exposure","Normal",,FALSE,"detected_protein_groups",1874
"20250914_FJ_FQ_F47","Short exposure","Insufficient",,FALSE,"detected_protein_groups",2141
"20250914_FJ_FQ_F51","Short exposure","Insufficient",,FALSE,"detected_protein_groups",2308
"20250914_FJ_FQ_F53","Control","Insufficient",,FALSE,"detected_protein_groups",2234
"20250914_FJ_FQ_F54","Short exposure","Insufficient",,FALSE,"detected_protein_groups",2353
"20250914_FJ_FQ_F55","Long exposure","Insufficient",,FALSE,"detected_protein_groups",2460
"20250914_FJ_FQ_F56","Control","Insufficient",,FALSE,"detected_protein_groups",2230
"20250914_FJ_FQ_F57","Short exposure","Insufficient",,FALSE,"detected_protein_groups",2766
"20250914_FJ_FQ_F58","Long exposure","Insufficient",,FALSE,"detected_protein_groups",2110
"20250914_FJ_FQ_F62","Long exposure","Insufficient",,FALSE,"detected_protein_groups",2093
"20250914_FJ_FQ_F66","Control","Insufficient",,FALSE,"detected_protein_groups",2160
"20250914_FJ_FQ_F69","Long exposure","Insufficient",,FALSE,"detected_protein_groups",2048
"20250914_FJ_FQ_F70","Control","Insufficient",,FALSE,"detected_protein_groups",2240
"20250914_FJ_FQ_F71","Long exposure","Insufficient",,FALSE,"detected_protein_groups",1891
"20250914_FJ_FQ_F72","Short exposure","Insufficient",,FALSE,"detected_protein_groups",2147
