"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","0",0,FALSE,"detected_protein_groups",2133
"20250913_FJ_QZ_Q4","Control","0",0,FALSE,"detected_protein_groups",2384
"20250913_FJ_QZ_Q12","Control","0",0,FALSE,"detected_protein_groups",2023
"20250913_FJ_QZ_Q13","Control","0",0,FALSE,"detected_protein_groups",1891
"20250913_FJ_QZ_Q14","Control","0",0,FALSE,"detected_protein_groups",2425
"20250913_FJ_QZ_Q15","Control","0",0,FALSE,"detected_protein_groups",2273
"20250913_FJ_QZ_Q16","Control","0",0,FALSE,"detected_protein_groups",1948
"20250913_FJ_QZ_Q18","Control","0",0,FALSE,"detected_protein_groups",2233
"20250913_FJ_QZ_Q20","Control","0",0,FALSE,"detected_protein_groups",2366
"20250913_FJ_QZ_Q21","Control","0",0,FALSE,"detected_protein_groups",2187
"20250913_FJ_QZ_Q22","Control","0",0,FALSE,"detected_protein_groups",2306
"20250913_FJ_QZ_Q23","Control","0",0,FALSE,"detected_protein_groups",2063
"20250913_FJ_QZ_Q25","Control","0",0,FALSE,"detected_protein_groups",2365
"20250913_FJ_QZ_Q26","Control","0",0,FALSE,"detected_protein_groups",2256
"20250913_FJ_QZ_Q27","Control","0",0,FALSE,"detected_protein_groups",2379
"20250913_FJ_QZ_Q28","Control","0",0,FALSE,"detected_protein_groups",2193
"20250913_FJ_QZ_Q29","Control","0",0,FALSE,"detected_protein_groups",2218
"20250913_FJ_QZ_Q31","Long exposure","0",0,FALSE,"detected_protein_groups",2076
"20250913_FJ_QZ_Q32","Long exposure","0",0,FALSE,"detected_protein_groups",2158
"20250913_FJ_QZ_Q33","Long exposure","0",0,FALSE,"detected_protein_groups",2085
"20250913_FJ_QZ_Q34","Long exposure","0",0,FALSE,"detected_protein_groups",2111
"20250913_FJ_QZ_Q36","Short exposure","0",0,FALSE,"detected_protein_groups",2297
"20250913_FJ_QZ_Q37","Long exposure","0",0,FALSE,"detected_protein_groups",2057
"20250913_FJ_QZ_Q38","Short exposure","0",0,FALSE,"detected_protein_groups",2020
"20250913_FJ_QZ_Q39","Long exposure","0",0,FALSE,"detected_protein_groups",2178
"20250913_FJ_QZ_Q41","Long exposure","0",0,FALSE,"detected_protein_groups",2575
"20250913_FJ_QZ_Q42","Long exposure","0",0,FALSE,"detected_protein_groups",2090
"20250913_FJ_QZ_Q44","Short exposure","0",0,FALSE,"detected_protein_groups",1930
"20250913_FJ_QZ_Q45","Short exposure","0",0,FALSE,"detected_protein_groups",2042
"20250913_FJ_QZ_Q48","Short exposure","0",0,FALSE,"detected_protein_groups",1695
"20250913_FJ_QZ_Q49","Short exposure","0",0,FALSE,"detected_protein_groups",2393
"20250913_FJ_QZ_Q50","Control","0",0,FALSE,"detected_protein_groups",2249
"20250913_FJ_QZ_Q52","Short exposure","0",0,FALSE,"detected_protein_groups",1998
"20250913_FJ_QZ_Q54","Control","0",0,FALSE,"detected_protein_groups",2027
"20250913_FJ_QZ_Q55","Control","0",0,FALSE,"detected_protein_groups",2140
"20250913_FJ_QZ_Q57","Control","0",0,FALSE,"detected_protein_groups",2102
"20250913_FJ_QZ_Q58","Short exposure","0",0,FALSE,"detected_protein_groups",2056
"20250913_FJ_QZ_Q59","Short exposure","0",0,FALSE,"detected_protein_groups",2357
"20250913_FJ_QZ_Q60","Short exposure","0",0,FALSE,"detected_protein_groups",2008
"20250913_FJ_QZ_Q61","Control","0",0,FALSE,"detected_protein_groups",2004
"20250913_FJ_QZ_Q62","Control","0",0,FALSE,"detected_protein_groups",2737
"20250913_FJ_QZ_Q63","Control","0",0,FALSE,"detected_protein_groups",2212
"20250913_FJ_QZ_Q65","Control","0",0,FALSE,"detected_protein_groups",2078
"20250913_FJ_QZ_Q66","Short exposure","0",0,FALSE,"detected_protein_groups",2385
"20250913_FJ_QZ_Q67","Short exposure","0",0,FALSE,"detected_protein_groups",2111
"20250913_FJ_QZ_Q68","Control","0",0,FALSE,"detected_protein_groups",2014
"20250913_FJ_QZ_Q69","Control","0",0,FALSE,"detected_protein_groups",1670
"20250913_FJ_QZ_Q70","Control","0",0,FALSE,"detected_protein_groups",2352
"20250913_FJ_QZ_Q71","Control","0",0,FALSE,"detected_protein_groups",2297
"20250913_FJ_QZ_Q72","Short exposure","0",0,FALSE,"detected_protein_groups",1874
"20250914_FJ_FQ_F47","Short exposure","2",2,FALSE,"detected_protein_groups",2141
"20250914_FJ_FQ_F51","Short exposure","2",2,FALSE,"detected_protein_groups",2308
"20250914_FJ_FQ_F53","Control","2",2,FALSE,"detected_protein_groups",2234
"20250914_FJ_FQ_F54","Short exposure","2",2,FALSE,"detected_protein_groups",2353
"20250914_FJ_FQ_F55","Long exposure","2",2,FALSE,"detected_protein_groups",2460
"20250914_FJ_FQ_F56","Control","2",2,FALSE,"detected_protein_groups",2230
"20250914_FJ_FQ_F57","Short exposure","2",2,FALSE,"detected_protein_groups",2766
"20250914_FJ_FQ_F58","Long exposure","2",2,FALSE,"detected_protein_groups",2110
"20250914_FJ_FQ_F62","Long exposure","2",2,FALSE,"detected_protein_groups",2093
"20250914_FJ_FQ_F66","Control","2",2,FALSE,"detected_protein_groups",2160
"20250914_FJ_FQ_F69","Long exposure","2",2,FALSE,"detected_protein_groups",2048
"20250914_FJ_FQ_F70","Control","2",2,FALSE,"detected_protein_groups",2240
"20250914_FJ_FQ_F71","Long exposure","2",2,FALSE,"detected_protein_groups",1891
"20250914_FJ_FQ_F72","Short exposure","2",2,FALSE,"detected_protein_groups",2147
"20250914_FJ_FQ_F74","Short exposure","2",2,FALSE,"detected_protein_groups",1939
"20250914_FJ_FQ_F75","Long exposure","2",2,FALSE,"detected_protein_groups",2298
"20250914_FJ_FQ_F77","Short exposure","2",2,FALSE,"detected_protein_groups",1199
"20250914_FJ_FQ_F79","Long exposure","2",2,FALSE,"detected_protein_groups",2173
"20250914_FJ_FQ_F81","Long exposure","2",2,FALSE,"detected_protein_groups",1727
"20250914_FJ_FQ_F83","Short exposure","2",2,FALSE,"detected_protein_groups",2252
"20250914_FJ_FQ_F84","Short exposure","2",2,FALSE,"detected_protein_groups",2215
"20250914_FJ_FQ_F85","Long exposure","2",2,FALSE,"detected_protein_groups",1755
"20250914_FJ_FQ_F88","Long exposure","2",2,FALSE,"detected_protein_groups",1786
"20250914_FJ_FQ_F89","Long exposure","2",2,FALSE,"detected_protein_groups",1736
"20250914_FJ_FQ_F93","Short exposure","2",2,FALSE,"detected_protein_groups",2065
"20250914_FJ_FQ_F94","Control","2",2,FALSE,"detected_protein_groups",1599
"20250914_FJ_FQ_F102","Long exposure","2",2,FALSE,"detected_protein_groups",2170
"20250914_FJ_FQ_F105","Long exposure","2",2,FALSE,"detected_protein_groups",2146
"20250914_FJ_FQ_F106","Long exposure","2",2,FALSE,"detected_protein_groups",2228
"20250914_FJ_FQ_F107","Short exposure","2",2,FALSE,"detected_protein_groups",2430
"20250914_FJ_FQ_F110","Long exposure","2",2,FALSE,"detected_protein_groups",2109
"20250914_FJ_FQ_F111","Short exposure","2",2,FALSE,"detected_protein_groups",1987
"20250914_FJ_FQ_F118","Short exposure","2",2,FALSE,"detected_protein_groups",1973
"20250914_FJ_FQ_F121","Long exposure","2",2,FALSE,"detected_protein_groups",1952
"20250914_FJ_FQ_F122","Long exposure","2",2,FALSE,"detected_protein_groups",1751
