"UniqueSampleID","Exposure","Raw_value","Value","Missing","Metric","QC_value"
"20250913_FJ_QZ_Q3","Short exposure","0",0,FALSE,"log2_median",9.61189967823526
"20250913_FJ_QZ_Q4","Control","0",0,FALSE,"log2_median",9.48270432979232
"20250913_FJ_QZ_Q12","Control","0",0,FALSE,"log2_median",9.42799728938721
"20250913_FJ_QZ_Q13","Control","0",0,FALSE,"log2_median",9.18726764052311
"20250913_FJ_QZ_Q14","Control","0",0,FALSE,"log2_median",9.73089905055955
"20250913_FJ_QZ_Q15","Control","0",0,FALSE,"log2_median",9.42889546051473
"20250913_FJ_QZ_Q16","Control","0",0,FALSE,"log2_median",8.8853029098941
"20250913_FJ_QZ_Q18","Control","0",0,FALSE,"log2_median",9.56727125012651
"20250913_FJ_QZ_Q20","Control","0",0,FALSE,"log2_median",9.73434321135186
"20250913_FJ_QZ_Q21","Control","0",0,FALSE,"log2_median",9.27338727295965
"20250913_FJ_QZ_Q22","Control","0",0,FALSE,"log2_median",9.31593716178085
"20250913_FJ_QZ_Q23","Control","0",0,FALSE,"log2_median",8.96983962454218
"20250913_FJ_QZ_Q25","Control","0",0,FALSE,"log2_median",9.67990828450333
"20250913_FJ_QZ_Q26","Control","0",0,FALSE,"log2_median",9.63391536951395
"20250913_FJ_QZ_Q27","Control","0",0,FALSE,"log2_median",9.74986099847377
"20250913_FJ_QZ_Q28","Control","0",0,FALSE,"log2_median",9.31912688850076
"20250913_FJ_QZ_Q29","Control","0",0,FALSE,"log2_median",9.5665515752216
"20250913_FJ_QZ_Q31","Long exposure","0",0,FALSE,"log2_median",9.17273626344254
"20250913_FJ_QZ_Q32","Long exposure","0",0,FALSE,"log2_median",9.3685551045478
"20250913_FJ_QZ_Q33","Long exposure","0",0,FALSE,"log2_median",9.22276180715236
"20250913_FJ_QZ_Q34","Long exposure","0",0,FALSE,"log2_median",9.32475395856944
"20250913_FJ_QZ_Q36","Short exposure","0",0,FALSE,"log2_median",9.60600662210091
"20250913_FJ_QZ_Q37","Long exposure","0",0,FALSE,"log2_median",9.61022519219142
"20250913_FJ_QZ_Q38","Short exposure","0",0,FALSE,"log2_median",9.18235848414501
"20250913_FJ_QZ_Q39","Long exposure","0",0,FALSE,"log2_median",9.60054167349143
"20250913_FJ_QZ_Q41","Long exposure","0",0,FALSE,"log2_median",9.67547770958175
"20250913_FJ_QZ_Q42","Long exposure","0",0,FALSE,"log2_median",9.31860086187002
"20250913_FJ_QZ_Q44","Short exposure","0",0,FALSE,"log2_median",9.36160345266731
"20250913_FJ_QZ_Q45","Short exposure","0",0,FALSE,"log2_median",9.09070477164697
"20250913_FJ_QZ_Q48","Short exposure","0",0,FALSE,"log2_median",9.01733890066823
"20250913_FJ_QZ_Q49","Short exposure","0",0,FALSE,"log2_median",9.62448580767936
"20250913_FJ_QZ_Q50","Control","0",0,FALSE,"log2_median",9.0517199142869
"20250913_FJ_QZ_Q52","Short exposure","0",0,FALSE,"log2_median",9.20279491980217
"20250913_FJ_QZ_Q54","Control","0",0,FALSE,"log2_median",8.90709855113271
"20250913_FJ_QZ_Q55","Control","0",0,FALSE,"log2_median",9.35762287650823
"20250913_FJ_QZ_Q57","Control","0",0,FALSE,"log2_median",9.27642265479369
"20250913_FJ_QZ_Q58","Short exposure","0",0,FALSE,"log2_median",9.33133289223026
"20250913_FJ_QZ_Q59","Short exposure","0",0,FALSE,"log2_median",9.8488708487208
"20250913_FJ_QZ_Q60","Short exposure","0",0,FALSE,"log2_median",8.9524800783855
"20250913_FJ_QZ_Q61","Control","0",0,FALSE,"log2_median",8.99943255919637
"20250913_FJ_QZ_Q62","Control","0",0,FALSE,"log2_median",9.96254171204229
"20250913_FJ_QZ_Q63","Control","0",0,FALSE,"log2_median",9.66449925946035
"20250913_FJ_QZ_Q65","Control","0",0,FALSE,"log2_median",9.49037974471881
"20250913_FJ_QZ_Q66","Short exposure","0",0,FALSE,"log2_median",9.92550273769064
"20250913_FJ_QZ_Q67","Short exposure","0",0,FALSE,"log2_median",9.80569851567435
"20250913_FJ_QZ_Q68","Control","0",0,FALSE,"log2_median",9.21649369324764
"20250913_FJ_QZ_Q69","Control","0",0,FALSE,"log2_median",8.70710473990698
"20250913_FJ_QZ_Q70","Control","0",0,FALSE,"log2_median",9.64840717731045
"20250913_FJ_QZ_Q71","Control","0",0,FALSE,"log2_median",9.64912886701378
"20250913_FJ_QZ_Q72","Short exposure","0",0,FALSE,"log2_median",9.5721933146204
"20250914_FJ_FQ_F47","Short exposure","2",2,FALSE,"log2_median",9.41366730797465
"20250914_FJ_FQ_F51","Short exposure","2",2,FALSE,"log2_median",9.77132624597702
"20250914_FJ_FQ_F53","Control","2",2,FALSE,"log2_median",9.49555509608149
"20250914_FJ_FQ_F54","Short exposure","2",2,FALSE,"log2_median",9.45358186157996
"20250914_FJ_FQ_F55","Long exposure","2",2,FALSE,"log2_median",9.90370783906659
"20250914_FJ_FQ_F56","Control","2",2,FALSE,"log2_median",9.8246040493641
"20250914_FJ_FQ_F57","Short exposure","2",2,FALSE,"log2_median",10.061486743946
"20250914_FJ_FQ_F58","Long exposure","2",2,FALSE,"log2_median",9.17133945751876
"20250914_FJ_FQ_F62","Long exposure","2",2,FALSE,"log2_median",9.52086286448375
"20250914_FJ_FQ_F66","Control","2",2,FALSE,"log2_median",9.5135497008536
"20250914_FJ_FQ_F69","Long exposure","2",2,FALSE,"log2_median",9.22426390147522
"20250914_FJ_FQ_F70","Control","2",2,FALSE,"log2_median",9.79581393626648
"20250914_FJ_FQ_F71","Long exposure","2",2,FALSE,"log2_median",9.21290884459626
"20250914_FJ_FQ_F72","Short exposure","2",2,FALSE,"log2_median",9.69590968573859
"20250914_FJ_FQ_F74","Short exposure","2",2,FALSE,"log2_median",9.60578084081885
"20250914_FJ_FQ_F75","Long exposure","2",2,FALSE,"log2_median",9.90419563497056
"20250914_FJ_FQ_F77","Short exposure","2",2,FALSE,"log2_median",9.2918281633401
"20250914_FJ_FQ_F79","Long exposure","2",2,FALSE,"log2_median",9.34716635664656
"20250914_FJ_FQ_F81","Long exposure","2",2,FALSE,"log2_median",8.99693209550011
"20250914_FJ_FQ_F83","Short exposure","2",2,FALSE,"log2_median",9.62590400013036
"20250914_FJ_FQ_F84","Short exposure","2",2,FALSE,"log2_median",9.59142704073597
"20250914_FJ_FQ_F85","Long exposure","2",2,FALSE,"log2_median",9.54111079865439
"20250914_FJ_FQ_F88","Long exposure","2",2,FALSE,"log2_median",8.75581958805969
"20250914_FJ_FQ_F89","Long exposure","2",2,FALSE,"log2_median",9.256528473877
"20250914_FJ_FQ_F93","Short exposure","2",2,FALSE,"log2_median",9.71966281874538
