"Exposure","Raw_value","N","Proportion","Variable"
"Control",">6",4,0.0261437908496732,"WoleBlood_oldTime"
"Control","0",32,0.209150326797386,"WoleBlood_oldTime"
"Control","2",13,0.0849673202614379,"WoleBlood_oldTime"
"Control","Unknown",104,0.679738562091503,"WoleBlood_oldTime"
"Short exposure",">6",10,0.0537634408602151,"WoleBlood_oldTime"
"Short exposure","0",18,0.0967741935483871,"WoleBlood_oldTime"
"Short exposure","2",24,0.129032258064516,"WoleBlood_oldTime"
"Short exposure","Unknown",134,0.720430107526882,"WoleBlood_oldTime"
"Long exposure",">6",12,0.0681818181818182,"WoleBlood_oldTime"
"Long exposure","0",11,0.0625,"WoleBlood_oldTime"
"Long exposure","2",32,0.181818181818182,"WoleBlood_oldTime"
"Long exposure","Unknown",121,0.6875,"WoleBlood_oldTime"
