"Item","Source_field","Status"
"Age",,"absent_skipped"
"Sex",,"absent_skipped"
"Collection_time",,"absent_skipped"
"Acquisition_date","进样时间","available"
"Environment","condition","available"
"Region",,"absent_skipped"
"Cohort_group","group","available"
"Tube_Mixing","Tube_Mixing","available"
"WoleBlood_oldTime","WoleBlood_oldTime","available"
"Plasma_HoldTime_h","Plasma_HoldTime_h","available"
"normalization","normalization_sample_diagnostics.csv","available"
"PCA","complete_case_PCA_scores.csv","available"
"UMAP","Figure_A2b_UMAP_source_data.csv","available"
