level,category,samples,threshold_pct,minimum_detected_samples,protein_groups,pct_of_all_protein_groups,detected_at_least_one_sample
overall,Overall,519,1,6,3789,99.26643961226094,3817
overall,Overall,519,10,52,3420,89.59916164527115,3817
overall,Overall,519,20,104,2948,77.23342939481267,3817
overall,Overall,519,30,156,2560,67.06837830757138,3817
overall,Overall,519,40,208,2240,58.68483101912497,3817
overall,Overall,519,50,260,2003,52.475766308619335,3817
overall,Overall,519,60,312,1760,46.10951008645533,3817
overall,Overall,519,70,364,1510,39.55986376735656,3817
overall,Overall,519,80,416,1305,34.189153785695574,3817
overall,Overall,519,90,468,1030,26.984542834686927,3817
overall,Overall,519,100,519,481,12.60151951794603,3817
condition,high_stress,239,1,3,3790,99.29263819753733,3815
condition,high_stress,239,10,24,3489,91.40686402934242,3815
condition,high_stress,239,20,48,3042,79.69609641079381,3815
condition,high_stress,239,30,72,2651,69.45244956772333,3815
condition,high_stress,239,40,96,2298,60.20434896515589,3815
condition,high_stress,239,50,120,2040,53.44511396384595,3815
condition,high_stress,239,60,144,1801,47.18365208278753,3815
condition,high_stress,239,70,168,1555,40.73880010479434,3815
condition,high_stress,239,80,192,1323,34.660728320670685,3815
condition,high_stress,239,90,216,1052,27.560911710767616,3815
condition,high_stress,239,100,239,569,14.906995022268799,3815
condition,high_temperature,280,1,3,3775,98.89965941839141,3810
condition,high_temperature,280,10,28,3301,86.48152999738015,3810
condition,high_temperature,280,20,56,2850,74.66596803772596,3810
condition,high_temperature,280,30,84,2481,64.99869007073617,3810
condition,high_temperature,280,40,112,2177,57.03432014671208,3810
condition,high_temperature,280,50,140,1965,51.480220068116324,3810
condition,high_temperature,280,60,168,1743,45.664134136756616,3810
condition,high_temperature,280,70,196,1512,39.612260937909355,3810
condition,high_temperature,280,80,224,1291,33.82237359182604,3810
condition,high_temperature,280,90,252,1048,27.456117369662035,3810
condition,high_temperature,280,100,280,524,13.728058684831018,3810
group,FJ_FQ,70,1,1,3713,97.2753471312549,3713
group,FJ_FQ,70,10,7,3158,82.73513230285565,3713
group,FJ_FQ,70,20,14,2739,71.75792507204612,3713
group,FJ_FQ,70,30,21,2419,63.37437778359969,3713
group,FJ_FQ,70,40,28,2173,56.929525805606495,3713
group,FJ_FQ,70,50,35,1948,51.03484411841761,3713
group,FJ_FQ,70,60,42,1768,46.31909876866649,3713
group,FJ_FQ,70,70,49,1596,41.81294210112654,3713
group,FJ_FQ,70,80,56,1392,36.46843070474194,3713
group,FJ_FQ,70,90,63,1161,30.41655750589468,3713
group,FJ_FQ,70,100,70,681,17.841236573225046,3713
group,FJ_PT,26,1,1,3723,97.53733298401886,3723
group,FJ_PT,26,10,3,3542,92.79538904899135,3723
group,FJ_PT,26,20,6,3255,85.27639507466597,3723
group,FJ_PT,26,30,8,3086,80.8488341629552,3723
group,FJ_PT,26,40,11,2853,74.74456379355516,3723
group,FJ_PT,26,50,13,2690,70.47419439350276,3723
group,FJ_PT,26,60,16,2477,64.8938957296306,3723
group,FJ_PT,26,70,19,2255,59.0778097982709,3723
group,FJ_PT,26,80,21,2083,54.571653130730944,3723
group,FJ_PT,26,90,24,1793,46.97406340057637,3723
group,FJ_PT,26,100,26,1376,36.04925334031962,3723
