Intercept,dose_low,dose_high,condition_high_temperature
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0
