model,column,mean,sd,nonzero_samples
A_dose_condition,Intercept,1.0,0.0,515
A_dose_condition,dose_low,0.3611650485436893,0.48033827273508395,186
A_dose_condition,dose_high,0.341747572815534,0.47429544515019895,176
A_dose_condition,condition_high_temperature,0.541747572815534,0.49825409196915954,279
B_dose_condition_batch,Intercept,1.0,0.0,515
B_dose_condition_batch,dose_low,0.3611650485436893,0.48033827273508395,186
B_dose_condition_batch,dose_high,0.341747572815534,0.47429544515019895,176
B_dose_condition_batch,condition_high_temperature,0.541747572815534,0.49825409196915954,279
B_dose_condition_batch,batch_20250914,0.13398058252427184,0.3406314519106077,69
B_dose_condition_batch,batch_20251001,0.22524271844660193,0.41774206902511835,116
B_dose_condition_batch,batch_20251026,0.02330097087378641,0.15085766679266044,12
B_dose_condition_batch,batch_20251104,0.003883495145631068,0.06219657234192997,2
B_dose_condition_batch,batch_20251107,0.001941747572815534,0.04402246232526071,1
B_dose_condition_batch,batch_20260527,0.2757281553398058,0.44688045346906113,142
B_dose_condition_batch,batch_20260717,0.23883495145631067,0.42637168927963826,123
C_dose_condition_interaction,Intercept,1.0,0.0,515
C_dose_condition_interaction,dose_low,0.3611650485436893,0.48033827273508395,186
C_dose_condition_interaction,dose_high,0.341747572815534,0.47429544515019895,176
C_dose_condition_interaction,condition_high_temperature,0.541747572815534,0.49825409196915954,279
C_dose_condition_interaction,dose_low_X_condition_high_temperature,0.16116504854368932,0.36768311855672614,83
C_dose_condition_interaction,dose_high_X_condition_high_temperature,0.19611650485436893,0.39705770535033724,101
