level,category,samples,threshold_pct,minimum_detected_samples,effective_threshold_pct,protein_groups,pct_of_all_protein_groups
group,FJ_FQ,70,10,7,10.0,3158,82.73513230285565
group,FJ_FQ,70,20,14,20.0,2739,71.75792507204612
group,FJ_FQ,70,30,21,30.0,2419,63.37437778359969
group,FJ_FQ,70,40,28,40.0,2173,56.929525805606495
group,FJ_FQ,70,50,35,50.0,1948,51.03484411841761
group,FJ_FQ,70,60,42,60.0,1768,46.31909876866649
group,FJ_FQ,70,70,49,70.0,1596,41.81294210112654
group,FJ_FQ,70,80,56,80.0,1392,36.46843070474194
group,FJ_FQ,70,90,63,90.0,1161,30.41655750589468
group,FJ_FQ,70,100,70,100.0,681,17.841236573225046
group,FJ_PT,26,10,3,11.538461538461538,3542,92.79538904899135
group,FJ_PT,26,20,6,23.076923076923077,3255,85.27639507466597
group,FJ_PT,26,30,8,30.76923076923077,3086,80.8488341629552
group,FJ_PT,26,40,11,42.30769230769231,2853,74.74456379355516
group,FJ_PT,26,50,13,50.0,2690,70.47419439350276
group,FJ_PT,26,60,16,61.53846153846154,2477,64.8938957296306
group,FJ_PT,26,70,19,73.07692307692307,2255,59.0778097982709
group,FJ_PT,26,80,21,80.76923076923077,2083,54.571653130730944
group,FJ_PT,26,90,24,92.3076923076923,1793,46.97406340057637
group,FJ_PT,26,100,26,100.0,1376,36.04925334031962
group,FJ_QZ,61,10,7,11.475409836065573,3080,80.69164265129683
group,FJ_QZ,61,20,13,21.311475409836063,2729,71.49593921928215
group,FJ_QZ,61,30,19,31.147540983606557,2472,64.76290280324862
group,FJ_QZ,61,40,25,40.98360655737705,2244,58.789625360230545
group,FJ_QZ,61,50,31,50.81967213114754,2061,53.995284254650244
group,FJ_QZ,61,60,37,60.65573770491803,1902,49.82970919570343
group,FJ_QZ,61,70,43,70.49180327868852,1735,45.45454545454545
group,FJ_QZ,61,80,49,80.32786885245902,1556,40.76499869007073
group,FJ_QZ,61,90,55,90.1639344262295,1326,34.73932407649987
group,FJ_QZ,61,100,61,100.0,891,23.34293948126801
group,GZ_TH,123,10,13,10.569105691056912,3166,82.94472098506681
group,GZ_TH,123,20,25,20.32520325203252,2614,68.48310191249672
group,GZ_TH,123,30,37,30.081300813008134,2257,59.130206968823686
group,GZ_TH,123,40,50,40.65040650406504,1961,51.375425727010736
group,GZ_TH,123,50,62,50.40650406504065,1741,45.61173696620383
group,GZ_TH,123,60,74,60.16260162601627,1525,39.95284254650249
group,GZ_TH,123,70,87,70.73170731707317,1346,35.26329578202777
group,GZ_TH,123,80,99,80.48780487804879,1177,30.835734870317005
group,GZ_TH,123,90,111,90.2439024390244,984,25.77940791197275
group,GZ_TH,123,100,123,100.0,570,14.933193607545192
group,XZ_GG,143,10,15,10.48951048951049,3258,85.35499083049515
group,XZ_GG,143,20,29,20.27972027972028,2736,71.67932931621692
group,XZ_GG,143,30,43,30.069930069930066,2355,61.697668325910406
group,XZ_GG,143,40,58,40.55944055944056,2067,54.15247576630862
group,XZ_GG,143,50,72,50.349650349650354,1837,48.126801152737755
group,XZ_GG,143,60,86,60.13986013986013,1625,42.572701074141996
group,XZ_GG,143,70,101,70.62937062937063,1407,36.86140948388787
group,XZ_GG,143,80,115,80.41958041958041,1226,32.11946554886036
group,XZ_GG,143,90,129,90.20979020979021,994,26.041393764736704
group,XZ_GG,143,100,143,100.0,600,15.719151165837046
group,XZ_YA,22,10,3,13.636363636363635,3374,88.39402672255699
group,XZ_YA,22,20,5,22.727272727272727,3117,81.66099030652344
group,XZ_YA,22,30,7,31.818181818181817,2870,75.18993974325386
group,XZ_YA,22,40,9,40.909090909090914,2642,69.21666230023578
group,XZ_YA,22,50,11,50.0,2422,63.45297353942887
group,XZ_YA,22,60,14,63.63636363636363,2103,55.095624836258835
group,XZ_YA,22,70,16,72.72727272727273,1892,49.56772334293948
group,XZ_YA,22,80,18,81.81818181818183,1654,43.332460047157454
group,XZ_YA,22,90,20,90.9090909090909,1404,36.782813728058684
group,XZ_YA,22,100,22,100.0,984,25.77940791197275
group,XZ_YB,12,10,2,16.666666666666664,3370,88.2892323814514
group,XZ_YB,12,20,3,25.0,3154,82.63033796175007
group,XZ_YB,12,30,4,33.33333333333333,2972,77.86219544144616
group,XZ_YB,12,40,5,41.66666666666667,2799,73.32984018862982
group,XZ_YB,12,50,6,50.0,2638,69.11186795913021
group,XZ_YB,12,60,8,66.66666666666666,2285,59.86376735656275
group,XZ_YB,12,70,9,75.0,2158,56.53654702646057
group,XZ_YB,12,80,10,83.33333333333334,1994,52.239979041131775
group,XZ_YB,12,90,11,91.66666666666666,1805,47.28844642389311
group,XZ_YB,12,100,12,100.0,1521,39.84804820539691
group,XZ_YC,34,10,4,11.76470588235294,3345,87.63426774954152
group,XZ_YC,34,20,7,20.588235294117645,3071,80.45585538380926
group,XZ_YC,34,30,11,32.35294117647059,2741,71.8103222425989
group,XZ_YC,34,40,14,41.17647058823529,2532,66.33481791983233
group,XZ_YC,34,50,17,50.0,2320,60.78071784123657
group,XZ_YC,34,60,21,61.76470588235294,2051,53.7332984018863
group,XZ_YC,34,70,24,70.58823529411765,1877,49.17474456379355
group,XZ_YC,34,80,28,82.35294117647058,1615,42.31071522137805
group,XZ_YC,34,90,31,91.17647058823529,1387,36.33743777835997
group,XZ_YC,34,100,34,100.0,910,23.840712601519517
group,XZ_YD,28,10,3,10.714285714285714,3677,96.33219806130468
