level,threshold_pct,groups,all_groups_meet_threshold,any_group_meets_threshold
group,10,9,2750,3746
group,20,9,2279,3628
group,30,9,1981,3383
group,40,9,1733,3132
group,50,9,1538,2960
group,60,9,1355,2679
group,70,9,1192,2493
group,80,9,1040,2301
group,90,9,848,2054
group,100,9,481,1701
condition,10,2,3259,3531
condition,20,2,2797,3095
condition,30,2,2421,2711
condition,40,2,2124,2351
condition,50,2,1891,2114
condition,60,2,1656,1888
condition,70,2,1435,1632
condition,80,2,1212,1402
condition,90,2,970,1130
condition,100,2,481,612
