PG.ProteinGroups,Detection_pattern,Target_threshold,Other_threshold_exclusive
A0A024R1R8;Q9Y2S6,Other_unbalanced,0.7,0.2
A0A075B6H9,Broad_detection,0.7,0.2
A0A075B6I0,Broad_detection,0.7,0.2
A0A075B6I1,Other_unbalanced,0.7,0.2
A0A075B6I4,Other_unbalanced,0.7,0.2
A0A075B6I9,Other_unbalanced,0.7,0.2
A0A075B6J1,Other_unbalanced,0.7,0.2
A0A075B6J9,Broad_detection,0.7,0.2
A0A075B6K2,Other_unbalanced,0.7,0.2
A0A075B6K4,Broad_detection,0.7,0.2
A0A075B6K5,Broad_detection,0.7,0.2
A0A075B6K6,Other_unbalanced,0.7,0.2
A0A075B6P5;P01615,Broad_detection,0.7,0.2
A0A075B6Q5,Other_unbalanced,0.7,0.2
A0A075B6R2,Other_unbalanced,0.7,0.2
A0A075B6R9;A0A0C4DH68,Other_unbalanced,0.7,0.2
A0A075B6S2,Other_unbalanced,0.7,0.2
A0A075B6S5,Other_unbalanced,0.7,0.2
A0A075B6S6,Sparse,0.7,0.2
A0A075B6S9;P0DSN7,Sparse,0.7,0.2
A0A087WSX0,Broad_detection,0.7,0.2
A0A087WSY4,Other_unbalanced,0.7,0.2
A0A087WSY6,Broad_detection,0.7,0.2
A0A087WSZ0,Sparse,0.7,0.2
A0A087WW87;P01614,Other_unbalanced,0.7,0.2
A0A0A0MRZ8;P04433,Broad_detection,0.7,0.2
A0A0A0MRZ9,Sparse,0.7,0.2
A0A0A0MS00,Sparse,0.7,0.2
A0A0A0MS15,Broad_detection,0.7,0.2
A0A0A0MT36,Other_unbalanced,0.7,0.2
A0A0A0MT89,Other_unbalanced,0.7,0.2
A0A0B4J1U3,Other_unbalanced,0.7,0.2
A0A0B4J1U7,Broad_detection,0.7,0.2
A0A0B4J1V0,Broad_detection,0.7,0.2
A0A0B4J1V2,Other_unbalanced,0.7,0.2
A0A0B4J1V6,Other_unbalanced,0.7,0.2
A0A0B4J1X5,Broad_detection,0.7,0.2
A0A0B4J1Y8,Broad_detection,0.7,0.2
A0A0B4J1Y9,Broad_detection,0.7,0.2
A0A0B4J2D9;P0DP09,Other_unbalanced,0.7,0.2
A0A0C4DH24,Sparse,0.7,0.2
A0A0C4DH25,Broad_detection,0.7,0.2
A0A0C4DH29,Other_unbalanced,0.7,0.2
A0A0C4DH31,Other_unbalanced,0.7,0.2
A0A0C4DH33,Other_unbalanced,0.7,0.2
A0A0C4DH34,Broad_detection,0.7,0.2
A0A0C4DH35,Other_unbalanced,0.7,0.2
A0A0C4DH36,Other_unbalanced,0.7,0.2
A0A0C4DH38,Broad_detection,0.7,0.2
A0A0C4DH39,Sparse,0.7,0.2
