PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,PG.CV,PG.Qvalue,PG.MolecularWeight,Control_detected_n,Control_total_n,Control_detection_rate,Short_detected_n,Short_total_n,Short_detection_rate,Long_detected_n,Long_total_n,Long_detection_rate,In_detection_analysis_universe
A0A024R1R8;Q9Y2S6,TMA7B;TMA7,Translation machinery-associated protein 7B;Translation machinery-associated protein 7,TMA7B_HUMAN;TMA7_HUMAN,1.079098096069756,0.0073810825587752,7091.39;7066.29,81,153,0.5294117647058824,111,186,0.5967741935483871,90,176,0.5113636363636364,False
A0A075B6H9,IGLV4-69,Immunoglobulin lambda variable 4-69,LV469_HUMAN,1.664694312465617,0.0016233766233766,12773.26,150,153,0.9803921568627451,182,186,0.978494623655914,172,176,0.9772727272727273,True
A0A075B6I0,IGLV8-61,Immunoglobulin lambda variable 8-61,LV861_HUMAN,1.380970370303645,0.0072727272727272,12814.37,138,153,0.9019607843137255,166,186,0.8924731182795699,162,176,0.9204545454545454,True
A0A075B6I1,IGLV4-60,Immunoglobulin lambda variable 4-60,LV460_HUMAN,1.18726003542324,0.0055467511885895,12987.48,76,153,0.49673202614379086,107,186,0.5752688172043011,108,176,0.6136363636363636,True
A0A075B6I4,IGLV10-54,Immunoglobulin lambda variable 10-54,LVX54_HUMAN,1.2147319760769,0.0072727272727272,12394.85,103,153,0.673202614379085,137,186,0.7365591397849462,125,176,0.7102272727272727,True
A0A075B6I9,IGLV7-46,Immunoglobulin lambda variable 7-46,LV746_HUMAN,1.228836834883249,0.0073810825587752,12468.06,80,153,0.5228758169934641,85,186,0.45698924731182794,103,176,0.5852272727272727,False
A0A075B6J1,IGLV5-37,Immunoglobulin lambda variable 5-37,LV537_HUMAN,3.027087548589104,0.0072727272727272,13276.81,26,153,0.16993464052287582,43,186,0.23118279569892472,42,176,0.23863636363636365,False
A0A075B6J9,IGLV2-18,Immunoglobulin lambda variable 2-18,LV218_HUMAN,1.388263967976395,0.0040983606557377,12411.7,138,153,0.9019607843137255,178,186,0.956989247311828,160,176,0.9090909090909091,True
A0A075B6K2,IGLV3-12,Immunoglobulin lambda variable 3-12,LV312_HUMAN,0.9517078629556908,0.0072727272727272,12386.69,26,153,0.16993464052287582,37,186,0.1989247311827957,41,176,0.23295454545454544,False
A0A075B6K4,IGLV3-10,Immunoglobulin lambda variable 3-10,LV310_HUMAN,1.536986485734956,0.0073810825587752,12440.85,140,153,0.9150326797385621,169,186,0.9086021505376344,159,176,0.9034090909090909,True
A0A075B6K5,IGLV3-9,Immunoglobulin lambda variable 3-9,LV39_HUMAN,1.525876730830765,0.0016233766233766,12331.71,153,153,1.0,186,186,1.0,176,176,1.0,True
A0A075B6K6,IGLV4-3,Immunoglobulin lambda variable 4-3,LV403_HUMAN,1.125389557143101,0.0073810825587752,13329.89,35,153,0.22875816993464052,35,186,0.1881720430107527,34,176,0.19318181818181818,False
A0A075B6P5;P01615,IGKV2-28;IGKV2D-28,Immunoglobulin kappa variable 2-28;Immunoglobulin kappa variable 2D-28,KV228_HUMAN;KVD28_HUMAN,1.266506381467248,0.0016233766233766,12956.74;12956.74,148,153,0.9673202614379085,186,186,1.0,174,176,0.9886363636363636,True
A0A075B6Q5,IGHV3-64,Immunoglobulin heavy variable 3-64,HV364_HUMAN,3.386130985585263,0.006765899864682,12890.68,66,153,0.43137254901960786,93,186,0.5,92,176,0.5227272727272727,False
A0A075B6R2,IGHV4-4,Immunoglobulin heavy variable 4-4,HV404_HUMAN,1.946920190580679,0.0073810825587752,12847.71,91,153,0.5947712418300654,117,186,0.6290322580645161,120,176,0.6818181818181818,True
A0A075B6R9;A0A0C4DH68,IGKV2D-24;IGKV2-24,Probable non-functional immunoglobulin kappa variable 2D-24;Immunoglobulin kappa variable 2-24,KVD24_HUMAN;KV224_HUMAN,1.214596809898531,0.0040983606557377,13078.93;13079.01,105,153,0.6862745098039216,147,186,0.7903225806451613,142,176,0.8068181818181818,True
A0A075B6S2,IGKV2D-29,Immunoglobulin kappa variable 2D-29,KVD29_HUMAN,0.9954375278766272,0.0073810825587752,13143.12,39,153,0.2549019607843137,59,186,0.3172043010752688,58,176,0.32954545454545453,False
A0A075B6S5,IGKV1-27,Immunoglobulin kappa variable 1-27,KV127_HUMAN,0.8000767797371555,0.0073810825587752,12711.51,37,153,0.24183006535947713,80,186,0.43010752688172044,64,176,0.36363636363636365,False
A0A075B6S6,IGKV2D-30,Immunoglobulin kappa variable 2D-30,KVD30_HUMAN,2.107511730613396,0.0073810825587752,13214.99,10,153,0.06535947712418301,24,186,0.12903225806451613,19,176,0.10795454545454546,False
A0A075B6S9;P0DSN7,IGKV1-37;IGKV1D-37,Probable non-functional immunoglobulin kappa variable 1-37;Probable non-functional immunoglobulin kappa variable 1D-37,KV137_HUMAN;KVD37_HUMAN,0.9901629064944732,0.0073810825587752,12688.44;12688.44,23,153,0.1503267973856209,30,186,0.16129032258064516,32,176,0.18181818181818182,False
A0A087WSX0,IGLV5-45,Immunoglobulin lambda variable 5-45,LV545_HUMAN,1.630182571035466,0.006765899864682,13161.78,152,153,0.9934640522875817,183,186,0.9838709677419355,176,176,1.0,True
A0A087WSY4,IGHV4-30-2,Immunoglobulin heavy variable 4-30-2,HV432_HUMAN,1.950231080227986,0.0072727272727272,13024.91,96,153,0.6274509803921569,123,186,0.6612903225806451,127,176,0.7215909090909091,True
