Sheet1_position,Sheet1_raw_header,Resolution_method,metadata_index,metadata_excel_row,UniqueSampleID,进样时间,sample,condition,group,TREAT1,TREAT1_clean,TREAT2,Tube_Mixing,WoleBlood_oldTime,Plasma_HoldTime_h,Note,detected_protein_groups,missing_pct,MS_batch_proxy
1,20250913_Q3,P1_UNIQUE_NAME,96,98,20250913_FJ_QZ_Q3,20250913,Q3,湿热,FJ_QZ,low,low,low_sound,Normal,0,Unknown,,2133,44.11841760544931,20250913
2,20250913_Q4,P1_UNIQUE_NAME,97,99,20250913_FJ_QZ_Q4,20250913,Q4,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2384,37.54257270107414,20250913
3,20250913_Q12,P1_UNIQUE_NAME,98,100,20250913_FJ_QZ_Q12,20250913,Q12,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2023,47.00026198585277,20250913
4,20250913__Q13,P1_UNIQUE_NAME,99,101,20250913_FJ_QZ_Q13,20250913,Q13,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,1891,50.45847524233691,20250913
5,20250913__Q14,P1_UNIQUE_NAME,100,102,20250913_FJ_QZ_Q14,20250913,Q14,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2425,36.46843070474194,20250913
6,20250913__Q15,P1_UNIQUE_NAME,101,103,20250913_FJ_QZ_Q15,20250913,Q15,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2273,40.450615666754,20250913
7,20250913__Q16,P1_UNIQUE_NAME,102,104,20250913_FJ_QZ_Q16,20250913,Q16,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,1948,48.9651558815824,20250913
8,20250913__Q18_,P1_UNIQUE_NAME,103,105,20250913_FJ_QZ_Q18,20250913,Q18,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2233,41.4985590778098,20250913
9,20250913__Q20_,P1_UNIQUE_NAME,104,106,20250913_FJ_QZ_Q20,20250913,Q20,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,hemolysis observed,2366,38.01414723604925,20250913
10,20250913__Q21_,P1_UNIQUE_NAME,105,107,20250913_FJ_QZ_Q21,20250913,Q21,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2187,42.70369400052397,20250913
11,20250913__Q22_,P1_UNIQUE_NAME,106,108,20250913_FJ_QZ_Q22,20250913,Q22,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2306,39.58606235263296,20250913
12,20250913__Q23_,P1_UNIQUE_NAME,107,109,20250913_FJ_QZ_Q23,20250913,Q23,湿热,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2063,45.95231857479696,20250913
13,20250913__Q25_,P1_UNIQUE_NAME,108,110,20250913_FJ_QZ_Q25,20250913,Q25,湿热,FJ_QZ,contrl,control,unkown,Normal,0,Unknown,,2365,38.04034582132565,20250913
14,20250913__Q26_,P1_UNIQUE_NAME,109,111,20250913_FJ_QZ_Q26,20250913,Q26,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2256,40.89599161645271,20250913
15,20250913__Q27_,P1_UNIQUE_NAME,110,112,20250913_FJ_QZ_Q27,20250913,Q27,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2379,37.67356562745612,20250913
16,20250913__Q28_,P1_UNIQUE_NAME,111,113,20250913_FJ_QZ_Q28,20250913,Q28,湿热,FJ_QZ,contrl,control,low_sound,Normal,0,Unknown,,2193,42.5465024888656,20250913
