PG.ProteinGroups,control_ge50pct,low_ge50pct,high_ge50pct,all_doses_ge50pct,control_ge60pct,low_ge60pct,high_ge60pct,all_doses_ge60pct,control_ge70pct,low_ge70pct,high_ge70pct,all_doses_ge70pct,control_ge80pct,low_ge80pct,high_ge80pct,all_doses_ge80pct
A0A024R1R8;Q9Y2S6,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6H9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A075B6I0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A075B6I1,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
A0A075B6I4,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False
A0A075B6I9,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6J1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6J9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A075B6K2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6K4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A075B6K5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A075B6K6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6P5;P01615,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A075B6Q5,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6R2,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False
A0A075B6R9;A0A0C4DH68,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False
A0A075B6S2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6S5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6S6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A075B6S9;P0DSN7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A087WSX0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A087WSY4,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False
A0A087WSY6,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
A0A087WSZ0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A087WW87;P01614,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0A0MRZ8;P04433,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0A0MRZ9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0A0MS00,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0A0MS15,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0A0MT36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0A0MT89,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0B4J1U3,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0B4J1U7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0B4J1V0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0B4J1V2,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False
A0A0B4J1V6,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False
A0A0B4J1X5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0B4J1Y8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0B4J1Y9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0B4J2D9;P0DP09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0C4DH24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0C4DH25,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0C4DH29,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0C4DH31,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False
A0A0C4DH33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0C4DH34,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0C4DH35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0C4DH36,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,False
A0A0C4DH38,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0C4DH39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0C4DH43,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0C4DH67,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0G2JS06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0J9YVY3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0J9YWL9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0A0J9YX35,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A0J9YXX1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
A0A1B0GTC6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0A494C071,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0AV96,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0AVT1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0FGR8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A0M8Q6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A0PJW8,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False
A1A4S6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A1L4H1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A1X283;Q5TCZ1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A2A2Y4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A2A3L6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A2CJ06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A2NJV5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A2PYH4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A2RRP1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A2RUS2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A4D1P6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A6NDG6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A6NDU8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A6NH11,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
A6NHL2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A6NL88,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A6NM11;A6NMS7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
A6NML5,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
A6QL63,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A8CG34;Q96HA1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A8K2U0,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
A8MYB1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
B0I1T2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
B2RUZ4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
B5ME19;Q99613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
E9PAV3,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False
L0R6Q1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00139,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O00148,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00151,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00154,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
O00159,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False
O00160,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
O00161,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
O00170,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00186,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O00187,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00194,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00203,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O00204,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00231,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00232,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00233,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
O00241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00244,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00264,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00292;O75610,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00299,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00339,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00391,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00410,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O00429,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
O00442,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00453,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00461,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00468,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00471,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00487,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00499,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00505,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00522,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00533,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00560,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00571,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
O00585,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O00587,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00592,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00602,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O00622,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00629,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O00743,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
O00748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O14498,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14523,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O14558,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O14579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O14594,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14602;P47813,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14617,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O14618,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
O14645,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
O14646;O14647,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O14656,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False
