PG.ProteinGroups,control_detected_samples,control_samples,control_detection_rate,low_detected_samples,low_samples,low_detection_rate,high_detected_samples,high_samples,high_detection_rate
A0A024R1R8;Q9Y2S6,81,153,0.5294117647058824,111,186,0.5967741935483871,90,176,0.5113636363636364
A0A075B6H9,150,153,0.9803921568627451,182,186,0.978494623655914,172,176,0.9772727272727273
A0A075B6I0,138,153,0.9019607843137255,166,186,0.8924731182795699,162,176,0.9204545454545454
A0A075B6I1,76,153,0.49673202614379086,107,186,0.5752688172043011,108,176,0.6136363636363636
A0A075B6I4,103,153,0.673202614379085,137,186,0.7365591397849462,125,176,0.7102272727272727
A0A075B6I9,80,153,0.5228758169934641,85,186,0.45698924731182794,103,176,0.5852272727272727
A0A075B6J1,26,153,0.16993464052287582,43,186,0.23118279569892472,42,176,0.23863636363636365
A0A075B6J9,138,153,0.9019607843137255,178,186,0.956989247311828,160,176,0.9090909090909091
A0A075B6K2,26,153,0.16993464052287582,37,186,0.1989247311827957,41,176,0.23295454545454544
A0A075B6K4,140,153,0.9150326797385621,169,186,0.9086021505376344,159,176,0.9034090909090909
A0A075B6K5,153,153,1.0,186,186,1.0,176,176,1.0
A0A075B6K6,35,153,0.22875816993464052,35,186,0.1881720430107527,34,176,0.19318181818181818
A0A075B6P5;P01615,148,153,0.9673202614379085,186,186,1.0,174,176,0.9886363636363636
A0A075B6Q5,66,153,0.43137254901960786,93,186,0.5,92,176,0.5227272727272727
A0A075B6R2,91,153,0.5947712418300654,117,186,0.6290322580645161,120,176,0.6818181818181818
A0A075B6R9;A0A0C4DH68,105,153,0.6862745098039216,147,186,0.7903225806451613,142,176,0.8068181818181818
A0A075B6S2,39,153,0.2549019607843137,59,186,0.3172043010752688,58,176,0.32954545454545453
A0A075B6S5,37,153,0.24183006535947713,80,186,0.43010752688172044,64,176,0.36363636363636365
A0A075B6S6,10,153,0.06535947712418301,24,186,0.12903225806451613,19,176,0.10795454545454546
A0A075B6S9;P0DSN7,23,153,0.1503267973856209,30,186,0.16129032258064516,32,176,0.18181818181818182
A0A087WSX0,152,153,0.9934640522875817,183,186,0.9838709677419355,176,176,1.0
A0A087WSY4,96,153,0.6274509803921569,123,186,0.6612903225806451,127,176,0.7215909090909091
A0A087WSY6,111,153,0.7254901960784313,139,186,0.7473118279569892,134,176,0.7613636363636364
A0A087WSZ0,13,153,0.08496732026143791,19,186,0.10215053763440861,34,176,0.19318181818181818
A0A087WW87;P01614,37,153,0.24183006535947713,59,186,0.3172043010752688,54,176,0.3068181818181818
A0A0A0MRZ8;P04433,152,153,0.9934640522875817,185,186,0.9946236559139785,174,176,0.9886363636363636
A0A0A0MRZ9,29,153,0.1895424836601307,35,186,0.1881720430107527,23,176,0.13068181818181818
A0A0A0MS00,1,153,0.006535947712418301,3,186,0.016129032258064516,2,176,0.011363636363636364
A0A0A0MS15,152,153,0.9934640522875817,184,186,0.989247311827957,176,176,1.0
A0A0A0MT36,49,153,0.3202614379084967,60,186,0.3225806451612903,64,176,0.36363636363636365
A0A0A0MT89,48,153,0.3137254901960784,80,186,0.43010752688172044,73,176,0.4147727272727273
A0A0B4J1U3,79,153,0.5163398692810458,90,186,0.4838709677419355,98,176,0.5568181818181818
A0A0B4J1U7,145,153,0.9477124183006536,184,186,0.989247311827957,171,176,0.9715909090909091
A0A0B4J1V0,150,153,0.9803921568627451,179,186,0.9623655913978495,170,176,0.9659090909090909
A0A0B4J1V2,98,153,0.6405228758169934,133,186,0.7150537634408602,128,176,0.7272727272727273
A0A0B4J1V6,94,153,0.6143790849673203,131,186,0.7043010752688172,121,176,0.6875
A0A0B4J1X5,152,153,0.9934640522875817,184,186,0.989247311827957,175,176,0.9943181818181818
A0A0B4J1Y8,134,153,0.8758169934640523,169,186,0.9086021505376344,159,176,0.9034090909090909
A0A0B4J1Y9,153,153,1.0,186,186,1.0,176,176,1.0
A0A0B4J2D9;P0DP09,28,153,0.1830065359477124,51,186,0.27419354838709675,40,176,0.22727272727272727
A0A0C4DH24,27,153,0.17647058823529413,30,186,0.16129032258064516,32,176,0.18181818181818182
A0A0C4DH25,140,153,0.9150326797385621,180,186,0.967741935483871,163,176,0.9261363636363636
A0A0C4DH29,73,153,0.477124183006536,97,186,0.521505376344086,91,176,0.5170454545454546
A0A0C4DH31,102,153,0.6666666666666666,134,186,0.7204301075268817,131,176,0.7443181818181818
A0A0C4DH33,58,153,0.3790849673202614,74,186,0.3978494623655914,86,176,0.48863636363636365
A0A0C4DH34,140,153,0.9150326797385621,173,186,0.9301075268817204,162,176,0.9204545454545454
A0A0C4DH35,37,153,0.24183006535947713,47,186,0.25268817204301075,54,176,0.3068181818181818
A0A0C4DH36,105,153,0.6862745098039216,151,186,0.8118279569892473,138,176,0.7840909090909091
A0A0C4DH38,140,153,0.9150326797385621,178,186,0.956989247311828,164,176,0.9318181818181818
A0A0C4DH39,2,153,0.013071895424836602,5,186,0.026881720430107527,1,176,0.005681818181818182
A0A0C4DH43,141,153,0.9215686274509803,166,186,0.8924731182795699,159,176,0.9034090909090909
A0A0C4DH67,133,153,0.869281045751634,161,186,0.8655913978494624,167,176,0.9488636363636364
A0A0G2JS06,139,153,0.9084967320261438,163,186,0.8763440860215054,156,176,0.8863636363636364
A0A0J9YVY3,27,153,0.17647058823529413,47,186,0.25268817204301075,46,176,0.26136363636363635
