UniqueSampleID,group,condition,detected_protein_groups
20250913_FJ_QZ_Q3,FJ_QZ,湿热,2133
20250913_FJ_QZ_Q4,FJ_QZ,湿热,2384
20250913_FJ_QZ_Q12,FJ_QZ,湿热,2023
20250913_FJ_QZ_Q13,FJ_QZ,湿热,1891
20250913_FJ_QZ_Q14,FJ_QZ,湿热,2425
20250913_FJ_QZ_Q15,FJ_QZ,湿热,2273
20250913_FJ_QZ_Q16,FJ_QZ,湿热,1948
20250913_FJ_QZ_Q18,FJ_QZ,湿热,2233
20250913_FJ_QZ_Q20,FJ_QZ,湿热,2366
20250913_FJ_QZ_Q21,FJ_QZ,湿热,2187
20250913_FJ_QZ_Q22,FJ_QZ,湿热,2306
20250913_FJ_QZ_Q23,FJ_QZ,湿热,2063
20250913_FJ_QZ_Q25,FJ_QZ,湿热,2365
20250913_FJ_QZ_Q26,FJ_QZ,湿热,2256
20250913_FJ_QZ_Q27,FJ_QZ,湿热,2379
20250913_FJ_QZ_Q28,FJ_QZ,湿热,2193
20250913_FJ_QZ_Q29,FJ_QZ,湿热,2218
20250913_FJ_QZ_Q31,FJ_QZ,湿热,2076
20250913_FJ_QZ_Q32,FJ_QZ,湿热,2158
20250913_FJ_QZ_Q33,FJ_QZ,湿热,2085
20250913_FJ_QZ_Q34,FJ_QZ,湿热,2111
20250913_FJ_QZ_Q36,FJ_QZ,湿热,2297
20250913_FJ_QZ_Q37,FJ_QZ,湿热,2057
20250913_FJ_QZ_Q38,FJ_QZ,湿热,2020
20250913_FJ_QZ_Q39,FJ_QZ,湿热,2178
20250913_FJ_QZ_Q41,FJ_QZ,湿热,2575
20250913_FJ_QZ_Q42,FJ_QZ,湿热,2090
20250913_FJ_QZ_Q44,FJ_QZ,湿热,1930
20250913_FJ_QZ_Q45,FJ_QZ,湿热,2042
20250913_FJ_QZ_Q48,FJ_QZ,湿热,1695
20250913_FJ_QZ_Q49,FJ_QZ,湿热,2393
20250913_FJ_QZ_Q50,FJ_QZ,湿热,2249
20250913_FJ_QZ_Q52,FJ_QZ,湿热,1998
20250913_FJ_QZ_Q54,FJ_QZ,湿热,2027
20250913_FJ_QZ_Q55,FJ_QZ,湿热,2140
20250913_FJ_QZ_Q57,FJ_QZ,湿热,2102
20250913_FJ_QZ_Q58,FJ_QZ,湿热,2056
20250913_FJ_QZ_Q59,FJ_QZ,湿热,2357
20250913_FJ_QZ_Q60,FJ_QZ,湿热,2008
20250913_FJ_QZ_Q61,FJ_QZ,湿热,2004
20250913_FJ_QZ_Q62,FJ_QZ,湿热,2737
20250913_FJ_QZ_Q63,FJ_QZ,湿热,2212
20250913_FJ_QZ_Q65,FJ_QZ,湿热,2078
20250913_FJ_QZ_Q66,FJ_QZ,湿热,2385
20250913_FJ_QZ_Q67,FJ_QZ,湿热,2111
20250913_FJ_QZ_Q68,FJ_QZ,湿热,2014
20250913_FJ_QZ_Q69,FJ_QZ,湿热,1670
20250913_FJ_QZ_Q70,FJ_QZ,湿热,2352
20250913_FJ_QZ_Q71,FJ_QZ,湿热,2297
20250913_FJ_QZ_Q72,FJ_QZ,湿热,1874
20250914_FJ_FQ_F43,FJ_FQ,湿热,2165
20250914_FJ_FQ_F47,FJ_FQ,湿热,2141
20250914_FJ_FQ_F51,FJ_FQ,湿热,2308
20250914_FJ_FQ_F53,FJ_FQ,湿热,2234
20250914_FJ_FQ_F54,FJ_FQ,湿热,2353
20250914_FJ_FQ_F55,FJ_FQ,湿热,2460
20250914_FJ_FQ_F56,FJ_FQ,湿热,2230
20250914_FJ_FQ_F57,FJ_FQ,湿热,2766
20250914_FJ_FQ_F58,FJ_FQ,湿热,2110
20250914_FJ_FQ_F62,FJ_FQ,湿热,2093
20250914_FJ_FQ_F66,FJ_FQ,湿热,2160
20250914_FJ_FQ_F69,FJ_FQ,湿热,2048
20250914_FJ_FQ_F70,FJ_FQ,湿热,2240
20250914_FJ_FQ_F71,FJ_FQ,湿热,1891
20250914_FJ_FQ_F72,FJ_FQ,湿热,2147
20250914_FJ_FQ_F74,FJ_FQ,湿热,1939
20250914_FJ_FQ_F75,FJ_FQ,湿热,2298
20250914_FJ_FQ_F77,FJ_FQ,湿热,1199
20250914_FJ_FQ_F79,FJ_FQ,湿热,2173
20250914_FJ_FQ_F81,FJ_FQ,湿热,1727
20250914_FJ_FQ_F83,FJ_FQ,湿热,2252
20250914_FJ_FQ_F84,FJ_FQ,湿热,2215
20250914_FJ_FQ_F85,FJ_FQ,湿热,1755
20250914_FJ_FQ_F88,FJ_FQ,湿热,1786
20250914_FJ_FQ_F89,FJ_FQ,湿热,1736
20250914_FJ_FQ_F93,FJ_FQ,湿热,2065
20250914_FJ_FQ_F94,FJ_FQ,湿热,1599
20250914_FJ_FQ_F102,FJ_FQ,湿热,2170
20250914_FJ_FQ_F105,FJ_FQ,湿热,2146
20250914_FJ_FQ_F106,FJ_FQ,湿热,2228
20250914_FJ_FQ_F107,FJ_FQ,湿热,2430
20250914_FJ_FQ_F110,FJ_FQ,湿热,2109
20250914_FJ_FQ_F111,FJ_FQ,湿热,1987
20250914_FJ_FQ_F118,FJ_FQ,湿热,1973
20250914_FJ_FQ_F121,FJ_FQ,湿热,1952
20250914_FJ_FQ_F122,FJ_FQ,湿热,1751
20250914_FJ_FQ_F123,FJ_FQ,湿热,2117
20250914_FJ_FQ_F124,FJ_FQ,湿热,1924
20250914_FJ_FQ_F125,FJ_FQ,湿热,1866
20250914_FJ_FQ_F126,FJ_FQ,湿热,1302
20250914_FJ_FQ_F128,FJ_FQ,湿热,2014
20250914_FJ_FQ_F129,FJ_FQ,湿热,1666
