level,category,samples,threshold_pct,minimum_detected_samples,effective_threshold_pct,protein_groups,pct_of_all_protein_groups
group,XZ_GG,143,10,15,10.48951048951049,3258,85.35499083049515
group,XZ_GG,143,20,29,20.27972027972028,2736,71.67932931621692
group,XZ_GG,143,30,43,30.069930069930066,2355,61.697668325910406
group,XZ_GG,143,40,58,40.55944055944056,2067,54.15247576630862
group,XZ_GG,143,50,72,50.349650349650354,1837,48.126801152737755
group,XZ_GG,143,60,86,60.13986013986013,1625,42.572701074141996
group,XZ_GG,143,70,101,70.62937062937063,1407,36.86140948388787
group,XZ_GG,143,80,115,80.41958041958041,1226,32.11946554886036
group,XZ_GG,143,90,129,90.20979020979021,994,26.041393764736704
group,XZ_GG,143,100,143,100.0,600,15.719151165837046
group,XZ_YA,22,10,3,13.636363636363635,3374,88.39402672255699
group,XZ_YA,22,20,5,22.727272727272727,3117,81.66099030652344
group,XZ_YA,22,30,7,31.818181818181817,2870,75.18993974325386
group,XZ_YA,22,40,9,40.909090909090914,2642,69.21666230023578
group,XZ_YA,22,50,11,50.0,2422,63.45297353942887
group,XZ_YA,22,60,14,63.63636363636363,2103,55.095624836258835
group,XZ_YA,22,70,16,72.72727272727273,1892,49.56772334293948
group,XZ_YA,22,80,18,81.81818181818183,1654,43.332460047157454
group,XZ_YA,22,90,20,90.9090909090909,1404,36.782813728058684
group,XZ_YA,22,100,22,100.0,984,25.77940791197275
group,XZ_YB,12,10,2,16.666666666666664,3370,88.2892323814514
group,XZ_YB,12,20,3,25.0,3154,82.63033796175007
group,XZ_YB,12,30,4,33.33333333333333,2972,77.86219544144616
group,XZ_YB,12,40,5,41.66666666666667,2799,73.32984018862982
group,XZ_YB,12,50,6,50.0,2638,69.11186795913021
group,XZ_YB,12,60,8,66.66666666666666,2285,59.86376735656275
group,XZ_YB,12,70,9,75.0,2158,56.53654702646057
group,XZ_YB,12,80,10,83.33333333333334,1994,52.239979041131775
group,XZ_YB,12,90,11,91.66666666666666,1805,47.28844642389311
group,XZ_YB,12,100,12,100.0,1521,39.84804820539691
group,XZ_YC,34,10,4,11.76470588235294,3345,87.63426774954152
group,XZ_YC,34,20,7,20.588235294117645,3071,80.45585538380926
group,XZ_YC,34,30,11,32.35294117647059,2741,71.8103222425989
group,XZ_YC,34,40,14,41.17647058823529,2532,66.33481791983233
group,XZ_YC,34,50,17,50.0,2320,60.78071784123657
group,XZ_YC,34,60,21,61.76470588235294,2051,53.7332984018863
group,XZ_YC,34,70,24,70.58823529411765,1877,49.17474456379355
group,XZ_YC,34,80,28,82.35294117647058,1615,42.31071522137805
group,XZ_YC,34,90,31,91.17647058823529,1387,36.33743777835997
group,XZ_YC,34,100,34,100.0,910,23.840712601519517
group,XZ_YD,28,10,3,10.714285714285714,3677,96.33219806130468
group,XZ_YD,28,20,6,21.428571428571427,3498,91.64265129682997
group,XZ_YD,28,30,9,32.142857142857146,3123,81.81818181818183
group,XZ_YD,28,40,12,42.857142857142854,2731,71.54833638983494
group,XZ_YD,28,50,14,50.0,2479,64.9462929001834
group,XZ_YD,28,60,17,60.71428571428571,2181,57.13911448781766
group,XZ_YD,28,70,20,71.42857142857143,1904,49.882106366256224
group,XZ_YD,28,80,23,82.14285714285714,1647,43.14906995022269
group,XZ_YD,28,90,26,92.85714285714286,1307,34.24155095624836
group,XZ_YD,28,100,28,100.0,992,25.988996594183916
