level,category,samples,threshold_pct,minimum_detected_samples,effective_threshold_pct,protein_groups,pct_of_all_protein_groups
group,FJ_FQ,70,10,7,10.0,3158,82.73513230285565
group,FJ_FQ,70,20,14,20.0,2739,71.75792507204612
group,FJ_FQ,70,30,21,30.0,2419,63.37437778359969
group,FJ_FQ,70,40,28,40.0,2173,56.929525805606495
group,FJ_FQ,70,50,35,50.0,1948,51.03484411841761
group,FJ_FQ,70,60,42,60.0,1768,46.31909876866649
group,FJ_FQ,70,70,49,70.0,1596,41.81294210112654
group,FJ_FQ,70,80,56,80.0,1392,36.46843070474194
group,FJ_FQ,70,90,63,90.0,1161,30.41655750589468
group,FJ_FQ,70,100,70,100.0,681,17.841236573225046
group,FJ_PT,26,10,3,11.538461538461538,3542,92.79538904899135
group,FJ_PT,26,20,6,23.076923076923077,3255,85.27639507466597
group,FJ_PT,26,30,8,30.76923076923077,3086,80.8488341629552
group,FJ_PT,26,40,11,42.30769230769231,2853,74.74456379355516
group,FJ_PT,26,50,13,50.0,2690,70.47419439350276
group,FJ_PT,26,60,16,61.53846153846154,2477,64.8938957296306
group,FJ_PT,26,70,19,73.07692307692307,2255,59.0778097982709
group,FJ_PT,26,80,21,80.76923076923077,2083,54.571653130730944
group,FJ_PT,26,90,24,92.3076923076923,1793,46.97406340057637
group,FJ_PT,26,100,26,100.0,1376,36.04925334031962
group,FJ_QZ,61,10,7,11.475409836065573,3080,80.69164265129683
group,FJ_QZ,61,20,13,21.311475409836063,2729,71.49593921928215
group,FJ_QZ,61,30,19,31.147540983606557,2472,64.76290280324862
group,FJ_QZ,61,40,25,40.98360655737705,2244,58.789625360230545
group,FJ_QZ,61,50,31,50.81967213114754,2061,53.995284254650244
group,FJ_QZ,61,60,37,60.65573770491803,1902,49.82970919570343
group,FJ_QZ,61,70,43,70.49180327868852,1735,45.45454545454545
group,FJ_QZ,61,80,49,80.32786885245902,1556,40.76499869007073
group,FJ_QZ,61,90,55,90.1639344262295,1326,34.73932407649987
group,FJ_QZ,61,100,61,100.0,891,23.34293948126801
group,GZ_TH,123,10,13,10.569105691056912,3166,82.94472098506681
group,GZ_TH,123,20,25,20.32520325203252,2614,68.48310191249672
group,GZ_TH,123,30,37,30.081300813008134,2257,59.130206968823686
group,GZ_TH,123,40,50,40.65040650406504,1961,51.375425727010736
group,GZ_TH,123,50,62,50.40650406504065,1741,45.61173696620383
group,GZ_TH,123,60,74,60.16260162601627,1525,39.95284254650249
group,GZ_TH,123,70,87,70.73170731707317,1346,35.26329578202777
group,GZ_TH,123,80,99,80.48780487804879,1177,30.835734870317005
group,GZ_TH,123,90,111,90.2439024390244,984,25.77940791197275
group,GZ_TH,123,100,123,100.0,570,14.933193607545192
