PG.ProteinGroups,FJ_FQ,FJ_PT,FJ_QZ,GZ_TH,XZ_GG,XZ_YA,XZ_YB,XZ_YC,XZ_YD
A0A024R1R8;Q9Y2S6,0.7714285714285715,0.9230769230769231,0.8360655737704918,0.3252032520325203,0.23076923076923078,0.9090909090909091,1.0,0.8529411764705882,0.7857142857142857
A0A075B6H9,0.9857142857142858,1.0,0.9836065573770492,0.959349593495935,0.972027972027972,1.0,1.0,1.0,1.0
A0A075B6I0,0.9,0.9230769230769231,0.819672131147541,0.959349593495935,0.8951048951048951,1.0,1.0,0.7647058823529411,0.9285714285714286
A0A075B6I1,0.7428571428571429,0.6153846153846154,0.5245901639344263,0.5284552845528455,0.46853146853146854,0.6818181818181818,0.3333333333333333,0.5588235294117647,0.7857142857142857
A0A075B6I4,0.6714285714285714,0.6923076923076923,0.6557377049180327,0.6829268292682927,0.7692307692307693,0.6818181818181818,0.75,0.7058823529411765,0.6785714285714286
A0A075B6I9,0.6428571428571429,0.7692307692307693,0.6065573770491803,0.4146341463414634,0.2097902097902098,0.7727272727272727,0.8333333333333334,0.9117647058823529,1.0
A0A075B6J1,0.34285714285714286,0.2692307692307692,0.26229508196721313,0.11382113821138211,0.04195804195804196,0.45454545454545453,0.16666666666666666,0.4117647058823529,0.6785714285714286
A0A075B6J9,1.0,1.0,0.9836065573770492,0.9186991869918699,0.8111888111888111,1.0,1.0,0.9705882352941176,1.0
A0A075B6K2,0.2571428571428571,0.2692307692307692,0.04918032786885246,0.16260162601626016,0.027972027972027972,0.6363636363636364,0.16666666666666666,0.5,0.6785714285714286
A0A075B6K4,0.9857142857142858,1.0,0.9836065573770492,0.9024390243902439,0.7692307692307693,1.0,1.0,1.0,1.0
A0A075B6K5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A0A075B6K6,0.21428571428571427,0.2692307692307692,0.21311475409836064,0.14634146341463414,0.027972027972027972,0.5909090909090909,0.25,0.4411764705882353,0.6071428571428571
A0A075B6P5;P01615,0.9857142857142858,1.0,0.9672131147540983,0.975609756097561,0.993006993006993,1.0,1.0,1.0,1.0
A0A075B6Q5,0.6857142857142857,0.6538461538461539,0.5409836065573771,0.42276422764227645,0.18181818181818182,0.8636363636363636,0.75,0.6470588235294118,1.0
A0A075B6R2,0.7857142857142857,0.9615384615384616,0.6721311475409836,0.5691056910569106,0.36363636363636365,0.8636363636363636,0.8333333333333334,0.9117647058823529,0.9642857142857143
A0A075B6R9;A0A0C4DH68,0.9,0.8461538461538461,0.6557377049180327,0.6097560975609756,0.7342657342657343,1.0,0.9166666666666666,0.9705882352941176,0.9642857142857143
A0A075B6S2,0.37142857142857144,0.4230769230769231,0.22950819672131148,0.24390243902439024,0.21678321678321677,0.5454545454545454,0.08333333333333333,0.4117647058823529,0.6428571428571429
