"UniqueSampleID","dosecontrol","doselow","dosehigh","environmenthigh_temperature"
"20250913_FJ_QZ_Q3",0,1,0,1
"20250913_FJ_QZ_Q4",1,0,0,1
"20250913_FJ_QZ_Q12",1,0,0,1
"20250913_FJ_QZ_Q13",1,0,0,1
"20250913_FJ_QZ_Q14",1,0,0,1
"20250913_FJ_QZ_Q15",1,0,0,1
"20250913_FJ_QZ_Q16",1,0,0,1
"20250913_FJ_QZ_Q18",1,0,0,1
"20250913_FJ_QZ_Q20",1,0,0,1
"20250913_FJ_QZ_Q21",1,0,0,1
"20250913_FJ_QZ_Q22",1,0,0,1
"20250913_FJ_QZ_Q23",1,0,0,1
"20250913_FJ_QZ_Q25",1,0,0,1
"20250913_FJ_QZ_Q26",1,0,0,1
"20250913_FJ_QZ_Q27",1,0,0,1
"20250913_FJ_QZ_Q28",1,0,0,1
"20250913_FJ_QZ_Q29",1,0,0,1
"20250913_FJ_QZ_Q31",0,0,1,1
"20250913_FJ_QZ_Q32",0,0,1,1
"20250913_FJ_QZ_Q33",0,0,1,1
"20250913_FJ_QZ_Q34",0,0,1,1
"20250913_FJ_QZ_Q36",0,1,0,1
"20250913_FJ_QZ_Q37",0,0,1,1
"20250913_FJ_QZ_Q38",0,1,0,1
"20250913_FJ_QZ_Q39",0,0,1,1
"20250913_FJ_QZ_Q41",0,0,1,1
"20250913_FJ_QZ_Q42",0,0,1,1
"20250913_FJ_QZ_Q44",0,1,0,1
"20250913_FJ_QZ_Q45",0,1,0,1
"20250913_FJ_QZ_Q48",0,1,0,1
"20250913_FJ_QZ_Q49",0,1,0,1
"20250913_FJ_QZ_Q50",1,0,0,1
"20250913_FJ_QZ_Q52",0,1,0,1
"20250913_FJ_QZ_Q54",1,0,0,1
"20250913_FJ_QZ_Q55",1,0,0,1
"20250913_FJ_QZ_Q57",1,0,0,1
"20250913_FJ_QZ_Q58",0,1,0,1
"20250913_FJ_QZ_Q59",0,1,0,1
"20250913_FJ_QZ_Q60",0,1,0,1
"20250913_FJ_QZ_Q61",1,0,0,1
"20250913_FJ_QZ_Q62",1,0,0,1
"20250913_FJ_QZ_Q63",1,0,0,1
"20250913_FJ_QZ_Q65",1,0,0,1
"20250913_FJ_QZ_Q66",0,1,0,1
"20250913_FJ_QZ_Q67",0,1,0,1
"20250913_FJ_QZ_Q68",1,0,0,1
