"Sheet1_position","Sheet1_raw_header","Resolution_method","metadata_index","metadata_excel_row","UniqueSampleID","进样时间","sample","condition","group","TREAT1","TREAT1_clean","TREAT2","Tube_Mixing","WoleBlood_oldTime","Plasma_HoldTime_h","Note","detected_protein_groups","missing_pct","MS_batch_proxy","dose","environment","dose_numeric"
1,"20250913_Q3","P1_UNIQUE_NAME",96,98,"20250913_FJ_QZ_Q3",20250913,"Q3","high_temperature","FJ_QZ","low","low","low_sound","Normal","0","Unknown","",2133,44.1184176054493,"20250913","low","high_temperature",1
2,"20250913_Q4","P1_UNIQUE_NAME",97,99,"20250913_FJ_QZ_Q4",20250913,"Q4","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2384,37.5425727010741,"20250913","control","high_temperature",0
3,"20250913_Q12","P1_UNIQUE_NAME",98,100,"20250913_FJ_QZ_Q12",20250913,"Q12","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2023,47.0002619858528,"20250913","control","high_temperature",0
4,"20250913__Q13","P1_UNIQUE_NAME",99,101,"20250913_FJ_QZ_Q13",20250913,"Q13","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",1891,50.4584752423369,"20250913","control","high_temperature",0
5,"20250913__Q14","P1_UNIQUE_NAME",100,102,"20250913_FJ_QZ_Q14",20250913,"Q14","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2425,36.4684307047419,"20250913","control","high_temperature",0
6,"20250913__Q15","P1_UNIQUE_NAME",101,103,"20250913_FJ_QZ_Q15",20250913,"Q15","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2273,40.450615666754,"20250913","control","high_temperature",0
7,"20250913__Q16","P1_UNIQUE_NAME",102,104,"20250913_FJ_QZ_Q16",20250913,"Q16","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",1948,48.9651558815824,"20250913","control","high_temperature",0
8,"20250913__Q18_","P1_UNIQUE_NAME",103,105,"20250913_FJ_QZ_Q18",20250913,"Q18","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2233,41.4985590778098,"20250913","control","high_temperature",0
9,"20250913__Q20_","P1_UNIQUE_NAME",104,106,"20250913_FJ_QZ_Q20",20250913,"Q20","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","hemolysis observed",2366,38.0141472360492,"20250913","control","high_temperature",0
10,"20250913__Q21_","P1_UNIQUE_NAME",105,107,"20250913_FJ_QZ_Q21",20250913,"Q21","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2187,42.703694000524,"20250913","control","high_temperature",0
11,"20250913__Q22_","P1_UNIQUE_NAME",106,108,"20250913_FJ_QZ_Q22",20250913,"Q22","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2306,39.586062352633,"20250913","control","high_temperature",0
12,"20250913__Q23_","P1_UNIQUE_NAME",107,109,"20250913_FJ_QZ_Q23",20250913,"Q23","high_temperature","FJ_QZ","contrl","control","unkown","Normal","0","Unknown","",2063,45.952318574797,"20250913","control","high_temperature",0
13,"20250913__Q25_","P1_UNIQUE_NAME",108,110,"20250913_FJ_QZ_Q25",20250913,"Q25","high_temperature","FJ_QZ","contrl","control","unkown","Normal","0","Unknown","",2365,38.0403458213257,"20250913","control","high_temperature",0
14,"20250913__Q26_","P1_UNIQUE_NAME",109,111,"20250913_FJ_QZ_Q26",20250913,"Q26","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2256,40.8959916164527,"20250913","control","high_temperature",0
15,"20250913__Q27_","P1_UNIQUE_NAME",110,112,"20250913_FJ_QZ_Q27",20250913,"Q27","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2379,37.6735656274561,"20250913","control","high_temperature",0
16,"20250913__Q28_","P1_UNIQUE_NAME",111,113,"20250913_FJ_QZ_Q28",20250913,"Q28","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2193,42.5465024888656,"20250913","control","high_temperature",0
17,"20250913__Q29_","P1_UNIQUE_NAME",112,114,"20250913_FJ_QZ_Q29",20250913,"Q29","high_temperature","FJ_QZ","contrl","control","low_sound","Normal","0","Unknown","",2218,41.8915378569557,"20250913","control","high_temperature",0
18,"20250913__Q31_","P1_UNIQUE_NAME",113,115,"20250913_FJ_QZ_Q31",20250913,"Q31","high_temperature","FJ_QZ","high","high","low_sound","Normal","0","Unknown","",2076,45.6117369662038,"20250913","high","high_temperature",2
19,"20250913__Q32_","P1_UNIQUE_NAME",114,116,"20250913_FJ_QZ_Q32",20250913,"Q32","high_temperature","FJ_QZ","high","high","low_sound","Normal","0","Unknown","",2158,43.4634529735394,"20250913","high","high_temperature",2
