UniqueSampleID,UMAP1,UMAP2,TREAT1_clean,condition,MS_batch_proxy
20250913_FJ_QZ_Q3,0.39827139117999133,1.555320476010008,low,湿热,20250913
20250913_FJ_QZ_Q4,0.06254104712290817,1.1786941036726666,control,湿热,20250913
20250913_FJ_QZ_Q12,0.9610657487182146,0.9249908670927715,control,湿热,20250913
20250913_FJ_QZ_Q13,1.0479731354979998,0.5592115864302348,control,湿热,20250913
20250913_FJ_QZ_Q14,0.914374807861281,1.7870106443907452,control,湿热,20250913
20250913_FJ_QZ_Q15,0.143205219891501,0.9524950727965068,control,湿热,20250913
20250913_FJ_QZ_Q16,0.7294403407840258,0.18674126715914718,control,湿热,20250913
20250913_FJ_QZ_Q18,0.1796909067897325,1.342042659237547,control,湿热,20250913
20250913_FJ_QZ_Q20,0.07509271242899948,1.222201441242857,control,湿热,20250913
20250913_FJ_QZ_Q21,0.4260265026359087,1.3260627731825543,control,湿热,20250913
20250913_FJ_QZ_Q22,1.7174232993392473,3.414698098614378,control,湿热,20250913
20250913_FJ_QZ_Q23,0.28795848601741847,0.28286615462557785,control,湿热,20250913
20250913_FJ_QZ_Q25,0.4413744006423479,1.6467635378386212,control,湿热,20250913
20250913_FJ_QZ_Q26,0.39726355114264544,1.324689005329771,control,湿热,20250913
20250913_FJ_QZ_Q27,0.6307085249690538,1.7067761168028546,control,湿热,20250913
20250913_FJ_QZ_Q28,0.04712411203665787,1.090778444721861,control,湿热,20250913
20250913_FJ_QZ_Q29,0.035237813380194244,2.166718934490843,control,湿热,20250913
20250913_FJ_QZ_Q31,2.2273350749282366,3.4963474020506573,high,湿热,20250913
20250913_FJ_QZ_Q32,-0.00950453242974228,1.7350909456755352,high,湿热,20250913
20250913_FJ_QZ_Q33,0.529512712743712,0.6675837978865337,high,湿热,20250913
20250913_FJ_QZ_Q34,0.2438127566246515,0.985067103817625,high,湿热,20250913
20250913_FJ_QZ_Q36,0.25118680858297404,1.2362922176863385,low,湿热,20250913
20250913_FJ_QZ_Q37,0.5275378916530138,1.3465708241011334,high,湿热,20250913
20250913_FJ_QZ_Q38,0.2811982575921541,0.8724171862150859,low,湿热,20250913
20250913_FJ_QZ_Q39,0.3319420386223322,1.4864121422316265,high,湿热,20250913
20250913_FJ_QZ_Q41,0.309632675733996,2.6266505465056134,high,湿热,20250913
20250913_FJ_QZ_Q42,0.616719493654204,0.8061376556898784,high,湿热,20250913
