PG.ProteinGroups,UniqueSampleID,Abundance,TREAT1_clean,condition
P13591,20250913_FJ_QZ_Q3,14.45013883108269,low,湿热
P13591,20250913_FJ_QZ_Q4,13.946753887340472,control,湿热
P13591,20250913_FJ_QZ_Q12,13.635537460432573,control,湿热
P13591,20250913_FJ_QZ_Q13,13.735108190267102,control,湿热
P13591,20250913_FJ_QZ_Q14,14.158607222977244,control,湿热
P13591,20250913_FJ_QZ_Q15,14.124148769615205,control,湿热
P13591,20250913_FJ_QZ_Q16,13.173355680255765,control,湿热
P13591,20250913_FJ_QZ_Q18,13.941298850590352,control,湿热
P13591,20250913_FJ_QZ_Q20,13.808029918876258,control,湿热
P13591,20250913_FJ_QZ_Q21,13.61856462616679,control,湿热
P13591,20250913_FJ_QZ_Q22,13.579271276254106,control,湿热
P13591,20250913_FJ_QZ_Q23,13.475813816123235,control,湿热
P13591,20250913_FJ_QZ_Q25,14.067094738235598,control,湿热
P13591,20250913_FJ_QZ_Q26,13.634263010664787,control,湿热
P13591,20250913_FJ_QZ_Q27,14.0542984316537,control,湿热
P13591,20250913_FJ_QZ_Q28,13.619314375105974,control,湿热
P13591,20250913_FJ_QZ_Q29,14.000380203537805,control,湿热
P13591,20250913_FJ_QZ_Q31,12.975709014362687,high,湿热
P13591,20250913_FJ_QZ_Q32,13.3571708742824,high,湿热
P13591,20250913_FJ_QZ_Q33,13.737065443837894,high,湿热
P13591,20250913_FJ_QZ_Q34,13.871119951990723,high,湿热
P13591,20250913_FJ_QZ_Q36,14.061398387713451,low,湿热
P13591,20250913_FJ_QZ_Q37,13.890275225877176,high,湿热
P13591,20250913_FJ_QZ_Q38,13.683109522096707,low,湿热
P13591,20250913_FJ_QZ_Q39,14.082134257116369,high,湿热
P13591,20250913_FJ_QZ_Q41,14.021065364246247,high,湿热
P13591,20250913_FJ_QZ_Q42,14.091504311414177,high,湿热
P13591,20250913_FJ_QZ_Q44,14.023942970086702,low,湿热
P13591,20250913_FJ_QZ_Q45,12.699984024449888,low,湿热
P13591,20250913_FJ_QZ_Q48,12.900707360458716,low,湿热
P13591,20250913_FJ_QZ_Q49,13.871743778580479,low,湿热
P13591,20250913_FJ_QZ_Q50,13.368443982318219,control,湿热
P13591,20250913_FJ_QZ_Q52,13.811664261411167,low,湿热
P13591,20250913_FJ_QZ_Q54,13.066707907816282,control,湿热
P13591,20250913_FJ_QZ_Q55,13.509230264290398,control,湿热
P13591,20250913_FJ_QZ_Q57,13.839378734163235,control,湿热
P13591,20250913_FJ_QZ_Q58,13.398144531836687,low,湿热
P13591,20250913_FJ_QZ_Q59,14.143713129922018,low,湿热
P13591,20250913_FJ_QZ_Q60,13.891084468854608,low,湿热
P13591,20250913_FJ_QZ_Q61,12.816385857052168,control,湿热
P13591,20250913_FJ_QZ_Q62,13.768187859094963,control,湿热
P13591,20250913_FJ_QZ_Q63,13.848136167562247,control,湿热
P13591,20250913_FJ_QZ_Q65,13.229624463274046,control,湿热
P13591,20250913_FJ_QZ_Q66,14.148631271597466,low,湿热
