PG.ProteinGroups,UniqueSampleID,Abundance,TREAT1_clean,condition
Q9Y240,20250913_FJ_QZ_Q3,13.471566319588172,low,湿热
Q9Y240,20250913_FJ_QZ_Q4,13.76603345031225,control,湿热
Q9Y240,20250913_FJ_QZ_Q12,13.052191901949628,control,湿热
Q9Y240,20250913_FJ_QZ_Q13,13.216309956516996,control,湿热
Q9Y240,20250913_FJ_QZ_Q14,13.787036590243892,control,湿热
Q9Y240,20250913_FJ_QZ_Q15,13.319763480405932,control,湿热
Q9Y240,20250913_FJ_QZ_Q16,13.026228769705991,control,湿热
Q9Y240,20250913_FJ_QZ_Q18,13.18268046627351,control,湿热
Q9Y240,20250913_FJ_QZ_Q20,13.174597799894405,control,湿热
Q9Y240,20250913_FJ_QZ_Q21,13.142601639671105,control,湿热
Q9Y240,20250913_FJ_QZ_Q22,12.917024643361021,control,湿热
Q9Y240,20250913_FJ_QZ_Q23,12.604231285820903,control,湿热
Q9Y240,20250913_FJ_QZ_Q25,13.329430113818628,control,湿热
Q9Y240,20250913_FJ_QZ_Q26,13.418315888448845,control,湿热
Q9Y240,20250913_FJ_QZ_Q27,13.832010836539816,control,湿热
Q9Y240,20250913_FJ_QZ_Q28,13.074104214466965,control,湿热
Q9Y240,20250913_FJ_QZ_Q29,13.377128563973569,control,湿热
Q9Y240,20250913_FJ_QZ_Q31,12.367664963393613,high,湿热
Q9Y240,20250913_FJ_QZ_Q32,12.843720685634809,high,湿热
Q9Y240,20250913_FJ_QZ_Q33,12.903663070089506,high,湿热
Q9Y240,20250913_FJ_QZ_Q34,12.999073920224252,high,湿热
Q9Y240,20250913_FJ_QZ_Q36,13.68244150868456,low,湿热
Q9Y240,20250913_FJ_QZ_Q37,13.244923272264854,high,湿热
Q9Y240,20250913_FJ_QZ_Q38,12.614181529004235,low,湿热
Q9Y240,20250913_FJ_QZ_Q39,13.800265901993244,high,湿热
Q9Y240,20250913_FJ_QZ_Q41,13.780465977499174,high,湿热
Q9Y240,20250913_FJ_QZ_Q42,13.473214984898522,high,湿热
Q9Y240,20250913_FJ_QZ_Q44,13.251823033189641,low,湿热
Q9Y240,20250913_FJ_QZ_Q45,12.591156497658837,low,湿热
Q9Y240,20250913_FJ_QZ_Q48,12.62029255026431,low,湿热
Q9Y240,20250913_FJ_QZ_Q49,13.2696383641688,low,湿热
Q9Y240,20250913_FJ_QZ_Q50,12.480802032105744,control,湿热
Q9Y240,20250913_FJ_QZ_Q52,13.718101890336964,low,湿热
Q9Y240,20250913_FJ_QZ_Q54,12.1312997984707,control,湿热
Q9Y240,20250913_FJ_QZ_Q55,13.363571740720415,control,湿热
Q9Y240,20250913_FJ_QZ_Q57,13.307250430508205,control,湿热
Q9Y240,20250913_FJ_QZ_Q58,12.625764015785466,low,湿热
Q9Y240,20250913_FJ_QZ_Q59,13.149243350088529,low,湿热
Q9Y240,20250913_FJ_QZ_Q60,13.141521099056886,low,湿热
Q9Y240,20250913_FJ_QZ_Q61,13.052353452317599,control,湿热
Q9Y240,20250913_FJ_QZ_Q62,13.633453144143868,control,湿热
Q9Y240,20250913_FJ_QZ_Q63,13.292735025347808,control,湿热
Q9Y240,20250913_FJ_QZ_Q65,13.273626876312974,control,湿热
Q9Y240,20250913_FJ_QZ_Q66,13.306490077259545,low,湿热
Q9Y240,20250913_FJ_QZ_Q67,14.069083896894337,low,湿热
Q9Y240,20250913_FJ_QZ_Q68,12.931188729856096,control,湿热
Q9Y240,20250913_FJ_QZ_Q69,12.442525299952164,control,湿热
Q9Y240,20250913_FJ_QZ_Q70,14.438786269822273,control,湿热
Q9Y240,20250913_FJ_QZ_Q71,13.635375157189099,control,湿热
Q9Y240,20250913_FJ_QZ_Q72,13.001264550016554,low,湿热
Q9Y240,20250914_FJ_FQ_F47,14.11690962428871,low,湿热
Q9Y240,20250914_FJ_FQ_F51,13.813786180998385,low,湿热
Q9Y240,20250914_FJ_FQ_F53,13.048335201681954,control,湿热
Q9Y240,20250914_FJ_FQ_F54,14.157394123498076,low,湿热
Q9Y240,20250914_FJ_FQ_F55,13.070189257248098,high,湿热
Q9Y240,20250914_FJ_FQ_F56,13.876871278057912,control,湿热
Q9Y240,20250914_FJ_FQ_F57,13.742169610324678,low,湿热
Q9Y240,20250914_FJ_FQ_F58,13.111598641657281,high,湿热
Q9Y240,20250914_FJ_FQ_F62,13.535611299822776,high,湿热
Q9Y240,20250914_FJ_FQ_F66,13.159388646261977,control,湿热
Q9Y240,20250914_FJ_FQ_F69,12.361881143508228,high,湿热
Q9Y240,20250914_FJ_FQ_F70,14.022976619557559,control,湿热
Q9Y240,20250914_FJ_FQ_F71,12.98666528656309,high,湿热
Q9Y240,20250914_FJ_FQ_F72,13.726863821664988,low,湿热
Q9Y240,20250914_FJ_FQ_F74,13.2823216599304,low,湿热
Q9Y240,20250914_FJ_FQ_F75,13.838669783033914,high,湿热
Q9Y240,20250914_FJ_FQ_F77,10.796813375069313,low,湿热
Q9Y240,20250914_FJ_FQ_F79,12.569537647977311,high,湿热
Q9Y240,20250914_FJ_FQ_F81,12.47174280441281,high,湿热
Q9Y240,20250914_FJ_FQ_F83,13.79780092323163,low,湿热
Q9Y240,20250914_FJ_FQ_F84,13.513211098189839,low,湿热
Q9Y240,20250914_FJ_FQ_F85,13.2774325666944,high,湿热
Q9Y240,20250914_FJ_FQ_F88,12.712758297128298,high,湿热
Q9Y240,20250914_FJ_FQ_F89,12.620846592545321,high,湿热
Q9Y240,20250914_FJ_FQ_F93,13.449017627520965,low,湿热
Q9Y240,20250914_FJ_FQ_F94,13.062406879718836,control,湿热
Q9Y240,20250914_FJ_FQ_F102,12.850535581524495,high,湿热
Q9Y240,20250914_FJ_FQ_F105,14.256044088788029,high,湿热
Q9Y240,20250914_FJ_FQ_F106,13.411599040442193,high,湿热
Q9Y240,20250914_FJ_FQ_F107,14.64859325421344,low,湿热
Q9Y240,20250914_FJ_FQ_F110,13.782933440479093,high,湿热
Q9Y240,20250914_FJ_FQ_F111,12.937113897228528,low,湿热
Q9Y240,20250914_FJ_FQ_F118,13.615620432962174,low,湿热
Q9Y240,20250914_FJ_FQ_F121,13.632519687695362,high,湿热
Q9Y240,20250914_FJ_FQ_F122,11.985130460349104,high,湿热
Q9Y240,20250914_FJ_FQ_F123,13.49099087697171,high,湿热
Q9Y240,20250914_FJ_FQ_F124,13.458209336259754,high,湿热
Q9Y240,20250914_FJ_FQ_F125,12.726175638584046,high,湿热
Q9Y240,20250914_FJ_FQ_F126,11.791837058291565,high,湿热
Q9Y240,20250914_FJ_FQ_F128,12.972277802882347,low,湿热
Q9Y240,20250914_FJ_FQ_F129,11.630438558431818,high,湿热
Q9Y240,20250914_FJ_FQ_F131,13.293607759490937,control,湿热
Q9Y240,20250914_FJ_FQ_F135,12.640855565216002,high,湿热
Q9Y240,20250914_FJ_FQ_F137,13.49568720017128,control,湿热
Q9Y240,20250914_FJ_PT_P2,13.09913925641037,control,湿热
Q9Y240,20250914_FJ_PT_P3,13.452420105048276,control,湿热
Q9Y240,20250914_FJ_PT_P4,13.466023795444384,low,湿热
Q9Y240,20250914_FJ_PT_P6,12.652854598870881,high,湿热
Q9Y240,20250914_FJ_PT_P7,14.026747319847106,control,湿热
Q9Y240,20250914_FJ_PT_P8,13.351617572329609,low,湿热
Q9Y240,20250914_FJ_PT_P9,13.49884312116179,low,湿热
Q9Y240,20250914_FJ_PT_P10,12.9952135307187,low,湿热
Q9Y240,20250914_FJ_PT_P11,13.836235702063545,high,湿热
Q9Y240,20250914_FJ_PT_P13,12.874864873883423,low,湿热
Q9Y240,20250914_FJ_PT_P15,13.758724004828709,low,湿热
Q9Y240,20250914_FJ_PT_P17,14.149621077361076,high,湿热
Q9Y240,20250914_FJ_PT_P18,13.123191541608147,high,湿热
Q9Y240,20250914_FJ_PT_P19,13.33310647547969,high,湿热
Q9Y240,20250914_FJ_PT_P20,12.865792350567451,low,湿热
Q9Y240,20250914_FJ_PT_P21,13.296731825320999,high,湿热
Q9Y240,20250914_FJ_PT_P22,12.648688697085833,low,湿热
Q9Y240,20250914_FJ_PT_P23,13.24948906705739,low,湿热
Q9Y240,20250914_FJ_PT_P24,13.365548589413754,high,湿热
Q9Y240,20250914_FJ_PT_P25,11.513566293088642,low,湿热
Q9Y240,20250914_FJ_PT_P26,12.916395038070322,high,湿热
Q9Y240,20250914_FJ_PT_P27,13.900419002166391,high,湿热
Q9Y240,20250914_FJ_PT_P29,13.51631609246801,high,湿热
Q9Y240,20250914_FJ_PT_P30,13.354993454218251,high,湿热
Q9Y240,20250914_FJ_PT_P33,13.785319855547346,high,湿热
Q9Y240,20251001_FJ_FQ_F83,12.45232646470796,low,湿热
Q9Y240,20251001_FJ_FQ_F95,11.345080875034636,high,湿热
Q9Y240,20251001_FJ_FQ_F97,13.386502204909249,high,湿热
Q9Y240,20251001_FJ_FQ_F105,11.827262255378788,high,湿热
Q9Y240,20251001_FJ_FQ_F120,12.772603430229733,high,湿热
Q9Y240,20251001_FJ_FQ_F136,12.529267184185121,control,湿热
Q9Y240,20251001_FJ_FQ_F141,13.282715165901754,control,湿热
Q9Y240,20251001_FJ_FQ_F147,12.591565032412152,high,湿热
Q9Y240,20251001_FJ_FQ_F150,12.989129660492425,control,湿热
Q9Y240,20251001_FJ_FQ_F154,13.272635337349795,high,湿热
Q9Y240,20251001_FJ_FQ_F158,11.442239515760892,high,湿热
Q9Y240,20251001_FJ_FQ_F163,10.891813178209091,control,湿热
Q9Y240,20251001_FJ_FQ_F165,13.01320781805729,control,湿热
Q9Y240,20251001_FJ_FQ_F168,12.586932878339846,high,湿热
Q9Y240,20251001_FJ_FQ_F170,13.709871780048196,control,湿热
Q9Y240,20251001_FJ_FQ_F173,13.388415449806867,low,湿热
Q9Y240,20251001_FJ_FQ_F174,13.412698661233144,low,湿热
Q9Y240,20251001_FJ_FQ_F175,12.647665154517894,low,湿热
Q9Y240,20251001_FJ_FQ_F176,13.776843228638725,low,湿热
Q9Y240,20251001_FJ_FQ_F177,13.020751435153668,low,湿热
Q9Y240,20251001_FJ_FQ_F180,13.122101100337257,low,湿热
Q9Y240,20251001_FJ_FQ_F183,13.424142961072969,low,湿热
Q9Y240,20251001_FJ_FQ_F185,13.271163210399001,low,湿热
Q9Y240,20251001_XZ_YA_1,14.55490368462372,low,高海拔
Q9Y240,20251001_XZ_YA_2,13.111505836390538,low,高海拔
Q9Y240,20251001_XZ_YA_3,12.852433879044192,low,高海拔
Q9Y240,20251001_XZ_YA_4,12.117280056220682,low,高海拔
Q9Y240,20251001_XZ_YA_5,12.511407146842584,low,高海拔
Q9Y240,20251001_XZ_YA_6,12.899607235911773,low,高海拔
Q9Y240,20251001_XZ_YA_7,12.343010543595046,low,高海拔
Q9Y240,20251001_XZ_YA_8,12.93719320833564,low,高海拔
Q9Y240,20251001_XZ_YA_9,12.829078821414909,low,高海拔
Q9Y240,20251001_XZ_YA_10,14.299452036217279,low,高海拔
Q9Y240,20251001_XZ_YA_11,12.292035811566622,low,高海拔
Q9Y240,20251001_XZ_YA_12,13.587014284558984,low,高海拔
Q9Y240,20251001_XZ_YA_13,13.762133921956316,low,高海拔
Q9Y240,20251001_XZ_YA_14,12.984885518629069,low,高海拔
Q9Y240,20251001_XZ_YA_15,14.049529522056591,low,高海拔
Q9Y240,20251001_XZ_YA_16,13.510261580792731,low,高海拔
Q9Y240,20251001_XZ_YA_17,12.89467337158877,low,高海拔
Q9Y240,20251001_XZ_YA_18,14.37545975372846,low,高海拔
Q9Y240,20251001_XZ_YA_19,13.79532122116356,low,高海拔
Q9Y240,20251001_XZ_YA_20,12.922208906067015,control,高海拔
Q9Y240,20251001_XZ_YA_21,12.1252901722842,control,高海拔
Q9Y240,20251001_XZ_YA_22,10.514794703871283,high,高海拔
Q9Y240,20251001_XZ_YB_2,13.632258406907242,control,高海拔
Q9Y240,20251001_XZ_YB_4,14.238521072355766,control,高海拔
Q9Y240,20251001_XZ_YB_6,13.907956310878147,control,高海拔
Q9Y240,20251001_XZ_YB_9,13.625572406912625,control,高海拔
Q9Y240,20251001_XZ_YB_10,13.920128656391434,control,高海拔
Q9Y240,20251001_XZ_YB_11,13.244165207432307,control,高海拔
Q9Y240,20251001_XZ_YB_12,13.41747887593578,control,高海拔
Q9Y240,20251001_XZ_YB_14,13.640113068209555,control,高海拔
Q9Y240,20251001_XZ_YB_15,12.760826117221924,control,高海拔
Q9Y240,20251001_XZ_YB_19,13.655898400583308,control,高海拔
Q9Y240,20251001_XZ_YC_1,12.554327004456304,control,高海拔
Q9Y240,20251001_XZ_YC_2,14.292468103017733,control,高海拔
Q9Y240,20251001_XZ_YC_3,13.554561334191071,high,高海拔
Q9Y240,20251001_XZ_YC_4,13.648101239294588,control,高海拔
Q9Y240,20251001_XZ_YC_5,13.234421311400528,high,高海拔
Q9Y240,20251001_XZ_YC_6,12.375914147541046,low,高海拔
Q9Y240,20251001_XZ_YC_7,13.83153930015063,low,高海拔
Q9Y240,20251001_XZ_YC_8,13.37890972138914,control,高海拔
Q9Y240,20251001_XZ_YC_9,11.31991959109914,low,高海拔
Q9Y240,20251001_XZ_YC_10,13.76248950554737,high,高海拔
Q9Y240,20251001_XZ_YC_11,11.810557220301392,high,高海拔
Q9Y240,20251001_XZ_YC_12,14.089066850870358,high,高海拔
Q9Y240,20251001_XZ_YC_13,12.58371726770506,high,高海拔
Q9Y240,20251001_XZ_YC_14,13.143656306930634,high,高海拔
Q9Y240,20251001_XZ_YC_15,13.478142915989721,high,高海拔
Q9Y240,20251001_XZ_YC_16,13.068566569423965,high,高海拔
Q9Y240,20251001_XZ_YC_17,13.100410341425805,high,高海拔
Q9Y240,20251001_XZ_YC_18,13.566695025296191,low,高海拔
Q9Y240,20251001_XZ_YC_19,13.568007236967723,high,高海拔
Q9Y240,20251001_XZ_YC_20,13.448166729792238,low,高海拔
Q9Y240,20251001_XZ_YC_21,12.517198763093475,high,高海拔
Q9Y240,20251001_XZ_YC_22,13.205163230710474,high,高海拔
Q9Y240,20251001_XZ_YC_23,12.836496631057402,low,高海拔
Q9Y240,20251001_XZ_YC_24,12.868004304863748,high,高海拔
Q9Y240,20251001_XZ_YC_25,12.314821495455474,high,高海拔
Q9Y240,20251001_XZ_YC_26,12.755344623319159,high,高海拔
Q9Y240,20251001_XZ_YC_27,11.329630344433506,high,高海拔
Q9Y240,20251001_XZ_YC_28,13.238026665089789,high,高海拔
Q9Y240,20251001_XZ_YC_29,12.638524408326388,high,高海拔
Q9Y240,20251001_XZ_YC_30,13.74820861751266,low,高海拔
Q9Y240,20251001_XZ_YC_31,13.447388485293265,control,高海拔
Q9Y240,20251001_XZ_YC_32,13.43172419608375,high,高海拔
Q9Y240,20251001_XZ_YC_33,13.32001424134279,high,高海拔
Q9Y240,20251001_XZ_YC_34,13.682250851173658,control,高海拔
Q9Y240,20251001_XZ_YD_1,13.424721429111926,low,高海拔
Q9Y240,20251001_XZ_YD_3,12.783074468033677,control,高海拔
Q9Y240,20251001_XZ_YD_4,12.530927310221342,control,高海拔
Q9Y240,20251001_XZ_YD_5,11.72738288592415,low,高海拔
Q9Y240,20251001_XZ_YD_6,11.524663301296123,control,高海拔
Q9Y240,20251001_XZ_YD_7,12.06559034426861,high,高海拔
Q9Y240,20251001_XZ_YD_8,11.51564907337523,high,高海拔
Q9Y240,20251001_XZ_YD_9,12.111312406569976,high,高海拔
Q9Y240,20251001_XZ_YD_10,12.783916847995098,high,高海拔
Q9Y240,20251001_XZ_YD_11,12.46817157871066,high,高海拔
Q9Y240,20251001_XZ_YD_12,12.69436830287666,control,高海拔
Q9Y240,20251001_XZ_YD_13,14.422448127238534,control,高海拔
Q9Y240,20251001_XZ_YD_14,12.799204534174638,control,高海拔
Q9Y240,20251001_XZ_YD_15,12.819288200885907,low,高海拔
Q9Y240,20251001_XZ_YD_16,13.656666639968789,high,高海拔
Q9Y240,20251001_XZ_YD_17,13.767661554285956,low,高海拔
Q9Y240,20251001_XZ_YD_18,13.902358644312612,high,高海拔
Q9Y240,20251001_XZ_YD_19,11.899384952761435,control,高海拔
Q9Y240,20251001_XZ_YD_20,13.184015868714987,control,高海拔
Q9Y240,20251001_XZ_YD_21,12.771355768636612,control,高海拔
Q9Y240,20251001_XZ_YD_22,13.602878814671062,control,高海拔
Q9Y240,20251001_XZ_YD_23,13.622732856649034,low,高海拔
Q9Y240,20251001_XZ_YD_24,12.087998841941163,low,高海拔
Q9Y240,20251001_XZ_YD_25,12.073830540775626,low,高海拔
Q9Y240,20251001_XZ_YD_26,11.943299628768559,low,高海拔
Q9Y240,20251001_XZ_YD_27,13.310651053927243,low,高海拔
Q9Y240,20251001_XZ_YD_28,12.654845553901513,low,高海拔
Q9Y240,20251026_FJ_PT_P31,13.330053570330513,control,湿热
Q9Y240,20251026_FJ_QZ_Q73,12.951410388160452,control,湿热
Q9Y240,20251026_FJ_QZ_Q74,12.57453312892407,low,湿热
Q9Y240,20251026_FJ_QZ_Q75,12.92366180220803,low,湿热
Q9Y240,20251026_FJ_QZ_Q76,12.974660002876131,high,湿热
Q9Y240,20251026_FJ_QZ_Q77,12.387193274733091,high,湿热
Q9Y240,20251026_FJ_QZ_Q78,13.274278327923925,high,湿热
Q9Y240,20251026_FJ_QZ_Q79,13.228325791166005,control,湿热
Q9Y240,20251026_FJ_QZ_Q80,12.94238742833371,low,湿热
Q9Y240,20251026_FJ_QZ_Q81,13.587049776690561,low,湿热
Q9Y240,20251026_FJ_QZ_Q82,13.373758084900087,control,湿热
Q9Y240,20251026_FJ_QZ_Q83,13.439292690134097,control,湿热
Q9Y240,20251104_FJ_FQ_F178,14.448065248926248,low,湿热
Q9Y240,20251104_FJ_FQ_F179,13.254465541330609,high,湿热
Q9Y240,20251107_XZ_YD_2,12.190722170378644,low,高海拔
Q9Y240,20260527_XZ_GG_1,12.72057963257153,low,高海拔
Q9Y240,20260527_XZ_GG_2,13.260526640958135,low,高海拔
Q9Y240,20260527_XZ_GG_3,13.912261213070124,low,高海拔
Q9Y240,20260527_XZ_GG_4,13.390912967852092,low,高海拔
Q9Y240,20260527_XZ_GG_5,12.879334112510671,low,高海拔
Q9Y240,20260527_XZ_GG_6,13.510612432341274,low,高海拔
Q9Y240,20260527_XZ_GG_7,13.041694573754263,low,高海拔
Q9Y240,20260527_XZ_GG_8,12.471064032044746,low,高海拔
Q9Y240,20260527_XZ_GG_9,13.43756198264096,low,高海拔
Q9Y240,20260527_XZ_GG_10,12.827645171172305,low,高海拔
Q9Y240,20260527_XZ_GG_11,14.07757690984153,low,高海拔
Q9Y240,20260527_XZ_GG_12,13.637531988707925,low,高海拔
Q9Y240,20260527_XZ_GG_13,13.077874641759628,low,高海拔
Q9Y240,20260527_XZ_GG_14,13.881719387637732,low,高海拔
Q9Y240,20260527_XZ_GG_15,13.35793719432993,low,高海拔
Q9Y240,20260527_XZ_GG_16,12.83330445092433,low,高海拔
Q9Y240,20260527_XZ_GG_17,13.081335358114485,low,高海拔
Q9Y240,20260527_XZ_GG_18,13.065071926720265,low,高海拔
Q9Y240,20260527_XZ_GG_19,13.323643324129216,low,高海拔
Q9Y240,20260527_XZ_GG_20,13.61656488430353,low,高海拔
Q9Y240,20260527_XZ_GG_21,12.66238696281256,low,高海拔
Q9Y240,20260527_XZ_GG_22,12.799569970742331,low,高海拔
Q9Y240,20260527_XZ_GG_23,11.827980514554723,low,高海拔
Q9Y240,20260527_XZ_GG_24,13.292718739024354,low,高海拔
Q9Y240,20260527_XZ_GG_25,13.059476001085159,low,高海拔
Q9Y240,20260527_XZ_GG_26,12.92535341572982,low,高海拔
Q9Y240,20260527_XZ_GG_27,12.489732835108565,low,高海拔
Q9Y240,20260527_XZ_GG_28,13.073129699468645,low,高海拔
Q9Y240,20260527_XZ_GG_29,12.3304304419995,low,高海拔
Q9Y240,20260527_XZ_GG_30,13.499282053896415,low,高海拔
Q9Y240,20260527_XZ_GG_31,12.670532318372958,high,高海拔
Q9Y240,20260527_XZ_GG_32,12.844483191406622,high,高海拔
Q9Y240,20260527_XZ_GG_33,13.980785984041884,high,高海拔
Q9Y240,20260527_XZ_GG_34,12.246444441999731,high,高海拔
Q9Y240,20260527_XZ_GG_35,12.825351585670179,high,高海拔
Q9Y240,20260527_XZ_GG_36,13.087536164696042,high,高海拔
Q9Y240,20260527_XZ_GG_37,13.176578891428965,high,高海拔
Q9Y240,20260527_XZ_GG_38,13.246730597136517,high,高海拔
Q9Y240,20260527_XZ_GG_39,12.868303831018052,high,高海拔
Q9Y240,20260527_XZ_GG_40,12.759898745734718,high,高海拔
Q9Y240,20260527_XZ_GG_41,12.870034945586333,high,高海拔
Q9Y240,20260527_XZ_GG_42,12.54878981324593,high,高海拔
Q9Y240,20260527_XZ_GG_43,13.335961373162498,high,高海拔
Q9Y240,20260527_XZ_GG_44,12.612866360575246,high,高海拔
Q9Y240,20260527_XZ_GG_46,12.93028165254946,high,高海拔
Q9Y240,20260527_XZ_GG_47,12.409187488573988,high,高海拔
Q9Y240,20260527_XZ_GG_50,13.118910664880554,high,高海拔
Q9Y240,20260527_XZ_GG_51,12.886890766252941,high,高海拔
Q9Y240,20260527_XZ_GG_52,12.830796317672071,high,高海拔
Q9Y240,20260527_XZ_GG_53,12.808739749439823,high,高海拔
Q9Y240,20260527_XZ_GG_55,12.685779342253737,high,高海拔
Q9Y240,20260527_XZ_GG_56,12.487978854988919,high,高海拔
Q9Y240,20260527_XZ_GG_59,12.392004609753927,high,高海拔
Q9Y240,20260527_XZ_GG_60,12.499187512717683,control,高海拔
Q9Y240,20260527_XZ_GG_62,13.533873883973031,control,高海拔
Q9Y240,20260527_XZ_GG_64,13.046030215974898,control,高海拔
Q9Y240,20260527_XZ_GG_65,13.925731716302247,control,高海拔
Q9Y240,20260527_XZ_GG_66,12.960534231363015,control,高海拔
Q9Y240,20260527_XZ_GG_68,13.801457046963268,control,高海拔
Q9Y240,20260527_XZ_GG_69,13.364351903628211,control,高海拔
Q9Y240,20260527_XZ_GG_71,13.098637575839193,control,高海拔
Q9Y240,20260527_XZ_GG_72,13.288558728367253,control,高海拔
Q9Y240,20260527_XZ_GG_73,12.802230478135476,control,高海拔
Q9Y240,20260527_XZ_GG_74,12.812037625118556,control,高海拔
Q9Y240,20260527_XZ_GG_75,12.851778202231602,control,高海拔
Q9Y240,20260527_XZ_GG_76,12.785454663298605,control,高海拔
Q9Y240,20260527_XZ_GG_77,12.943493160099028,control,高海拔
Q9Y240,20260527_XZ_GG_78,12.97808547277089,control,高海拔
Q9Y240,20260527_XZ_GG_79,13.631926051504188,control,高海拔
Q9Y240,20260527_XZ_GG_80,12.222782523518182,control,高海拔
Q9Y240,20260527_XZ_GG_81,13.648375467237258,low,高海拔
Q9Y240,20260527_XZ_GG_82,13.35613329774744,low,高海拔
Q9Y240,20260527_XZ_GG_83,13.172253371812838,low,高海拔
Q9Y240,20260527_XZ_GG_84,12.686942765378623,low,高海拔
Q9Y240,20260527_XZ_GG_85,13.247438492948294,low,高海拔
Q9Y240,20260527_XZ_GG_86,12.830216726798016,low,高海拔
Q9Y240,20260527_XZ_GG_87,13.134375867830297,low,高海拔
Q9Y240,20260527_XZ_GG_88,14.172065475810273,low,高海拔
Q9Y240,20260527_XZ_GG_89,13.11399216370053,low,高海拔
Q9Y240,20260527_XZ_GG_92,14.0553484753276,low,高海拔
Q9Y240,20260527_XZ_GG_93,13.27639834429894,low,高海拔
Q9Y240,20260527_XZ_GG_94,13.48178243631225,low,高海拔
Q9Y240,20260527_XZ_GG_95,13.874510612042636,low,高海拔
Q9Y240,20260527_XZ_GG_96,13.234935661276555,low,高海拔
Q9Y240,20260527_XZ_GG_97,13.026852155429905,low,高海拔
Q9Y240,20260527_XZ_GG_98,13.533357301255915,low,高海拔
Q9Y240,20260527_XZ_GG_99,13.111923015223642,low,高海拔
Q9Y240,20260527_XZ_GG_100,13.235580276315613,low,高海拔
Q9Y240,20260527_XZ_GG_101,13.206067305169944,low,高海拔
Q9Y240,20260527_XZ_GG_102,12.846057990358892,low,高海拔
Q9Y240,20260527_XZ_GG_103,12.682167571268574,low,高海拔
Q9Y240,20260527_XZ_GG_104,13.328371016151753,low,高海拔
Q9Y240,20260527_XZ_GG_105,13.14753288132777,low,高海拔
Q9Y240,20260527_XZ_GG_106,13.648067437284297,low,高海拔
Q9Y240,20260527_XZ_GG_121,12.866904315462076,control,高海拔
Q9Y240,20260527_XZ_GG_122,13.727979537506327,control,高海拔
