PG.ProteinGroups,UniqueSampleID,Abundance,TREAT1_clean,condition
O14786,20250913_FJ_QZ_Q3,15.32628464152766,low,湿热
O14786,20250913_FJ_QZ_Q4,14.763378942482587,control,湿热
O14786,20250913_FJ_QZ_Q12,14.640431075821267,control,湿热
O14786,20250913_FJ_QZ_Q13,14.74079746816553,control,湿热
O14786,20250913_FJ_QZ_Q14,15.15411102314332,control,湿热
O14786,20250913_FJ_QZ_Q15,14.864843857135059,control,湿热
O14786,20250913_FJ_QZ_Q16,14.145868726089729,control,湿热
O14786,20250913_FJ_QZ_Q18,14.804872798237538,control,湿热
O14786,20250913_FJ_QZ_Q20,14.538859345289456,control,湿热
O14786,20250913_FJ_QZ_Q21,14.704147235373744,control,湿热
O14786,20250913_FJ_QZ_Q22,13.945058164146234,control,湿热
O14786,20250913_FJ_QZ_Q23,13.74786260510488,control,湿热
O14786,20250913_FJ_QZ_Q25,14.584751749253574,control,湿热
O14786,20250913_FJ_QZ_Q26,14.768983567068174,control,湿热
O14786,20250913_FJ_QZ_Q27,14.77738094505721,control,湿热
O14786,20250913_FJ_QZ_Q28,14.407605809601195,control,湿热
O14786,20250913_FJ_QZ_Q29,14.543977453584072,control,湿热
O14786,20250913_FJ_QZ_Q31,13.721747666952172,high,湿热
O14786,20250913_FJ_QZ_Q32,14.530717324492882,high,湿热
O14786,20250913_FJ_QZ_Q33,14.261467567282006,high,湿热
O14786,20250913_FJ_QZ_Q34,14.362451540250142,high,湿热
O14786,20250913_FJ_QZ_Q36,14.690577249249783,low,湿热
O14786,20250913_FJ_QZ_Q37,14.513062271075162,high,湿热
O14786,20250913_FJ_QZ_Q38,14.42518208973811,low,湿热
O14786,20250913_FJ_QZ_Q39,14.990687762841565,high,湿热
O14786,20250913_FJ_QZ_Q41,14.457511515387207,high,湿热
O14786,20250913_FJ_QZ_Q42,14.800017203155415,high,湿热
O14786,20250913_FJ_QZ_Q44,14.81006567036071,low,湿热
O14786,20250913_FJ_QZ_Q45,13.87676507204098,low,湿热
O14786,20250913_FJ_QZ_Q48,14.38394734630469,low,湿热
O14786,20250913_FJ_QZ_Q49,14.687132803883571,low,湿热
O14786,20250913_FJ_QZ_Q50,14.253954070291101,control,湿热
O14786,20250913_FJ_QZ_Q52,14.550419300588008,low,湿热
O14786,20250913_FJ_QZ_Q54,13.715708482324905,control,湿热
O14786,20250913_FJ_QZ_Q55,14.883895798259864,control,湿热
O14786,20250913_FJ_QZ_Q57,14.55352828770455,control,湿热
O14786,20250913_FJ_QZ_Q58,14.345831043060409,low,湿热
O14786,20250913_FJ_QZ_Q59,15.10797879472134,low,湿热
