"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","minus_log10_fdr","Status"
"Q8TC71","High_vs_Control",-0.565231326250764,12.7714126731029,-4.01751729447291,6.93290425119208e-05,0.0994178469620944,1.13519123053657,FALSE,1.00253564637311,"Not significant"
"O14594","High_vs_Control",-0.304949367016993,11.5404132603241,-3.83288981866605,0.000142192574191309,0.101952075695168,0.668033251050918,FALSE,0.991603927769305,"Not significant"
"P00738","High_vs_Control",0.760874397429106,14.4818798965806,3.50311452964698,0.000499589516845716,0.225628573518908,-0.34973403035472,FALSE,0.64660590231369,"Not significant"
"Q92696","High_vs_Control",-0.348047611081562,9.20255972567773,-3.28936792545713,0.00107831452403818,0.225628573518908,-0.984075917532674,FALSE,0.64660590231369,"Not significant"
"Q9UKM7","High_vs_Control",-0.280080360370711,9.59108330370966,-3.2439968837799,0.00125461023803514,0.225628573518908,-1.08853063991094,FALSE,0.64660590231369,"Not significant"
"P16112","High_vs_Control",-0.350039328976735,10.6192276016162,-3.24269707452609,0.00126023199177128,0.225628573518908,-1.0921003443307,FALSE,0.64660590231369,"Not significant"
"Q5VU65","High_vs_Control",0.699956436263795,11.1033428096121,3.23572402083147,0.00130152350066711,0.225628573518908,-1.14350715640764,FALSE,0.64660590231369,"Not significant"
"P18827","High_vs_Control",-0.319908514619346,12.3310194637787,-3.20510795418412,0.00143358288416394,0.225628573518908,-1.19524056777918,FALSE,0.64660590231369,"Not significant"
"O14786","High_vs_Control",-0.224368360956033,14.1057122819407,-3.20381055096311,0.00143960212992833,0.225628573518908,-1.19826350850414,FALSE,0.64660590231369,"Not significant"
"P13591","High_vs_Control",-0.277618389303706,13.0415600066814,-3.17761787904756,0.00157342101477621,0.225628573518908,-1.26908141897995,FALSE,0.64660590231369,"Not significant"
"Q92859","High_vs_Control",-0.254587760379463,10.3580887885757,-3.04877574499582,0.00241506720589438,0.258327744071429,-1.60932743483927,FALSE,0.587828948646369,"Not significant"
"O60704","High_vs_Control",-0.283785306346369,8.00567400083972,-3.0324128088406,0.0025501390266595,0.258327744071429,-1.65646977164322,FALSE,0.587828948646369,"Not significant"
"Q86TY3","High_vs_Control",-0.243406849993219,8.84725532054918,-3.01501920276502,0.00269549274986559,0.258327744071429,-1.69623787541507,FALSE,0.587828948646369,"Not significant"
"Q6P4E1","High_vs_Control",-0.235313833382053,11.2987990677628,-2.99424222374633,0.00288261751346004,0.258327744071429,-1.74926855937059,FALSE,0.587828948646369,"Not significant"
"P05543","High_vs_Control",0.302275694130042,9.61578474060375,2.99054996569298,0.0029170900243343,0.258327744071429,-1.75865570687725,FALSE,0.587828948646369,"Not significant"
"P58335","High_vs_Control",0.245357186528835,9.06891161186794,2.98832011815433,0.00293809117644624,0.258327744071429,-1.76431944800321,FALSE,0.587828948646369,"Not significant"
"P07357","High_vs_Control",0.269836179396922,13.2653744776644,2.93855709754946,0.00344428492845726,0.258327744071429,-1.8896584209568,FALSE,0.587828948646369,"Not significant"
"Q9Y274","High_vs_Control",-0.228347651075834,9.52568151004066,-2.915391904942,0.0037060671649926,0.258327744071429,-1.9473138186032,FALSE,0.587828948646369,"Not significant"
"A0A0C4DH34","High_vs_Control",0.507863422244474,9.26274418042485,2.91428847077695,0.00373199689084719,0.258327744071429,-1.96279307950228,FALSE,0.587828948646369,"Not significant"
"P07333","High_vs_Control",-0.267815931941644,11.7107416919824,-2.89141050101106,0.00399607052662799,0.258327744071429,-2.00653752128427,FALSE,0.587828948646369,"Not significant"
"P32942","High_vs_Control",-0.235315425548245,9.77838801341332,-2.8789977627271,0.00415415664559788,0.258327744071429,-2.03700642768238,FALSE,0.587828948646369,"Not significant"
"Q6ZN30","High_vs_Control",-0.266634568940187,15.4410483494086,-2.87261080950791,0.00424445609659711,0.258327744071429,-2.05552072596698,FALSE,0.587828948646369,"Not significant"
"O94973","High_vs_Control",0.36266610350588,7.3006284861976,2.8730439237653,0.00425035825263515,0.258327744071429,-2.06076280335153,FALSE,0.587828948646369,"Not significant"
"O75752","High_vs_Control",-0.181056518346807,9.08650774546357,-2.86518589116303,0.00433739607668672,0.258327744071429,-2.07095440661915,FALSE,0.587828948646369,"Not significant"
"P28482","High_vs_Control",-0.352145825745659,9.66480459812693,-2.85042990935935,0.00454257887972774,0.258327744071429,-2.10857584026798,FALSE,0.587828948646369,"Not significant"
"Q9BS26","High_vs_Control",-0.3723920689695,9.66366149782884,-2.84042705381704,0.00468376662891015,0.258327744071429,-2.13156757142408,FALSE,0.587828948646369,"Not significant"
"P31431","High_vs_Control",-0.358556407542441,8.97947961589843,-2.79731591145499,0.00534439862223777,0.267897711687735,-2.23435120783962,FALSE,0.572030996005953,"Not significant"
"Q9Y240","High_vs_Control",-0.254260360176248,12.7172879304592,-2.78956316154925,0.00547207383986024,0.267897711687735,-2.25279696375003,FALSE,0.572030996005953,"Not significant"
"P05386","High_vs_Control",-0.312790729989931,8.52301341331791,-2.7889197647442,0.00549272609469699,0.267897711687735,-2.25831415637606,FALSE,0.572030996005953,"Not significant"
"P01709","High_vs_Control",0.54696799210611,11.8409095849418,2.7732952346556,0.0057566621808331,0.267897711687735,-2.29348536867692,FALSE,0.572030996005953,"Not significant"
"P63000","High_vs_Control",-0.322679528937602,9.51532367929739,-2.76799859674762,0.00585479317953469,0.267897711687735,-2.30651247338081,FALSE,0.572030996005953,"Not significant"
"P09326","High_vs_Control",-0.294415440144341,8.27252669852262,-2.76093755729249,0.0059781916136733,0.267897711687735,-2.3224067040868,FALSE,0.572030996005953,"Not significant"
"Q12797","High_vs_Control",-0.211933592277347,9.33365917433276,-2.72307998725722,0.00668555450304318,0.290517732041331,-2.40894456946454,FALSE,0.536827354865109,"Not significant"
"P11226","High_vs_Control",0.500287009103152,9.37016905630677,2.71183645291224,0.00691367799295973,0.291594536526596,-2.43502360623506,FALSE,0.535220617454817,"Not significant"
"P05067","High_vs_Control",-0.37360657906515,11.1199488298907,-2.68462476271955,0.00749348422315834,0.293606469986091,-2.49759924396327,FALSE,0.532234378427978,"Not significant"
"P39059","High_vs_Control",-0.267784365284097,10.3370924022234,-2.64918608872344,0.00831467988844051,0.293606469986091,-2.57821775884651,FALSE,0.532234378427978,"Not significant"
"Q9Y566","High_vs_Control",-0.248691490634874,13.2234153508551,-2.64477038724752,0.00846271924625152,0.293606469986091,-2.59217181876403,FALSE,0.532234378427978,"Not significant"
"Q13421","High_vs_Control",-0.313208415982211,7.37967474212312,-2.64459633397167,0.00848133417802559,0.293606469986091,-2.59345719219265,FALSE,0.532234378427978,"Not significant"
"Q9BUN1","High_vs_Control",-0.319955509518348,11.5226432236128,-2.64218575157713,0.00848613657527606,0.293606469986091,-2.59401979792382,FALSE,0.532234378427978,"Not significant"
