"PG.ProteinGroups","UniqueSampleID","Abundance","TREAT1_clean","condition"
"Q92696","20250913_FJ_QZ_Q3",10.7271809343565,"low","湿热"
"Q92696","20250913_FJ_QZ_Q4",9.52768460074992,"control","湿热"
"Q92696","20250913_FJ_QZ_Q12",9.36590322451876,"control","湿热"
"Q92696","20250913_FJ_QZ_Q13",,"control","湿热"
"Q92696","20250913_FJ_QZ_Q14",4.54019095906678,"control","湿热"
"Q92696","20250913_FJ_QZ_Q15",9.87725716902478,"control","湿热"
"Q92696","20250913_FJ_QZ_Q16",10.1351637891602,"control","湿热"
"Q92696","20250913_FJ_QZ_Q18",,"control","湿热"
"Q92696","20250913_FJ_QZ_Q20",8.79993403059453,"control","湿热"
"Q92696","20250913_FJ_QZ_Q21",9.15127425327821,"control","湿热"
"Q92696","20250913_FJ_QZ_Q22",9.03238932804396,"control","湿热"
"Q92696","20250913_FJ_QZ_Q23",9.71620372893772,"control","湿热"
"Q92696","20250913_FJ_QZ_Q25",9.92824953135555,"control","湿热"
"Q92696","20250913_FJ_QZ_Q26",9.04207480547698,"control","湿热"
"Q92696","20250913_FJ_QZ_Q27",10.1523561822106,"control","湿热"
"Q92696","20250913_FJ_QZ_Q28",9.14518601026625,"control","湿热"
"Q92696","20250913_FJ_QZ_Q29",10.3299930975434,"control","湿热"
"Q92696","20250913_FJ_QZ_Q31",9.94509425271983,"high","湿热"
"Q92696","20250913_FJ_QZ_Q32",9.50257046727983,"high","湿热"
"Q92696","20250913_FJ_QZ_Q33",9.24688061020636,"high","湿热"
"Q92696","20250913_FJ_QZ_Q34",9.59827142833793,"high","湿热"
"Q92696","20250913_FJ_QZ_Q36",10.0209712943913,"low","湿热"
"Q92696","20250913_FJ_QZ_Q37",9.50881876403777,"high","湿热"
"Q92696","20250913_FJ_QZ_Q38",8.75797489012746,"low","湿热"
"Q92696","20250913_FJ_QZ_Q39",9.92659913317045,"high","湿热"
"Q92696","20250913_FJ_QZ_Q41",9.32922246324848,"high","湿热"
"Q92696","20250913_FJ_QZ_Q42",9.86017870565501,"high","湿热"
"Q92696","20250913_FJ_QZ_Q44",,"low","湿热"
"Q92696","20250913_FJ_QZ_Q45",8.44483594518408,"low","湿热"
"Q92696","20250913_FJ_QZ_Q48",9.03288297473165,"low","湿热"
"Q92696","20250913_FJ_QZ_Q49",9.86495509925147,"low","湿热"
"Q92696","20250913_FJ_QZ_Q50",9.0104997640677,"control","湿热"
"Q92696","20250913_FJ_QZ_Q52",9.88481741610082,"low","湿热"
"Q92696","20250913_FJ_QZ_Q54",8.53079767978475,"control","湿热"
"Q92696","20250913_FJ_QZ_Q55",9.78032379350375,"control","湿热"
"Q92696","20250913_FJ_QZ_Q57",9.3480746156489,"control","湿热"
"Q92696","20250913_FJ_QZ_Q58",8.44183453678926,"low","湿热"
"Q92696","20250913_FJ_QZ_Q59",9.60252047867198,"low","湿热"
"Q92696","20250913_FJ_QZ_Q60",10.1542848908599,"low","湿热"
"Q92696","20250913_FJ_QZ_Q61",9.76047702684752,"control","湿热"
"Q92696","20250913_FJ_QZ_Q62",9.66531607211463,"control","湿热"
"Q92696","20250913_FJ_QZ_Q63",8.96002368045721,"control","湿热"
"Q92696","20250913_FJ_QZ_Q65",9.38294798026502,"control","湿热"
"Q92696","20250913_FJ_QZ_Q66",9.75472983004504,"low","湿热"
"Q92696","20250913_FJ_QZ_Q67",10.4964881042648,"low","湿热"
"Q92696","20250913_FJ_QZ_Q68",8.69039640311359,"control","湿热"
"Q92696","20250913_FJ_QZ_Q69",8.74533365356266,"control","湿热"
"Q92696","20250913_FJ_QZ_Q70",10.850223757358,"control","湿热"
"Q92696","20250913_FJ_QZ_Q71",9.71450274146941,"control","湿热"
"Q92696","20250913_FJ_QZ_Q72",9.16371078359116,"low","湿热"
"Q92696","20250914_FJ_FQ_F47",9.83672746908268,"low","湿热"
"Q92696","20250914_FJ_FQ_F51",10.4159450671717,"low","湿热"
"Q92696","20250914_FJ_FQ_F53",9.34481154780451,"control","湿热"
"Q92696","20250914_FJ_FQ_F54",9.97979629621075,"low","湿热"
"Q92696","20250914_FJ_FQ_F55",9.43452591719656,"high","湿热"
"Q92696","20250914_FJ_FQ_F56",10.189371245062,"control","湿热"
"Q92696","20250914_FJ_FQ_F57",9.59755794331345,"low","湿热"
"Q92696","20250914_FJ_FQ_F58",10.0821409181652,"high","湿热"
"Q92696","20250914_FJ_FQ_F62",10.2940383178026,"high","湿热"
"Q92696","20250914_FJ_FQ_F66",10.6165761013476,"control","湿热"
"Q92696","20250914_FJ_FQ_F69",9.29811502215695,"high","湿热"
"Q92696","20250914_FJ_FQ_F70",9.73325059901794,"control","湿热"
"Q92696","20250914_FJ_FQ_F71",10.264104514873,"high","湿热"
"Q92696","20250914_FJ_FQ_F72",8.82679953890273,"low","湿热"
"Q92696","20250914_FJ_FQ_F74",10.2110328817729,"low","湿热"
"Q92696","20250914_FJ_FQ_F75",8.71647494313747,"high","湿热"
"Q92696","20250914_FJ_FQ_F77",,"low","湿热"
"Q92696","20250914_FJ_FQ_F79",9.91055169919082,"high","湿热"
"Q92696","20250914_FJ_FQ_F81",,"high","湿热"
