"PG.ProteinGroups","UniqueSampleID","Abundance","TREAT1_clean","condition"
"P13591","20250913_FJ_QZ_Q3",14.4501388310827,"low","湿热"
"P13591","20250913_FJ_QZ_Q4",13.9467538873405,"control","湿热"
"P13591","20250913_FJ_QZ_Q12",13.6355374604326,"control","湿热"
"P13591","20250913_FJ_QZ_Q13",13.7351081902671,"control","湿热"
"P13591","20250913_FJ_QZ_Q14",14.1586072229772,"control","湿热"
"P13591","20250913_FJ_QZ_Q15",14.1241487696152,"control","湿热"
"P13591","20250913_FJ_QZ_Q16",13.1733556802558,"control","湿热"
"P13591","20250913_FJ_QZ_Q18",13.9412988505904,"control","湿热"
"P13591","20250913_FJ_QZ_Q20",13.8080299188763,"control","湿热"
"P13591","20250913_FJ_QZ_Q21",13.6185646261668,"control","湿热"
"P13591","20250913_FJ_QZ_Q22",13.5792712762541,"control","湿热"
"P13591","20250913_FJ_QZ_Q23",13.4758138161232,"control","湿热"
"P13591","20250913_FJ_QZ_Q25",14.0670947382356,"control","湿热"
"P13591","20250913_FJ_QZ_Q26",13.6342630106648,"control","湿热"
"P13591","20250913_FJ_QZ_Q27",14.0542984316537,"control","湿热"
"P13591","20250913_FJ_QZ_Q28",13.619314375106,"control","湿热"
"P13591","20250913_FJ_QZ_Q29",14.0003802035378,"control","湿热"
"P13591","20250913_FJ_QZ_Q31",12.9757090143627,"high","湿热"
"P13591","20250913_FJ_QZ_Q32",13.3571708742824,"high","湿热"
"P13591","20250913_FJ_QZ_Q33",13.7370654438379,"high","湿热"
"P13591","20250913_FJ_QZ_Q34",13.8711199519907,"high","湿热"
"P13591","20250913_FJ_QZ_Q36",14.0613983877135,"low","湿热"
"P13591","20250913_FJ_QZ_Q37",13.8902752258772,"high","湿热"
"P13591","20250913_FJ_QZ_Q38",13.6831095220967,"low","湿热"
"P13591","20250913_FJ_QZ_Q39",14.0821342571164,"high","湿热"
"P13591","20250913_FJ_QZ_Q41",14.0210653642462,"high","湿热"
"P13591","20250913_FJ_QZ_Q42",14.0915043114142,"high","湿热"
"P13591","20250913_FJ_QZ_Q44",14.0239429700867,"low","湿热"
"P13591","20250913_FJ_QZ_Q45",12.6999840244499,"low","湿热"
"P13591","20250913_FJ_QZ_Q48",12.9007073604587,"low","湿热"
"P13591","20250913_FJ_QZ_Q49",13.8717437785805,"low","湿热"
