"PG.ProteinGroups","UniqueSampleID","Abundance","TREAT1_clean","condition"
"Q08378","20250913_FJ_QZ_Q3",11.5931399871184,"low","湿热"
"Q08378","20250913_FJ_QZ_Q4",11.3486906087692,"control","湿热"
"Q08378","20250913_FJ_QZ_Q12",11.1898928602908,"control","湿热"
"Q08378","20250913_FJ_QZ_Q13",11.8875524344483,"control","湿热"
"Q08378","20250913_FJ_QZ_Q14",11.934887725784,"control","湿热"
"Q08378","20250913_FJ_QZ_Q15",11.4110481395235,"control","湿热"
"Q08378","20250913_FJ_QZ_Q16",10.5792669021324,"control","湿热"
"Q08378","20250913_FJ_QZ_Q18",,"control","湿热"
"Q08378","20250913_FJ_QZ_Q20",,"control","湿热"
"Q08378","20250913_FJ_QZ_Q21",,"control","湿热"
"Q08378","20250913_FJ_QZ_Q22",10.4978469652905,"control","湿热"
"Q08378","20250913_FJ_QZ_Q23",,"control","湿热"
"Q08378","20250913_FJ_QZ_Q25",11.1261717907021,"control","湿热"
"Q08378","20250913_FJ_QZ_Q26",10.1697955118044,"control","湿热"
"Q08378","20250913_FJ_QZ_Q27",,"control","湿热"
"Q08378","20250913_FJ_QZ_Q28",,"control","湿热"
"Q08378","20250913_FJ_QZ_Q29",11.0533024856205,"control","湿热"
"Q08378","20250913_FJ_QZ_Q31",10.2114555270944,"high","湿热"
"Q08378","20250913_FJ_QZ_Q32",9.6032933269202,"high","湿热"
"Q08378","20250913_FJ_QZ_Q33",10.8771377888886,"high","湿热"
"Q08378","20250913_FJ_QZ_Q34",11.228304210129,"high","湿热"
"Q08378","20250913_FJ_QZ_Q36",,"low","湿热"
"Q08378","20250913_FJ_QZ_Q37",10.7328245057347,"high","湿热"
"Q08378","20250913_FJ_QZ_Q38",11.1464173388504,"low","湿热"
"Q08378","20250913_FJ_QZ_Q39",11.3335101210271,"high","湿热"
"Q08378","20250913_FJ_QZ_Q41",,"high","湿热"
"Q08378","20250913_FJ_QZ_Q42",,"high","湿热"
"Q08378","20250913_FJ_QZ_Q44",11.2620383398399,"low","湿热"
"Q08378","20250913_FJ_QZ_Q45",,"low","湿热"
"Q08378","20250913_FJ_QZ_Q48",10.6954915830729,"low","湿热"
"Q08378","20250913_FJ_QZ_Q49",11.6064944511727,"low","湿热"
"Q08378","20250913_FJ_QZ_Q50",10.6329133501406,"control","湿热"
"Q08378","20250913_FJ_QZ_Q52",11.1384918039913,"low","湿热"
"Q08378","20250913_FJ_QZ_Q54",10.6947957050101,"control","湿热"
"Q08378","20250913_FJ_QZ_Q55",10.4441288429783,"control","湿热"
"Q08378","20250913_FJ_QZ_Q57",11.2927587525072,"control","湿热"
"Q08378","20250913_FJ_QZ_Q58",10.2052828718973,"low","湿热"
"Q08378","20250913_FJ_QZ_Q59",11.0475433197563,"low","湿热"
"Q08378","20250913_FJ_QZ_Q60",11.9217167467805,"low","湿热"
"Q08378","20250913_FJ_QZ_Q61",10.6033772112489,"control","湿热"
"Q08378","20250913_FJ_QZ_Q62",10.7875608571049,"control","湿热"
"Q08378","20250913_FJ_QZ_Q63",11.3032665372732,"control","湿热"
"Q08378","20250913_FJ_QZ_Q65",10.6837169475333,"control","湿热"
"Q08378","20250913_FJ_QZ_Q66",11.668436850428,"low","湿热"
"Q08378","20250913_FJ_QZ_Q67",11.4651035118645,"low","湿热"
"Q08378","20250913_FJ_QZ_Q68",11.370987853632,"control","湿热"
"Q08378","20250913_FJ_QZ_Q69",10.4570337523506,"control","湿热"
"Q08378","20250913_FJ_QZ_Q70",10.5780655887718,"control","湿热"
"Q08378","20250913_FJ_QZ_Q71",11.2154260558415,"control","湿热"
"Q08378","20250913_FJ_QZ_Q72",,"low","湿热"
"Q08378","20250914_FJ_FQ_F47",11.0728607462235,"low","湿热"
"Q08378","20250914_FJ_FQ_F51",,"low","湿热"
"Q08378","20250914_FJ_FQ_F53",10.6959616498724,"control","湿热"
"Q08378","20250914_FJ_FQ_F54",10.7104658366541,"low","湿热"
"Q08378","20250914_FJ_FQ_F55",11.0020585388592,"high","湿热"
"Q08378","20250914_FJ_FQ_F56",11.7826785364294,"control","湿热"
"Q08378","20250914_FJ_FQ_F57",10.8207873300527,"low","湿热"
"Q08378","20250914_FJ_FQ_F58",11.8107536169129,"high","湿热"
"Q08378","20250914_FJ_FQ_F62",,"high","湿热"
"Q08378","20250914_FJ_FQ_F66",11.1470719819911,"control","湿热"
"Q08378","20250914_FJ_FQ_F69",10.2624655183957,"high","湿热"
"Q08378","20250914_FJ_FQ_F70",12.2812835788032,"control","湿热"
"Q08378","20250914_FJ_FQ_F71",11.106355107412,"high","湿热"
"Q08378","20250914_FJ_FQ_F72",11.8700716431393,"low","湿热"
"Q08378","20250914_FJ_FQ_F74",11.3200062507325,"low","湿热"
"Q08378","20250914_FJ_FQ_F75",10.9958702087689,"high","湿热"
"Q08378","20250914_FJ_FQ_F77",8.93173960871573,"low","湿热"
"Q08378","20250914_FJ_FQ_F79",11.164655625553,"high","湿热"
"Q08378","20250914_FJ_FQ_F81",,"high","湿热"
"Q08378","20250914_FJ_FQ_F83",10.9560130780881,"low","湿热"
"Q08378","20250914_FJ_FQ_F84",11.2152888834952,"low","湿热"
"Q08378","20250914_FJ_FQ_F85",,"high","湿热"
"Q08378","20250914_FJ_FQ_F88",10.7018471724081,"high","湿热"
"Q08378","20250914_FJ_FQ_F89",10.3278412441267,"high","湿热"
"Q08378","20250914_FJ_FQ_F93",11.8430191386853,"low","湿热"
"Q08378","20250914_FJ_FQ_F94",11.2793301659068,"control","湿热"
"Q08378","20250914_FJ_FQ_F102",10.978399570976,"high","湿热"
"Q08378","20250914_FJ_FQ_F105",,"high","湿热"
"Q08378","20250914_FJ_FQ_F106",11.3630281302257,"high","湿热"
"Q08378","20250914_FJ_FQ_F107",11.2935077123956,"low","湿热"
"Q08378","20250914_FJ_FQ_F110",12.0586783231833,"high","湿热"
"Q08378","20250914_FJ_FQ_F111",,"low","湿热"
"Q08378","20250914_FJ_FQ_F118",11.1674328471329,"low","湿热"
"Q08378","20250914_FJ_FQ_F121",12.0787892900367,"high","湿热"
"Q08378","20250914_FJ_FQ_F122",10.455763039844,"high","湿热"
"Q08378","20250914_FJ_FQ_F123",11.5225201128501,"high","湿热"
"Q08378","20250914_FJ_FQ_F124",,"high","湿热"
"Q08378","20250914_FJ_FQ_F125",,"high","湿热"
"Q08378","20250914_FJ_FQ_F126",9.28339771415745,"high","湿热"
"Q08378","20250914_FJ_FQ_F128",11.3613687582714,"low","湿热"
"Q08378","20250914_FJ_FQ_F129",9.38042988544572,"high","湿热"
"Q08378","20250914_FJ_FQ_F131",11.1155758527131,"control","湿热"
"Q08378","20250914_FJ_FQ_F135",10.5266006034325,"high","湿热"
"Q08378","20250914_FJ_FQ_F137",11.3857399869892,"control","湿热"
"Q08378","20250914_FJ_PT_P2",10.6385461720193,"control","湿热"
"Q08378","20250914_FJ_PT_P3",11.6014409689968,"control","湿热"
"Q08378","20250914_FJ_PT_P4",10.5506570837819,"low","湿热"
"Q08378","20250914_FJ_PT_P6",10.9908591180479,"high","湿热"
"Q08378","20250914_FJ_PT_P7",11.8997930755846,"control","湿热"
"Q08378","20250914_FJ_PT_P8",11.5858086364972,"low","湿热"
"Q08378","20250914_FJ_PT_P9",11.3607659238724,"low","湿热"
"Q08378","20250914_FJ_PT_P10",10.6121188781801,"low","湿热"
"Q08378","20250914_FJ_PT_P11",11.6834204419249,"high","湿热"
"Q08378","20250914_FJ_PT_P13",10.8530538397209,"low","湿热"
"Q08378","20250914_FJ_PT_P15",9.53063136913758,"low","湿热"
"Q08378","20250914_FJ_PT_P17",11.1967019213723,"high","湿热"
"Q08378","20250914_FJ_PT_P18",10.7680593053291,"high","湿热"
"Q08378","20250914_FJ_PT_P19",10.5446129946672,"high","湿热"
"Q08378","20250914_FJ_PT_P20",10.7752982114207,"low","湿热"
"Q08378","20250914_FJ_PT_P21",11.3932389554067,"high","湿热"
"Q08378","20250914_FJ_PT_P22",10.2982508353196,"low","湿热"
"Q08378","20250914_FJ_PT_P23",10.8942024487223,"low","湿热"
"Q08378","20250914_FJ_PT_P24",10.8550035976329,"high","湿热"
"Q08378","20250914_FJ_PT_P25",11.2461435844922,"low","湿热"
"Q08378","20250914_FJ_PT_P26",11.0270401988847,"high","湿热"
"Q08378","20250914_FJ_PT_P27",11.1298921982758,"high","湿热"
"Q08378","20250914_FJ_PT_P29",11.4488142743252,"high","湿热"
"Q08378","20250914_FJ_PT_P30",11.6434169480187,"high","湿热"
"Q08378","20250914_FJ_PT_P33",10.6233755028818,"high","湿热"
"Q08378","20251001_FJ_FQ_F83",,"low","湿热"
"Q08378","20251001_FJ_FQ_F95",8.69578009715957,"high","湿热"
"Q08378","20251001_FJ_FQ_F97",10.0631769843736,"high","湿热"
"Q08378","20251001_FJ_FQ_F105",9.32171289414511,"high","湿热"
"Q08378","20251001_FJ_FQ_F120",,"high","湿热"
"Q08378","20251001_FJ_FQ_F136",10.1272834096387,"control","湿热"
"Q08378","20251001_FJ_FQ_F141",11.671181026988,"control","湿热"
"Q08378","20251001_FJ_FQ_F147",10.3414005971956,"high","湿热"
"Q08378","20251001_FJ_FQ_F150",10.8540350423214,"control","湿热"
"Q08378","20251001_FJ_FQ_F154",5.62105627442591,"high","湿热"
"Q08378","20251001_FJ_FQ_F158",8.37695971702079,"high","湿热"
"Q08378","20251001_FJ_FQ_F163",8.69119059319313,"control","湿热"
"Q08378","20251001_FJ_FQ_F165",,"control","湿热"
"Q08378","20251001_FJ_FQ_F168",,"high","湿热"
