"PG.ProteinGroups","UniqueSampleID","Abundance","TREAT1_clean","condition"
"Q8TB73","20250913_FJ_QZ_Q3",9.49192476163121,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q4",8.70475621021315,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q12",8.00861053418331,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q13",8.31489048830563,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q14",9.29642419026841,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q15",8.61960744955986,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q16",7.5437956673017,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q18",9.09581244790746,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q20",8.49487022975861,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q21",8.9160461816818,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q22",7.94547393198136,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q23",8.0982737322403,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q25",8.61388779963759,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q26",8.86867280621587,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q27",8.85341578880133,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q28",9.16659187569397,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q29",7.77032614915836,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q31",6.82985732734401,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q32",8.49071208687772,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q33",8.66527952610654,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q34",9.22816106242561,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q36",8.79719782630941,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q37",7.3408082351998,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q38",8.04597724191524,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q39",9.43027898331284,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q41",8.62168256648587,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q42",8.74628663097719,"high","湿热"
"Q8TB73","20250913_FJ_QZ_Q44",8.54403761142342,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q45",8.31498145980597,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q48",7.81485183758982,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q49",9.29088043258606,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q50",8.38877987764208,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q52",8.49930285942447,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q54",7.53697791773371,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q55",9.0088549852029,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q57",8.73375630504862,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q58",8.12635473034597,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q59",9.22458539980437,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q60",8.63160472032004,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q61",7.94963892478467,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q62",8.53678955697701,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q63",8.6829383430033,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q65",6.88556205045416,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q66",9.03941492554824,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q67",9.30836639085487,"low","湿热"
"Q8TB73","20250913_FJ_QZ_Q68",7.85300613792268,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q69",,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q70",8.70506650908656,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q71",9.69160477511453,"control","湿热"
"Q8TB73","20250913_FJ_QZ_Q72",9.48486013132593,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F47",8.59129405860127,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F51",8.74765284780424,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F53",8.62772768177075,"control","湿热"
"Q8TB73","20250914_FJ_FQ_F54",8.81916275635172,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F55",8.19762750849108,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F56",9.2694775725082,"control","湿热"
"Q8TB73","20250914_FJ_FQ_F57",9.48775516483499,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F58",8.60196467795954,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F62",8.32374308951693,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F66",9.09757100540007,"control","湿热"
"Q8TB73","20250914_FJ_FQ_F69",7.53751631131849,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F70",8.82772453280118,"control","湿热"
"Q8TB73","20250914_FJ_FQ_F71",7.35755723959269,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F72",8.156011457378,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F74",8.44064514813665,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F75",8.54418351325301,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F77",7.08857087417487,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F79",7.60838681400148,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F81",,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F83",8.38615733539164,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F84",8.36341787668399,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F85",7.96558993392807,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F88",7.56222611762572,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F89",6.85233195524808,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F93",8.47126749879941,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F94",7.86606129313744,"control","湿热"
"Q8TB73","20250914_FJ_FQ_F102",9.26275840460757,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F105",9.47073917014996,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F106",8.69243288883115,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F107",9.18341852093119,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F110",8.26465992965797,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F111",7.19925716812133,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F118",8.50056656710504,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F121",7.88934975427421,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F122",7.36577083049186,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F123",9.3058759688152,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F124",7.93098695583309,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F125",7.47335745020964,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F126",6.43104826828383,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F128",7.90013814290727,"low","湿热"
"Q8TB73","20250914_FJ_FQ_F129",,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F131",8.47692786411222,"control","湿热"
"Q8TB73","20250914_FJ_FQ_F135",7.31943852860404,"high","湿热"
"Q8TB73","20250914_FJ_FQ_F137",8.37322653221412,"control","湿热"
"Q8TB73","20250914_FJ_PT_P2",8.26620091249896,"control","湿热"
"Q8TB73","20250914_FJ_PT_P3",9.13911179048675,"control","湿热"
"Q8TB73","20250914_FJ_PT_P4",9.19559598897944,"low","湿热"
"Q8TB73","20250914_FJ_PT_P6",8.28168231973099,"high","湿热"
"Q8TB73","20250914_FJ_PT_P7",9.03953055812581,"control","湿热"
"Q8TB73","20250914_FJ_PT_P8",9.02922503933464,"low","湿热"
"Q8TB73","20250914_FJ_PT_P9",8.74174254379738,"low","湿热"
"Q8TB73","20250914_FJ_PT_P10",8.27629013820895,"low","湿热"
"Q8TB73","20250914_FJ_PT_P11",9.40360591567712,"high","湿热"
"Q8TB73","20250914_FJ_PT_P13",7.80702900269171,"low","湿热"
"Q8TB73","20250914_FJ_PT_P15",9.79835808142066,"low","湿热"
"Q8TB73","20250914_FJ_PT_P17",8.21302083563852,"high","湿热"
"Q8TB73","20250914_FJ_PT_P18",7.5038797101641,"high","湿热"
"Q8TB73","20250914_FJ_PT_P19",8.44118587787118,"high","湿热"
"Q8TB73","20250914_FJ_PT_P20",8.12095748711231,"low","湿热"
"Q8TB73","20250914_FJ_PT_P21",8.88457104440421,"high","湿热"
"Q8TB73","20250914_FJ_PT_P22",6.79859292742446,"low","湿热"
"Q8TB73","20250914_FJ_PT_P23",8.83612193419275,"low","湿热"
"Q8TB73","20250914_FJ_PT_P24",7.91537128609554,"high","湿热"
"Q8TB73","20250914_FJ_PT_P25",7.41431671194482,"low","湿热"
"Q8TB73","20250914_FJ_PT_P26",8.85082817135789,"high","湿热"
"Q8TB73","20250914_FJ_PT_P27",9.99575697405069,"high","湿热"
"Q8TB73","20250914_FJ_PT_P29",8.46400074015139,"high","湿热"
"Q8TB73","20250914_FJ_PT_P30",8.78095630465443,"high","湿热"
"Q8TB73","20250914_FJ_PT_P33",9.00231234445246,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F83",8.34826119747255,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F95",7.24151043950771,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F97",7.61012797790058,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F105",7.99822766247429,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F120",8.3574379042988,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F136",7.27905763347975,"control","湿热"
"Q8TB73","20251001_FJ_FQ_F141",8.63111365018465,"control","湿热"
"Q8TB73","20251001_FJ_FQ_F147",8.78569082090427,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F150",7.0653443081826,"control","湿热"
"Q8TB73","20251001_FJ_FQ_F154",9.25689712534108,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F158",6.76867288735507,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F163",7.4319840251764,"control","湿热"
"Q8TB73","20251001_FJ_FQ_F165",8.79002070156359,"control","湿热"
"Q8TB73","20251001_FJ_FQ_F168",8.19777911615882,"high","湿热"
"Q8TB73","20251001_FJ_FQ_F170",9.43149135558305,"control","湿热"
"Q8TB73","20251001_FJ_FQ_F173",8.89965941355441,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F174",8.93593287654564,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F175",8.05684341043159,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F176",9.26045413718701,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F177",9.06236306837982,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F180",8.33724227597286,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F183",9.83649143027595,"low","湿热"
"Q8TB73","20251001_FJ_FQ_F185",9.47424685890709,"low","湿热"
"Q8TB73","20251001_XZ_YA_1",9.82111405011805,"low","高海拔"
"Q8TB73","20251001_XZ_YA_2",8.70812751377618,"low","高海拔"
"Q8TB73","20251001_XZ_YA_3",7.73018588654488,"low","高海拔"
"Q8TB73","20251001_XZ_YA_4",8.98761809766955,"low","高海拔"
"Q8TB73","20251001_XZ_YA_5",8.41642825435766,"low","高海拔"
"Q8TB73","20251001_XZ_YA_6",9.13605254281649,"low","高海拔"
"Q8TB73","20251001_XZ_YA_7",7.90876467667751,"low","高海拔"
"Q8TB73","20251001_XZ_YA_8",8.82530062958822,"low","高海拔"
"Q8TB73","20251001_XZ_YA_9",9.22126082319633,"low","高海拔"
"Q8TB73","20251001_XZ_YA_10",9.94619568114829,"low","高海拔"
"Q8TB73","20251001_XZ_YA_11",6.38602270732942,"low","高海拔"
"Q8TB73","20251001_XZ_YA_12",9.1542507371667,"low","高海拔"
"Q8TB73","20251001_XZ_YA_13",9.56812939088753,"low","高海拔"
"Q8TB73","20251001_XZ_YA_14",9.02716290343542,"low","高海拔"
"Q8TB73","20251001_XZ_YA_15",10.2511198871613,"low","高海拔"
"Q8TB73","20251001_XZ_YA_16",8.84910935816758,"low","高海拔"
"Q8TB73","20251001_XZ_YA_17",9.21402438771182,"low","高海拔"
"Q8TB73","20251001_XZ_YA_18",9.07421726331106,"low","高海拔"
"Q8TB73","20251001_XZ_YA_19",9.69187213566489,"low","高海拔"
"Q8TB73","20251001_XZ_YA_20",8.49809369421915,"control","高海拔"
"Q8TB73","20251001_XZ_YA_21",8.44220989626964,"control","高海拔"
"Q8TB73","20251001_XZ_YA_22",6.24597884748837,"high","高海拔"
"Q8TB73","20251001_XZ_YB_2",9.02289621629004,"control","高海拔"
"Q8TB73","20251001_XZ_YB_4",9.94235735777075,"control","高海拔"
"Q8TB73","20251001_XZ_YB_6",8.62624253668809,"control","高海拔"
"Q8TB73","20251001_XZ_YB_9",8.85959810126705,"control","高海拔"
"Q8TB73","20251001_XZ_YB_10",9.3594608393144,"control","高海拔"
"Q8TB73","20251001_XZ_YB_11",8.61848968584919,"control","高海拔"
"Q8TB73","20251001_XZ_YB_12",7.41602111963081,"control","高海拔"
"Q8TB73","20251001_XZ_YB_14",9.07311678431905,"control","高海拔"
"Q8TB73","20251001_XZ_YB_15",8.68020207816839,"control","高海拔"
"Q8TB73","20251001_XZ_YB_19",8.89525316345315,"control","高海拔"
"Q8TB73","20251001_XZ_YC_1",7.74109949464844,"control","高海拔"
"Q8TB73","20251001_XZ_YC_2",9.17695150768287,"control","高海拔"
"Q8TB73","20251001_XZ_YC_3",9.09234051232835,"high","高海拔"
"Q8TB73","20251001_XZ_YC_4",9.17220636194837,"control","高海拔"
"Q8TB73","20251001_XZ_YC_5",8.50408320952898,"high","高海拔"
"Q8TB73","20251001_XZ_YC_6",8.59218645912658,"low","高海拔"
"Q8TB73","20251001_XZ_YC_7",9.59215052271453,"low","高海拔"
"Q8TB73","20251001_XZ_YC_8",9.12080865904879,"control","高海拔"
"Q8TB73","20251001_XZ_YC_9",9.82705936864482,"low","高海拔"
"Q8TB73","20251001_XZ_YC_10",9.86332791892095,"high","高海拔"
"Q8TB73","20251001_XZ_YC_11",8.06312430696787,"high","高海拔"
"Q8TB73","20251001_XZ_YC_12",9.76520140547865,"high","高海拔"
"Q8TB73","20251001_XZ_YC_13",8.69506725529773,"high","高海拔"
"Q8TB73","20251001_XZ_YC_14",8.92823407695647,"high","高海拔"
"Q8TB73","20251001_XZ_YC_15",9.14670989882687,"high","高海拔"
"Q8TB73","20251001_XZ_YC_16",9.08162353929459,"high","高海拔"
"Q8TB73","20251001_XZ_YC_17",8.5250222617036,"high","高海拔"
"Q8TB73","20251001_XZ_YC_18",7.43382711087549,"low","高海拔"
"Q8TB73","20251001_XZ_YC_19",8.58394997026293,"high","高海拔"
"Q8TB73","20251001_XZ_YC_20",8.13148601409673,"low","高海拔"
"Q8TB73","20251001_XZ_YC_21",8.4238703061065,"high","高海拔"
"Q8TB73","20251001_XZ_YC_22",8.53881424248191,"high","高海拔"
"Q8TB73","20251001_XZ_YC_23",8.57111065872138,"low","高海拔"
"Q8TB73","20251001_XZ_YC_24",8.2733488530432,"high","高海拔"
"Q8TB73","20251001_XZ_YC_25",7.51443981131856,"high","高海拔"
"Q8TB73","20251001_XZ_YC_26",8.99044255102888,"high","高海拔"
"Q8TB73","20251001_XZ_YC_27",6.02496377935895,"high","高海拔"
"Q8TB73","20251001_XZ_YC_28",8.27188970440885,"high","高海拔"
"Q8TB73","20251001_XZ_YC_29",7.44887563608478,"high","高海拔"
"Q8TB73","20251001_XZ_YC_30",9.10640143712238,"low","高海拔"
"Q8TB73","20251001_XZ_YC_31",8.72377862415495,"control","高海拔"
"Q8TB73","20251001_XZ_YC_32",8.90898771762746,"high","高海拔"
