"PG.ProteinGroups","UniqueSampleID","Abundance","TREAT1_clean","condition"
"P07585","20250913_FJ_QZ_Q3",13.5312428265426,"low","湿热"
"P07585","20250913_FJ_QZ_Q4",13.0204391333695,"control","湿热"
"P07585","20250913_FJ_QZ_Q12",12.5176632615028,"control","湿热"
"P07585","20250913_FJ_QZ_Q13",12.3618147632057,"control","湿热"
"P07585","20250913_FJ_QZ_Q14",13.0149673055931,"control","湿热"
"P07585","20250913_FJ_QZ_Q15",12.9541695030356,"control","湿热"
"P07585","20250913_FJ_QZ_Q16",11.8304310661905,"control","湿热"
"P07585","20250913_FJ_QZ_Q18",12.7156606239089,"control","湿热"
"P07585","20250913_FJ_QZ_Q20",13.0113555781041,"control","湿热"
"P07585","20250913_FJ_QZ_Q21",12.6066987751949,"control","湿热"
"P07585","20250913_FJ_QZ_Q22",12.1893361020141,"control","湿热"
"P07585","20250913_FJ_QZ_Q23",12.3367497975245,"control","湿热"
"P07585","20250913_FJ_QZ_Q25",12.6042336616316,"control","湿热"
"P07585","20250913_FJ_QZ_Q26",12.4147498726211,"control","湿热"
"P07585","20250913_FJ_QZ_Q27",13.1390805554146,"control","湿热"
"P07585","20250913_FJ_QZ_Q28",12.6456858050881,"control","湿热"
"P07585","20250913_FJ_QZ_Q29",12.6281868585169,"control","湿热"
"P07585","20250913_FJ_QZ_Q31",11.8925502278966,"high","湿热"
"P07585","20250913_FJ_QZ_Q32",12.5482845428589,"high","湿热"
"P07585","20250913_FJ_QZ_Q33",12.4319214307876,"high","湿热"
"P07585","20250913_FJ_QZ_Q34",12.8426416248903,"high","湿热"
"P07585","20250913_FJ_QZ_Q36",12.6503269162995,"low","湿热"
"P07585","20250913_FJ_QZ_Q37",12.2063884120163,"high","湿热"
"P07585","20250913_FJ_QZ_Q38",12.2377201087339,"low","湿热"
"P07585","20250913_FJ_QZ_Q39",12.8618375462505,"high","湿热"
"P07585","20250913_FJ_QZ_Q41",12.4170878805871,"high","湿热"
"P07585","20250913_FJ_QZ_Q42",12.916667739814,"high","湿热"
"P07585","20250913_FJ_QZ_Q44",12.5176955761847,"low","湿热"
"P07585","20250913_FJ_QZ_Q45",12.0256390745015,"low","湿热"
"P07585","20250913_FJ_QZ_Q48",11.9991774305006,"low","湿热"
"P07585","20250913_FJ_QZ_Q49",13.0876212993857,"low","湿热"
"P07585","20250913_FJ_QZ_Q50",11.8498263676618,"control","湿热"
"P07585","20250913_FJ_QZ_Q52",12.5567042527751,"low","湿热"
"P07585","20250913_FJ_QZ_Q54",11.611401966214,"control","湿热"
"P07585","20250913_FJ_QZ_Q55",12.7661721957848,"control","湿热"
"P07585","20250913_FJ_QZ_Q57",12.7890582680206,"control","湿热"
"P07585","20250913_FJ_QZ_Q58",12.3861853648743,"low","湿热"
"P07585","20250913_FJ_QZ_Q59",13.5386470775226,"low","湿热"
"P07585","20250913_FJ_QZ_Q60",12.9017423958963,"low","湿热"
"P07585","20250913_FJ_QZ_Q61",12.2338671459964,"control","湿热"
"P07585","20250913_FJ_QZ_Q62",13.9584535062044,"control","湿热"
"P07585","20250913_FJ_QZ_Q63",12.6386106878396,"control","湿热"
"P07585","20250913_FJ_QZ_Q65",11.5147537777046,"control","湿热"
