PG.ProteinGroups,UniqueSampleID,Abundance,TREAT1_clean,condition
Q8TB73,20250913_FJ_QZ_Q3,9.491924761631205,low,湿热
Q8TB73,20250913_FJ_QZ_Q4,8.70475621021315,control,湿热
Q8TB73,20250913_FJ_QZ_Q12,8.00861053418331,control,湿热
Q8TB73,20250913_FJ_QZ_Q13,8.314890488305627,control,湿热
Q8TB73,20250913_FJ_QZ_Q14,9.29642419026841,control,湿热
Q8TB73,20250913_FJ_QZ_Q15,8.619607449559862,control,湿热
Q8TB73,20250913_FJ_QZ_Q16,7.543795667301698,control,湿热
Q8TB73,20250913_FJ_QZ_Q18,9.095812447907457,control,湿热
Q8TB73,20250913_FJ_QZ_Q20,8.49487022975861,control,湿热
Q8TB73,20250913_FJ_QZ_Q21,8.916046181681804,control,湿热
Q8TB73,20250913_FJ_QZ_Q22,7.945473931981356,control,湿热
Q8TB73,20250913_FJ_QZ_Q23,8.098273732240303,control,湿热
Q8TB73,20250913_FJ_QZ_Q25,8.613887799637588,control,湿热
Q8TB73,20250913_FJ_QZ_Q26,8.868672806215875,control,湿热
Q8TB73,20250913_FJ_QZ_Q27,8.853415788801328,control,湿热
Q8TB73,20250913_FJ_QZ_Q28,9.166591875693975,control,湿热
Q8TB73,20250913_FJ_QZ_Q29,7.770326149158358,control,湿热
Q8TB73,20250913_FJ_QZ_Q31,6.829857327344012,high,湿热
Q8TB73,20250913_FJ_QZ_Q32,8.490712086877725,high,湿热
Q8TB73,20250913_FJ_QZ_Q33,8.665279526106543,high,湿热
Q8TB73,20250913_FJ_QZ_Q34,9.228161062425611,high,湿热
Q8TB73,20250913_FJ_QZ_Q36,8.797197826309409,low,湿热
Q8TB73,20250913_FJ_QZ_Q37,7.3408082351998,high,湿热
Q8TB73,20250913_FJ_QZ_Q38,8.045977241915237,low,湿热
Q8TB73,20250913_FJ_QZ_Q39,9.430278983312839,high,湿热
Q8TB73,20250913_FJ_QZ_Q41,8.621682566485868,high,湿热
Q8TB73,20250913_FJ_QZ_Q42,8.74628663097719,high,湿热
Q8TB73,20250913_FJ_QZ_Q44,8.544037611423423,low,湿热
Q8TB73,20250913_FJ_QZ_Q45,8.314981459805965,low,湿热
Q8TB73,20250913_FJ_QZ_Q48,7.814851837589821,low,湿热
Q8TB73,20250913_FJ_QZ_Q49,9.29088043258606,low,湿热
Q8TB73,20250913_FJ_QZ_Q50,8.388779877642083,control,湿热
Q8TB73,20250913_FJ_QZ_Q52,8.499302859424475,low,湿热
Q8TB73,20250913_FJ_QZ_Q54,7.536977917733707,control,湿热
Q8TB73,20250913_FJ_QZ_Q55,9.008854985202898,control,湿热
Q8TB73,20250913_FJ_QZ_Q57,8.733756305048622,control,湿热
Q8TB73,20250913_FJ_QZ_Q58,8.12635473034597,low,湿热
Q8TB73,20250913_FJ_QZ_Q59,9.224585399804369,low,湿热
Q8TB73,20250913_FJ_QZ_Q60,8.63160472032004,low,湿热
Q8TB73,20250913_FJ_QZ_Q61,7.949638924784666,control,湿热
Q8TB73,20250913_FJ_QZ_Q62,8.536789556977011,control,湿热
Q8TB73,20250913_FJ_QZ_Q63,8.6829383430033,control,湿热
Q8TB73,20250913_FJ_QZ_Q65,6.885562050454162,control,湿热
Q8TB73,20250913_FJ_QZ_Q66,9.03941492554824,low,湿热
Q8TB73,20250913_FJ_QZ_Q67,9.308366390854873,low,湿热
Q8TB73,20250913_FJ_QZ_Q68,7.8530061379226765,control,湿热
Q8TB73,20250913_FJ_QZ_Q69,,control,湿热
Q8TB73,20250913_FJ_QZ_Q70,8.705066509086562,control,湿热
Q8TB73,20250913_FJ_QZ_Q71,9.691604775114529,control,湿热
Q8TB73,20250913_FJ_QZ_Q72,9.484860131325929,low,湿热
Q8TB73,20250914_FJ_FQ_F47,8.59129405860127,low,湿热
Q8TB73,20250914_FJ_FQ_F51,8.747652847804243,low,湿热
Q8TB73,20250914_FJ_FQ_F53,8.627727681770748,control,湿热
Q8TB73,20250914_FJ_FQ_F54,8.819162756351721,low,湿热
Q8TB73,20250914_FJ_FQ_F55,8.197627508491081,high,湿热
Q8TB73,20250914_FJ_FQ_F56,9.269477572508205,control,湿热
Q8TB73,20250914_FJ_FQ_F57,9.487755164834994,low,湿热
Q8TB73,20250914_FJ_FQ_F58,8.601964677959542,high,湿热
Q8TB73,20250914_FJ_FQ_F62,8.323743089516926,high,湿热
Q8TB73,20250914_FJ_FQ_F66,9.097571005400068,control,湿热
Q8TB73,20250914_FJ_FQ_F69,7.537516311318492,high,湿热
Q8TB73,20250914_FJ_FQ_F70,8.827724532801176,control,湿热
Q8TB73,20250914_FJ_FQ_F71,7.35755723959269,high,湿热
Q8TB73,20250914_FJ_FQ_F72,8.156011457378,low,湿热
Q8TB73,20250914_FJ_FQ_F74,8.440645148136648,low,湿热
Q8TB73,20250914_FJ_FQ_F75,8.544183513253007,high,湿热
Q8TB73,20250914_FJ_FQ_F77,7.088570874174869,low,湿热
Q8TB73,20250914_FJ_FQ_F79,7.608386814001476,high,湿热
Q8TB73,20250914_FJ_FQ_F81,,high,湿热
Q8TB73,20250914_FJ_FQ_F83,8.38615733539164,low,湿热
Q8TB73,20250914_FJ_FQ_F84,8.363417876683986,low,湿热
