PG.ProteinGroups,UniqueSampleID,Abundance,TREAT1_clean,condition
Q99983,20250913_FJ_QZ_Q3,14.695742084985703,low,湿热
Q99983,20250913_FJ_QZ_Q4,14.446764905907296,control,湿热
Q99983,20250913_FJ_QZ_Q12,13.594022018002132,control,湿热
Q99983,20250913_FJ_QZ_Q13,14.735355936415871,control,湿热
Q99983,20250913_FJ_QZ_Q14,14.371777043078023,control,湿热
Q99983,20250913_FJ_QZ_Q15,14.990730863188023,control,湿热
Q99983,20250913_FJ_QZ_Q16,13.19868243350433,control,湿热
Q99983,20250913_FJ_QZ_Q18,14.792301192792477,control,湿热
Q99983,20250913_FJ_QZ_Q20,14.248922135402774,control,湿热
Q99983,20250913_FJ_QZ_Q21,14.389390422925418,control,湿热
Q99983,20250913_FJ_QZ_Q22,14.026130137968241,control,湿热
Q99983,20250913_FJ_QZ_Q23,13.57704440009946,control,湿热
Q99983,20250913_FJ_QZ_Q25,14.653916440976957,control,湿热
Q99983,20250913_FJ_QZ_Q26,14.475235561576888,control,湿热
Q99983,20250913_FJ_QZ_Q27,14.859234666361786,control,湿热
Q99983,20250913_FJ_QZ_Q28,14.572620552618524,control,湿热
Q99983,20250913_FJ_QZ_Q29,14.97360891439608,control,湿热
Q99983,20250913_FJ_QZ_Q31,13.263488712458978,high,湿热
Q99983,20250913_FJ_QZ_Q32,13.985499662462946,high,湿热
Q99983,20250913_FJ_QZ_Q33,12.843160644944236,high,湿热
Q99983,20250913_FJ_QZ_Q34,14.964127016393574,high,湿热
Q99983,20250913_FJ_QZ_Q36,15.387095040414644,low,湿热
Q99983,20250913_FJ_QZ_Q37,15.035482256187567,high,湿热
Q99983,20250913_FJ_QZ_Q38,14.166473273069565,low,湿热
Q99983,20250913_FJ_QZ_Q39,15.600018254835861,high,湿热
Q99983,20250913_FJ_QZ_Q41,14.874288274642183,high,湿热
Q99983,20250913_FJ_QZ_Q42,14.799426099788333,high,湿热
Q99983,20250913_FJ_QZ_Q44,14.845701080654603,low,湿热
Q99983,20250913_FJ_QZ_Q45,13.229360567964946,low,湿热
Q99983,20250913_FJ_QZ_Q48,13.668751164571121,low,湿热
Q99983,20250913_FJ_QZ_Q49,14.485535147604775,low,湿热
Q99983,20250913_FJ_QZ_Q50,14.031344984545168,control,湿热
Q99983,20250913_FJ_QZ_Q52,14.741414934189565,low,湿热
