"Analysis","Contrast","Significant"
"Primary","Low_vs_Control",14
"Primary","High_vs_Control",0
"Primary","High_vs_Low",256
"Median norm.","Low_vs_Control",0
"Median norm.","High_vs_Control",18
"Median norm.","High_vs_Low",65
"Run-date covariate","Low_vs_Control",77
"Run-date covariate","High_vs_Control",121
"Run-date covariate","High_vs_Low",406
"50% filter","Low_vs_Control",12
"50% filter","High_vs_Control",0
"50% filter","High_vs_Low",226
"80% filter","Low_vs_Control",15
"80% filter","High_vs_Control",0
"80% filter","High_vs_Low",270
"Complete case","Low_vs_Control",21
"Complete case","High_vs_Control",0
"Complete case","High_vs_Low",198
