"Comparison","Contrast","Shared_proteins","Pearson","Spearman","Direction","Significant_primary","Significant_comparison","Significant_overlap","Jaccard"
"Median normalization","Low_vs_Control",1434,0.993302474338154,0.991515580199189,0.732914923291492,14,0,0,0
"Median normalization","High_vs_Control",1434,0.995032672986557,0.993062953970155,0.96931659693166,0,18,0,0
"Median normalization","High_vs_Low",1434,0.995514692010196,0.995589234145656,0.779637377963738,256,65,64,0.249027237354086
"MS run-date proxy","Low_vs_Control",1434,0.920587028286118,0.916188168550135,0.810320781032078,14,77,10,0.123456790123457
"MS run-date proxy","High_vs_Control",1434,0.959128380469315,0.946508918586691,0.875871687587169,0,121,0,0
"MS run-date proxy","High_vs_Low",1434,0.953903259322298,0.958212704205086,0.935146443514644,256,406,254,0.622549019607843
"Threshold 50%","Low_vs_Control",1434,1,1,1,14,12,12,0.857142857142857
"Threshold 50%","High_vs_Control",1434,1,1,1,0,0,0,
"Threshold 50%","High_vs_Low",1434,1,1,1,256,219,219,0.85546875
"Threshold 80%","Low_vs_Control",1214,1,1,1,14,15,14,0.933333333333333
"Threshold 80%","High_vs_Control",1214,1,1,1,0,0,0,
"Threshold 80%","High_vs_Low",1214,1,1,1,247,270,247,0.914814814814815
"Complete case","Low_vs_Control",481,1,1,1,10,21,10,0.476190476190476
"Complete case","High_vs_Control",481,1,1,1,0,0,0,
"Complete case","High_vs_Low",481,1,1,1,155,198,155,0.782828282828283
