"PG.ProteinGroups","logFC_primary","logFC_comparison"
"A0A075B6H9",0.270225315541529,0.236386962684715
"A0A075B6I0",0.123643709894775,0.204893542918171
"A0A075B6J9",0.52813785289538,0.539909549491872
"A0A075B6K4",0.417549571866887,0.35972416507807
"A0A075B6K5",0.284833970644454,0.262067891935056
"A0A075B6P5;P01615",0.376880007481388,0.292562858350768
"A0A087WSX0",-0.0503543626064413,-0.00326071741012868
"A0A087WSY6",-0.105563641061158,-0.12650260785666
"A0A0A0MRZ8;P04433",0.297235017142704,0.233603916227112
"A0A0A0MS15",0.372821307000565,0.348227941158941
"A0A0B4J1U7",0.406109401787392,0.379584476295879
"A0A0B4J1V0",0.189308984882713,0.167622233109672
"A0A0B4J1X5",0.399281921738424,0.437458962977228
"A0A0B4J1Y8",0.444102614960157,0.367086475281914
"A0A0B4J1Y9",0.205486319497172,0.178203562928271
"A0A0C4DH25",0.382505654863952,0.348169616450834
"A0A0C4DH34",0.507863422244474,0.460312979506213
"A0A0C4DH38",0.442059691828483,0.434773632311945
"A0A0C4DH43",0.544778563725774,0.503513582525773
"A0A0C4DH67",0.265605569644435,0.218537150330178
"A0A0G2JS06",0.101928167292504,0.0596850514522611
"A0A0J9YX35",0.237353099609024,0.192955113488562
"A0A0J9YXX1",0.228257615545338,0.142605865079673
"A0A1B0GTC6",-0.0121353281142742,-0.0694266326624202
"A0M8Q6",0.287850501977537,0.277053106983653
"A1L4H1",-0.201759299041367,-0.191433078659138
"A2A3L6",-0.05313623632094,-0.0362798074018009
"A2CJ06",0.153096023668528,0.17415643095925
"A2NJV5",0.310605271760675,0.246010327900141
"A6NDG6",-0.101807127279072,-0.164695497639551
"A6NL88",0.0536638623481576,0.0853320609663015
"A6NM11;A6NMS7",-0.170492857391146,-0.174910985694439
"A8MYB1",-0.0221687738916181,-0.1335123204016
"B0I1T2",-0.0138162263509898,-0.0636245913633458
"B2RUZ4",-0.193509832029857,-0.22761889525731
"E9PAV3",-0.0211707333594582,-0.057510080026395
"O00151",-0.0420397834523776,-0.140781429614584
"O00161",-0.0356448170386034,-0.0630183399188127
"O00186",-0.0274344026970308,-0.116425107783322
"O00187",-0.0914008149030252,-0.123256049371317
"O00194",-0.197958898240561,-0.459779197601645
"O00231",-0.121416672474057,-0.192580320194221
"O00232",-0.370209591694479,-0.408277113979326
"O00264",0.181644551840234,0.145947468106629
"O00299",-0.130946562067979,-0.167221692159671
"O00339",-0.0642695724086249,-0.128520901700605
"O00391",0.124795150902655,0.0653256330038232
"O00410",-0.0883040999824889,-0.181239509083762
"O00429",0.370244366413733,0.341934177995073
"O00461",-0.181774836307358,-0.196410747879083
"O00468",-0.179065240929368,-0.215085575796813
"O00487",-0.0573148954554279,-0.0667170283164022
"O00533",-0.0234927937858149,-0.0183950519925311
"O00560",-0.197055015163862,-0.224810526277357
"O00592",-0.235586257341687,-0.336075069981669
"O00602",0.171478352102733,0.167790763259303
"O14498",0.0406274069811765,-0.00182335451543914
"O14594",-0.304949367016993,-0.331850521428319
"O14602;P47813",-0.217801449767096,-0.31433962241413
"O14645",-0.189193198406763,-0.158327843617439
"O14656",-0.0315702672798706,0.00683186009136971
"O14672",0.0189628334247729,0.0201584025312567
"O14745",-0.106409863316616,-0.149268815221882
"O14773",0.0701182577420827,0.0435957281982615
"O14786",-0.224368360956033,-0.236858339832171
"O14791",0.0791902982695021,0.0886129684469701
"O14818",-0.130828301911366,-0.149193654251301
"O14950;P19105",0.0610607796096971,-0.000896441350663579
"O14960",-0.229191391573838,-0.173478144263621
"O15031",-0.124983974787052,-0.152842996434704
"O15117",-0.0508094725993242,-0.123148102572112
"O15143",-0.020837873013237,-0.00444550520605169
"O15144",-0.0397937847110956,-0.0795880899867232
"O15145",0.00504581328914533,-0.0469755643950354
"O15204",0.0849341775842767,0.0381242846711931
"O15335",-0.226370270196421,-0.215331396513598
"O15400",-0.184104072755666,-0.245096891083618
"O15466",-0.162657556590682,-0.192836357732681
"O15498",0.0673558533004526,-0.0526824591805335
"O15511",-0.0535238133239773,-0.120414455663003
"O43157",-0.109979336843027,-0.164808910931276
"O43173",-0.163177278129667,-0.223963713592331
"O43242",-0.0920059879773598,-0.142682067860889
"O43396",-0.135446733457073,-0.146655491909433
"O43399",-0.252904870247958,-0.152505962123834
"O43488",0.0210367610449529,-0.0855672232072822
"O43491",0.0753758180102002,-0.00278119074549465
"O43505",-0.0302584459456199,-0.0385167508670481
"O43529",-0.151843430351293,-0.167575957215467
"O43681",-0.187514583947965,-0.289893111983513
"O43707",-0.097157344603211,-0.162640991188389
