"Comparison","Contrast","Retention"
"Median normalization","Low_vs_Control",0
"Median normalization","High_vs_Control",
"Median normalization","High_vs_Low",0.25
"MS run-date proxy","Low_vs_Control",0.714285714285714
"MS run-date proxy","High_vs_Control",
"MS run-date proxy","High_vs_Low",0.9921875
"Threshold 50%","Low_vs_Control",0.857142857142857
"Threshold 50%","High_vs_Control",
"Threshold 50%","High_vs_Low",0.85546875
"Threshold 80%","Low_vs_Control",1
"Threshold 80%","High_vs_Control",
"Threshold 80%","High_vs_Low",1
"Complete case","Low_vs_Control",1
"Complete case","High_vs_Control",
"Complete case","High_vs_Low",1
