"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"A0A075B6H9",0.731642327125744,0.262455369939074,FALSE
"A0A075B6I0",-0.0289436303649708,0.246928173486477,FALSE
"A0A075B6J9",0.227242263952657,0.694676074540667,FALSE
"A0A075B6K4",-0.0158805600107979,0.836286481815307,FALSE
"A0A075B6K5",-0.149409611469977,0.635081322642845,FALSE
"A0A075B6P5;P01615",0.234779425581069,0.647714101691276,FALSE
"A0A087WSX0",-0.115783229620144,0.0685601077217175,FALSE
"A0A087WSY6",-1.81799705764016,0.554736356602225,FALSE
"A0A0A0MRZ8;P04433",0.00910971569455299,0.670292881081201,FALSE
"A0A0A0MS15",-0.162366015476275,0.861207666989534,FALSE
"A0A0B4J1U7",0.076548800682529,0.865975298693099,FALSE
"A0A0B4J1V0",0.163168749484814,0.500441874334321,FALSE
"A0A0B4J1X5",-0.0684021295579811,0.875559418797014,FALSE
"A0A0B4J1Y8",-0.0882989294739751,1.07889925273817,FALSE
"A0A0B4J1Y9",-0.336459843533648,0.71367492442079,FALSE
"A0A0C4DH25",0.158060716761469,0.800485897552804,FALSE
"A0A0C4DH34",0.0335689656591107,0.726675695334525,FALSE
"A0A0C4DH38",0.364422485563555,0.650151655864008,FALSE
"A0A0C4DH43",0.548507433871187,1.14098726672091,FALSE
"A0A0C4DH67",0.05106112309499,0.416158823758098,FALSE
"A0A0G2JS06",1.0308323709356,0.243305662134848,FALSE
"A0A0J9YX35",-0.507687428585381,0.588544641390408,FALSE
"A0A0J9YXX1",0.214224594506986,0.685280435867908,FALSE
"A0A1B0GTC6",-0.210395572091882,0.243590986386273,FALSE
"A0M8Q6",-0.0151423533481889,0.388098127671654,FALSE
"A1L4H1",-0.338671660185362,-0.120464453674233,FALSE
"A2A3L6",0.0610933634293431,0.00691115683577337,FALSE
"A2CJ06",0.0992574715605521,0.313056797871937,FALSE
"A2NJV5",0.0333285845344484,0.701851716760547,FALSE
"A6NDG6",-0.473379022395878,0.154186386715653,FALSE
"A6NL88",-0.000258675350160331,0.442905205374356,FALSE
"A6NM11;A6NMS7",-0.11484279684586,0.0144643691271984,FALSE
"A8MYB1",-0.363406850913085,0.357791494342482,FALSE
"B0I1T2",-0.379436203776393,0.402187910376909,FALSE
"B2RUZ4",-0.365072773923702,-0.268452524114998,FALSE
"E9PAV3",0.622515557281083,0.159200396444812,FALSE
"O00151",0.092147506255321,0.216258075413423,FALSE
"O00161",0.0916373271416484,0.142817503120465,FALSE
"O00186",-0.0633884323420704,-0.126158446821136,FALSE
"O00187",-0.261915164513219,0.0794964498804394,FALSE
"O00194",-2.65324384192017,0.899130982988689,FALSE
"O00231",0.0895156612366321,-0.473799555673065,FALSE
"O00232",-0.236465527327245,-0.757491055396689,FALSE
"O00264",0.467978847319811,0.340072641565648,FALSE
"O00299",-0.0829507025880254,0.032998635782798,FALSE
"O00339",-0.414710112600938,0.199425729999376,FALSE
"O00391",0.108355248888479,0.245158981879765,FALSE
"O00410",-0.196404813632225,0.140737595508654,FALSE
"O00429",0.635234165836559,0.720449100149573,FALSE
"O00461",-0.0595696509069068,-0.159340813218757,FALSE
"O00468",-0.363803627020015,-0.0750010634741738,FALSE
"O00487",-0.430571636827398,0.552205948913907,FALSE
"O00533",-0.193516754606295,0.136319770296119,FALSE
"O00560",-0.533415180671449,0.0497920354637049,FALSE
"O00592",-0.579268584869336,-0.32601296923637,FALSE
"O00602",0.144649374117845,0.465626545340522,FALSE
"O14498",-0.159089856194543,0.251847649104587,FALSE
"O14594",-0.515927433037444,-0.311831119757507,FALSE
"O14602;P47813",-0.487428464466472,-0.295295655573048,FALSE
"O14645",-0.68277775478486,-0.0088860867971281,FALSE
"O14656",-0.0571806893894173,0.383218215853431,FALSE
"O14672",0.131820189984991,0.19774367688454,FALSE
"O14745",-0.0996332239994349,-0.000122851686595205,FALSE
"O14773",0.0692325670802934,0.190495589723149,FALSE
"O14786",-0.3699723464294,-0.21363210868455,FALSE
"O14791",0.00718392938592238,0.203709849636901,FALSE
"O14818",-0.158508383826421,-0.254692907682707,FALSE
"O14950;P19105",0.619848289374588,0.20372189510948,FALSE
"O14960",-0.381212482838105,0.0296366354715882,FALSE
"O15031",-0.404121847060778,0.175161649423111,FALSE
"O15117",-0.217134179462645,0.13751671990346,FALSE
"O15143",0.35815649140335,0.261964515841258,FALSE
"O15144",0.120319020679017,0.334850157737487,FALSE
"O15145",-0.00886347962597256,0.216496025454605,FALSE
"O15204",0.0146165182657043,0.299722345588515,FALSE
"O15335",-0.171781000241236,-0.1674407385504,FALSE
"O15400",-0.373495504160237,0.148508792296129,FALSE
"O15466",-0.0344997944972327,-0.171400538180434,FALSE
"O15498",-0.014881200814183,0.128181993761451,FALSE
"O15511",-0.0301743182096406,0.0463905061352996,FALSE
"O43157",-0.288611482719746,-0.0460173862994484,FALSE
"O43173",-0.375974067488997,-0.0951839943957244,FALSE
"O43242",-0.301236978410396,0.0895041376331731,FALSE
"O43396",-0.236412888246825,0.208177806185932,FALSE
"O43399",-0.937769211605213,-0.299512909997999,FALSE
"O43488",-0.132584745699831,0.157369097579512,FALSE
"O43491",-0.158395741226784,0.155679794749521,FALSE
"O43505",-0.0955133846212028,0.332413522714174,FALSE
"O43529",-0.371438177970856,-0.0294336359838026,FALSE
"O43681",-0.385367757321402,-0.195083159748575,FALSE
"O43707",-0.0423101668617356,0.21810404572321,FALSE
"O43852",-0.117644439640021,-0.210057229068994,FALSE
"O43866",-0.117278139305789,0.124957967772707,FALSE
"O43897",-0.272051777188574,0.0491458736688077,FALSE
"O60234",0.33838229861718,-0.0961693057510651,FALSE
"O60240",0.384390393740076,-0.213592295921091,FALSE
"O60245",-0.211256898048954,-0.0387484821188053,FALSE
"O60279",-0.139799118214039,-0.227025281824464,FALSE
"O60462",-0.0922195243254507,-0.0346635749647906,FALSE
"O60476",-0.0864318087475908,0.304207157916341,FALSE
"O60493",0.0133664099040658,0.463218156948328,FALSE
"O60610",-0.172750813152001,0.635145660261014,FALSE
"O60664",-0.254753554072869,0.336992363261198,FALSE
"O60704",-0.515510531423383,-0.09844277218395,FALSE
"O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879",-0.173753635436965,0.188927060986112,FALSE
"O60844",-0.280094321555163,0.00612631887527026,FALSE
"O60936",0.349362498136333,-0.00705154700866739,FALSE
"O75081",0.0841087477210625,-0.00851074241479921,FALSE
"O75083",0.180167960911604,0.0502836527692434,FALSE
"O75144",-0.15738320729966,0.429972399163995,FALSE
"O75147",0.294497123319523,0.293270403953857,FALSE
"O75165",-0.389763666803482,0.852936836735739,FALSE
"O75170",-0.976819883172368,-0.0226436910604821,FALSE
"O75223",0.147378070259948,-0.122277232790871,FALSE
"O75309",-0.0473990569236005,0.311281208244425,FALSE
"O75339",-0.12391178893448,-0.0950509825009291,FALSE
"O75340",-0.00775917588546449,0.223779922985893,FALSE
"O75347",0.0285935367020338,-0.0498913981018676,FALSE
"O75351",0.255734512571977,0.244038676752758,FALSE
"O75356",0.189708893985411,0.0813020921152434,FALSE
"O75367",-0.27994599735468,0.803098220608239,FALSE
"O75368",-0.312637892149415,-0.104793486733934,FALSE
"O75487",-0.066061980624756,-0.141908504141269,FALSE
"O75531",-0.139164088358799,0.0809774161067818,FALSE
"O75558",0.271111320832068,-0.270395432754781,FALSE
"O75636",-0.301415306057967,0.890458706345362,FALSE
"O75752",-0.385103806774231,-0.0648305024385429,FALSE
"O75787",-0.425121431078477,0.0695002246951724,FALSE
"O75822",0.144942382638651,-0.189570698972386,FALSE
"O75874",-0.11468214089088,0.138909848227903,FALSE
"O75882",-0.285495232838088,0.362093352514059,FALSE
"O75897",0.357876550473344,0.0108680930316964,FALSE
"O75955",-0.158568039913733,0.191718205217431,FALSE
"O94769",-0.209498662213546,-0.080552802535081,FALSE
"O94966",-0.329653027856651,1.21652531929256,FALSE
"O94973",0.418122192135923,0.328904299727664,FALSE
"O94985",-0.154018951440163,-0.172062293462339,FALSE
"O95084",-0.415239588396428,-0.271014239058422,FALSE
"O95196",-0.114638917322091,-0.251457177926818,FALSE
"O95236",-0.235024050800723,0.496665166320623,FALSE
"O95373",0.289990300396532,-0.596636504804335,FALSE
"O95445",-0.0134822507235963,0.231310865451338,FALSE
"O95466",-0.235981195615469,0.229871021046406,FALSE
"O95498",-0.453705221479252,0.374711531476707,FALSE
"O95714",0.579206229122326,0.681136302591678,FALSE
"O95715",-0.0642060849278412,0.0708363058798787,FALSE
"O95744",0.710850800195649,0.2652645207185,FALSE
"O95747",-0.0194503513081408,-0.648861578770115,FALSE
"O95782",0.178991011130679,-0.0981867061747419,FALSE
"O95810",0.86811953674945,-0.029298216245067,FALSE
"O95967",-0.212756969485767,-0.165449181001819,FALSE
"P00325",-0.525291660143946,0.232939163648065,FALSE
"P00326",-0.123528619963912,0.254018276347196,FALSE
"P00338",-0.128802625321859,0.319454208335687,FALSE
"P00352",-0.339858061000729,0.017854527738236,FALSE
"P00387",0.414783304593835,0.0843484358605879,FALSE
"P00450",0.171363237128153,0.673225195727966,FALSE
"P00451",0.0871169333255359,-0.094905782454175,FALSE
"P00488",0.0885038450706084,0.405181590680421,FALSE
"P00491",-0.133736682192133,-0.0800930737690999,FALSE
"P00492",-0.109786070202948,0.359470257366472,FALSE
"P00558",-0.393076800128387,0.0425955101416591,FALSE
"P00568",-0.514354814077176,-0.132151005425505,FALSE
"P00734",-0.0109725282370619,0.305944828890103,FALSE
"P00736",-0.51153080845593,0.191109591798998,FALSE
"P00738",0.320947062638709,1.49451970088795,FALSE
"P00739",-0.00603385312690108,0.282101483115285,FALSE
"P00740",-0.113021998643298,0.215529677423184,FALSE
"P00742",-0.0858346956987113,0.16536400057489,FALSE
"P00746",0.016542247604864,-0.188406858406333,FALSE
"P00747",-0.212436440202998,0.259581333121046,FALSE
"P00748",-0.173822696559839,0.0931120590718901,FALSE
"P00751",-0.157643719306972,0.433524636020218,FALSE
"P00915",-1.1522255010319,-0.0404547495407499,FALSE
"P00918",-0.409172557051072,-0.339333796089687,FALSE
"P00966",-0.312718832197429,0.190430447667863,FALSE
"P01008",-0.313871554886886,0.221718841084048,FALSE
"P01009",0.166870306115333,0.460790460838178,FALSE
"P01011",-0.199827113852926,0.194638454292729,FALSE
"P01019",-0.206517141589009,0.0966069194157821,FALSE
"P01023",0.106554292780428,0.526810384465534,FALSE
"P01024",0.156155409989207,0.397082538371743,FALSE
"P01031",-0.212681984997188,0.542077292327097,FALSE
"P01033",0.182420653081534,0.280817886994601,FALSE
"P01034",0.0684069811217931,0.174156237035369,FALSE
"P01040",-0.352403029746622,-0.228571679721396,FALSE
"P01042",-0.23608005643082,-0.0154723214125418,FALSE
"P01111",-0.000758596280386215,-0.227733129203726,FALSE
"P01116",-0.0607333595852202,0.0616079148200832,FALSE
"P01137",-0.149603526845564,-0.214120788615596,FALSE
"P01266",-0.187170352244718,-0.0787916789017418,FALSE
"P01275",-0.298703694502258,0.193604087271484,FALSE
"P01344",0.197884531081222,-0.10007867327184,FALSE
"P01591",0.00173627359430206,0.260663288908042,FALSE
"P01597;P04432",0.065168897357422,0.470671012473556,FALSE
"P01602",-0.489377207288309,0.647178282989606,FALSE
"P01619",0.246878684712105,0.406564173671399,FALSE
"P01624",-0.259795299833442,0.369448257477583,FALSE
"P01699",0.0769116636348954,0.000298710346287479,FALSE
"P01700",0.188711057665387,0.74995604144117,FALSE
"P01701",0.64965725876417,0.205957778745029,FALSE
"P01703",0.0266145189117424,0.290250010892349,FALSE
"P01704",-0.175147689712565,0.192841093012264,FALSE
"P01706",0.306044047277661,0.548831156896611,FALSE
"P01709",-0.00661274649783472,0.937605452561447,FALSE
"P01714",0.0826340406195261,0.620200534083832,FALSE
"P01717",-0.0718118189808212,0.682196441387285,FALSE
"P01732",-0.273773581448001,-0.128354459596353,FALSE
"P01780",0.150660236041984,-0.0279764147131196,FALSE
