"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"A0A075B6H9",-0.00707235128611572,0.0192241439714973,FALSE
"A0A075B6I0",-0.0355070344841781,-0.0179251750394815,FALSE
"A0A075B6J9",0.0973110251138865,0.280960377058028,FALSE
"A0A075B6K4",-0.0170271516168761,0.144347812031153,FALSE
"A0A075B6K5",-0.227509003234044,0.199875554551417,FALSE
"A0A075B6P5;P01615",0.0179364655216574,0.460601696040339,FALSE
"A0A087WSX0",0.0130111157770418,-0.409628517548381,FALSE
"A0A087WSY6",-0.441396031584441,0.485674064034898,FALSE
"A0A0A0MRZ8;P04433",0.073810330566495,0.209865285359276,FALSE
"A0A0A0MS15",-0.143363173019139,0.240579913435427,FALSE
"A0A0B4J1U7",0.274346920959555,0.0531821244829054,FALSE
"A0A0B4J1V0",0.0231219250462971,-0.146040276504152,FALSE
"A0A0B4J1X5",-0.367084346751035,0.192365688251316,FALSE
"A0A0B4J1Y8",-0.0358778106591959,0.616541075078655,FALSE
"A0A0B4J1Y9",-0.418358048905279,0.0965852025272032,FALSE
"A0A0C4DH25",-0.0823988669732039,0.300743063440823,FALSE
"A0A0C4DH34",-0.232144129627581,0.0854935181018401,FALSE
"A0A0C4DH38",0.186114806814674,0.0182509118358656,FALSE
"A0A0C4DH43",-0.208795379468757,0.129767768992942,FALSE
"A0A0C4DH67",-0.0721911961331188,-0.0181448665367405,FALSE
"A0A0G2JS06",0.155743822753411,-0.190030218528646,FALSE
"A0A0J9YX35",-0.073469747933375,0.311710529635439,FALSE
"A0A0J9YXX1",-0.287671155880853,0.533958634332274,FALSE
"A0A1B0GTC6",-0.408489495026982,-0.105099079680548,FALSE
"A0M8Q6",0.0502063289654657,-0.0734954259772742,FALSE
"A1L4H1",-0.313571350262389,-0.241020147933892,TRUE
"A2A3L6",-0.296130326414623,-0.00669492292441554,FALSE
"A2CJ06",0.0599917169048769,-0.618124171773164,FALSE
"A2NJV5",-0.00392917394766101,0.193890605561325,FALSE
"A6NDG6",-0.39044601335116,-0.0723468346043585,TRUE
"A6NL88",-0.220714789117736,-0.057037338974598,FALSE
"A6NM11;A6NMS7",-0.190223900578079,0.199299773726875,FALSE
"A8MYB1",-0.404652150788685,-0.328638861300885,FALSE
"B0I1T2",-0.326710008658356,0.238362577558922,FALSE
"B2RUZ4",-0.245838958938158,-0.164519560194878,FALSE
"E9PAV3",0.0713207935576774,0.549246686765972,FALSE
"O00151",-0.144285930880221,0.468015844279419,FALSE
"O00161",-0.216195852316909,0.376151837205099,FALSE
"O00186",-0.247527313150831,-0.221703186561917,FALSE
"O00187",-0.350332849578095,-0.0568909390133001,FALSE
"O00194",-0.14083378952027,-0.134838856725219,FALSE
"O00231",0.106407155865691,0.161738309300683,FALSE
"O00232",-0.0454551887426309,-0.0815190186980521,FALSE
"O00264",0.168406309477778,0.290161305773303,FALSE
"O00299",-0.264637572044538,0.380381716117144,FALSE
"O00339",-0.573567022930322,-0.205808675149854,TRUE
"O00391",0.0911500175083262,-0.301523840117392,FALSE
"O00410",-0.330772198021242,1.02956972155582,FALSE
"O00429",-0.0710315840975539,0.774925955580117,FALSE
"O00461",-0.313105533811671,-0.167879655519371,TRUE
"O00468",-0.364209621498643,-0.236292967538658,TRUE
"O00487",-0.109438064154117,0.649807159077911,FALSE
"O00533",-0.0798632440600731,-0.104703111411316,FALSE
"O00560",-0.50561073298357,-0.168429384942447,FALSE
"O00592",-0.203359077733683,-0.364945508232767,FALSE
"O00602",-0.194598318867575,-0.124897423960775,FALSE
"O14498",0.00867161769304658,-0.0473854126253261,FALSE
"O14594",-0.356818353952379,-0.335211202602007,TRUE
"O14602;P47813",0.254623903574707,-0.193288365889635,FALSE
"O14645",-0.439237932211523,-0.392195396096634,TRUE
"O14656",-0.321479529355286,0.012642632741894,FALSE
"O14672",-0.156508963103992,0.108663410736888,FALSE
"O14745",-0.390220810816039,0.211105870707055,FALSE
"O14773",-0.0985182960844284,0.612446464513612,FALSE
"O14786",-0.228775941602718,-0.378660829595232,TRUE
"O14791",0.12334723215927,-0.179739197929228,FALSE
"O14818",-0.0917141455469555,0.31089145403381,FALSE
"O14950;P19105",-0.14581061162394,0.692859234810259,FALSE
"O14960",-0.409623162689373,-0.0678782699520237,FALSE
"O15031",-0.407399871069702,-0.364009646533996,TRUE
"O15117",-0.378003103258039,0.38574143037896,FALSE
"O15143",-0.659326540044502,0.447312348009091,FALSE
"O15144",-0.366844193764813,0.801753584405767,FALSE
"O15145",-0.250660851224104,0.521909611331099,FALSE
"O15204",-0.00669689602986878,-0.0950947198676317,FALSE
"O15335",-0.285060940921749,-0.441181396270103,TRUE
"O15400",-0.553524831012274,0.0353751375056532,TRUE
"O15466",-0.411538582366937,-0.276709109897471,TRUE
"O15498",-0.142049491151799,0.274658954086208,FALSE
"O15511",-0.300054996464004,0.350655051877226,FALSE
"O43157",-0.166334467566564,-0.296959641566414,TRUE
"O43173",-0.384593326488866,0.21886245291393,FALSE
"O43242",-0.185109657314371,0.549782245428802,FALSE
"O43396",-0.656050819988094,-0.121809897109117,FALSE
"O43399",-0.67252830007781,-0.0539159834523222,FALSE
"O43488",-0.20073044921357,0.549846452860816,FALSE
"O43491",-0.00461906157032654,0.0237174623749343,FALSE
"O43505",-0.240820509723767,-0.111600795566771,TRUE
"O43529",-0.156667792475714,-0.25999041839945,FALSE
"O43681",0.0706034027410771,0.414551989172249,FALSE
"O43707",-0.485457188757783,0.661818066722483,FALSE
"O43852",0.103526999624473,-0.236999513465081,FALSE
"O43866",-0.131950467913576,-0.216680256852253,FALSE
"O43897",-0.311272935495733,-0.159722741588636,TRUE
"O60234",0.0818736930086468,0.534775367545831,FALSE
"O60240",-0.158033558260954,-0.175282587311028,FALSE
"O60245",-0.147578013300196,-0.875031395907593,TRUE
"O60279",-0.220967117194059,-0.316964905010488,TRUE
"O60462",-0.152319081885409,-0.277876982676368,TRUE
"O60476",0.230334159959096,-0.0758293571912638,FALSE
"O60493",-0.550453935308898,0.334638847755262,FALSE
"O60610",-0.420363692877386,0.913659374610697,FALSE
"O60664",-0.482630940950203,0.170913796835862,FALSE
"O60704",-0.333623722012955,-0.0931986710759212,FALSE
"O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879",0.0281135097529202,0.455970992017759,FALSE
"O60844",-0.524212579185356,-0.0544057372237283,FALSE
"O60936",-0.238225968270713,-0.0648995078599333,FALSE
"O75081",-0.399952892769459,-0.244666633676633,FALSE
"O75083",-0.219607551009076,0.699007859625555,FALSE
"O75144",-0.146999101865002,0.235329398519672,FALSE
"O75147",0.589543806186363,-0.867314159727018,FALSE
"O75165",-0.236447268675757,0.279431908424937,FALSE
"O75170",-0.990483028371422,0.253010854210546,FALSE
"O75223",-0.205433493463369,-0.0312330761761999,FALSE
"O75309",-0.142180898932217,-0.202904117468474,FALSE
"O75339",-0.408064635568698,-0.275464809613084,TRUE
"O75340",-0.24275261830133,-0.137035686801268,FALSE
"O75347",-0.064152983520942,0.382274172208744,FALSE
"O75351",-0.249369200587294,0.427412287646153,FALSE
"O75356",-0.0683762118175277,-0.187363192671145,FALSE
"O75367",-0.113716707604767,0.568673647240767,FALSE
"O75368",-0.356565765646254,0.326619225093949,FALSE
"O75487",-0.326519503487772,-0.239737556377325,TRUE
"O75531",-0.392967017563244,0.382787928784274,FALSE
"O75558",-0.583283746196214,0.238767539857471,FALSE
"O75636",-0.329557022526142,0.386256209243172,FALSE
"O75752",-0.221371245845736,-0.328603961996176,TRUE
"O75787",-0.44572889021426,-0.240080023581449,TRUE
"O75822",-0.043406962973048,0.424570386183325,FALSE
"O75874",-0.637368826055706,0.329851731798183,FALSE
"O75882",-0.508438978905243,-0.0350029162504066,FALSE
"O75897",0.039053783397403,-0.451976170777453,FALSE
"O75955",-0.22933796840378,0.094135140225541,FALSE
"O94769",-0.231477861460053,-0.377411162984352,TRUE
"O94966",-0.530587368323216,0.884872069857236,FALSE
"O94973",0.621304132932458,-0.116149091685072,FALSE
"O94985",-0.201373732629252,-0.281537416611719,TRUE
"O95084",-0.303668185067985,-0.571925089645123,FALSE
"O95196",-0.372755849618303,-0.317559978862089,TRUE
"O95236",-0.366171547594536,0.383345047739978,FALSE
"O95373",-0.120586112697861,0.219936350807782,FALSE
"O95445",0.124991577336242,-0.185759925659157,FALSE
"O95466",-0.185675226375435,0.184205106722242,FALSE
"O95498",-0.233825818078006,0.433485431649409,FALSE
