"PG.ProteinGroups","logFC_20260527","logFC_20260717","Primary_significant"
"A0A075B6H9",0.73871467841186,0.243231225967577,FALSE
"A0A075B6I0",0.00656340411920731,0.264853348525959,FALSE
"A0A075B6J9",0.129931238838771,0.413715697482639,FALSE
"A0A075B6K4",0.00114659160607822,0.691938669784154,FALSE
"A0A075B6K5",0.0780993917640664,0.435205768091429,FALSE
"A0A075B6P5;P01615",0.216842960059411,0.187112405650938,FALSE
"A0A087WSX0",-0.128794345397186,0.478188625270098,FALSE
"A0A087WSY6",-1.37660102605572,0.0690622925673274,FALSE
"A0A0A0MRZ8;P04433",-0.064700614871942,0.460427595721924,FALSE
"A0A0A0MS15",-0.0190028424571356,0.620627753554107,FALSE
"A0A0B4J1U7",-0.197798120277026,0.812793174210194,FALSE
"A0A0B4J1V0",0.140046824438517,0.646482150838473,FALSE
"A0A0B4J1X5",0.298682217193054,0.683193730545698,FALSE
"A0A0B4J1Y8",-0.0524211188147792,0.46235817765951,FALSE
"A0A0B4J1Y9",0.0818982053716315,0.617089721893587,FALSE
"A0A0C4DH25",0.240459583734673,0.499742834111981,FALSE
"A0A0C4DH34",0.265713095286692,0.641182177232685,FALSE
"A0A0C4DH38",0.178307678748881,0.631900744028142,FALSE
"A0A0C4DH43",0.757302813339944,1.01121949772797,FALSE
"A0A0C4DH67",0.123252319228109,0.434303690294838,FALSE
"A0A0G2JS06",0.875088548182189,0.433335880663494,FALSE
"A0A0J9YX35",-0.434217680652006,0.276834111754969,FALSE
"A0A0J9YXX1",0.501895750387838,0.151321801535634,FALSE
"A0A1B0GTC6",0.198093922935101,0.348690066066821,FALSE
"A0M8Q6",-0.0653486823136546,0.461593553648928,FALSE
"A1L4H1",-0.0251003099229727,0.120555694259659,FALSE
"A2A3L6",0.357223689843966,0.0136060797601889,FALSE
"A2CJ06",0.0392657546556752,0.931180969645101,FALSE
"A2NJV5",0.0372577584821094,0.507961111199222,FALSE
"A6NDG6",-0.0829330090447185,0.226533221320012,FALSE
"A6NL88",0.220456113767575,0.499942544348954,FALSE
"A6NM11;A6NMS7",0.0753811037322194,-0.184835404599677,FALSE
