"PG.ProteinGroups","Dataset","logFC","CI_low","CI_high"
"P16112","Primary",-0.485827645913437,,
"Q92696","Primary",-0.464069862261104,,
"Q08378","Primary",-0.442043249452322,,
"Q8TB73","Primary",-0.420930130056909,,
"P13591","Primary",-0.377030017430075,,
"O14594","Primary",-0.338048803475971,,
"P07585","Primary",-0.303334431128075,,
"Q99983","Primary",-0.405920109753758,,
"Q9Y240","Primary",-0.379634582288464,,
"P98160","Primary",-0.331180140853975,,
"O14786","Primary",-0.293258576953324,,
"Q13316","Primary",-0.362469661182347,,
"P05090","Primary",-0.310231470196234,,
"O75752","Primary",-0.255696667271577,,
"Q92859","Primary",-0.335777933302136,,
"O75487","Primary",-0.342779620231813,,
"P28482","Primary",-0.482759223999901,,
"Q6UWP8","Primary",-0.434119086010783,,
"P07585","20260527",-0.349945092700821,-0.475953020717939,-0.223937164683704
"Q08378","20260527",-0.597359409520116,-0.834897046702028,-0.359821772338205
"P13591","20260527",-0.407191043656249,-0.57496316456824,-0.239418922744258
"P05090","20260527",-0.52807219263779,-0.747843272685749,-0.308301112589831
"Q9Y240","20260527",-0.493770859157236,-0.702435656363498,-0.285106061950973
"Q92696","20260527",-0.786478617293438,-1.13782791526439,-0.435129319322486
"P28482","20260527",-0.932236560375683,-1.35697679263965,-0.507496328111718
"O14594","20260527",-0.356818353952379,-0.532830542868734,-0.180806165036024
"Q8TB73","20260527",-0.437285317416195,-0.667432063388477,-0.207138571443912
"Q92859","20260527",-0.324825720284569,-0.498893706859156,-0.150757733709981
"P98160","20260527",-0.318600545417313,-0.490584808367293,-0.146616282467334
"Q13316","20260527",-0.443034723775646,-0.687243047176556,-0.198826400374737
"O75487","20260527",-0.326519503487772,-0.513936392176346,-0.139102614799197
"Q6UWP8","20260527",-0.527044898832468,-0.852038329722439,-0.202051467942497
"O14786","20260527",-0.228775941602718,-0.377969394674894,-0.0795824885305423
"O75752","20260527",-0.221371245845736,-0.380809229230169,-0.0619332624613033
"P16112","20260527",-0.353941115450631,-0.639504326826669,-0.068377904074593
"Q99983","20260527",-0.243703027985493,-0.491418843799324,0.00401278782833758
"Q99983","20260717",-0.680290764235229,-1.01433387192442,-0.346247656546035
"P16112","20260717",-0.570644668272864,-0.917795776662889,-0.22349355988284
"O14786","20260717",-0.378660829595232,-0.634630548715374,-0.122691110475089
"P13591","20260717",-0.359462573761428,-0.629139789561336,-0.0897853579615209
"Q9Y240","20260717",-0.373587026912103,-0.654951008674575,-0.0922230451496316
"Q8TB73","20260717",-0.42685565070289,-0.760160804008331,-0.0935504973974502
"O75752","20260717",-0.328603961996176,-0.589895807946881,-0.0673121160454719
"P07585","20260717",-0.293636354273026,-0.529992488944029,-0.0572802196020236
"P98160","20260717",-0.348927989177772,-0.630853599794577,-0.0670023785609678
"Q92696","20260717",-0.410647841616917,-0.758675652848044,-0.0626200303857913
"O14594","20260717",-0.335211202602007,-0.630824941253903,-0.0395974639501117
"Q92859","20260717",-0.328354836885076,-0.623482981571819,-0.0332266921983324
"Q13316","20260717",-0.374694311123915,-0.723404964188197,-0.0259836580596326
"P05090","20260717",-0.211656509257358,-0.47708049431856,0.0537674758038445
"O75487","20260717",-0.239737556377325,-0.542775963006795,0.0633008502521456
"Q6UWP8","20260717",-0.278988013293595,-0.632366194897751,0.0743901683105617
"P28482","20260717",-0.335647008092588,-0.846523185359217,0.175229169174042
"Q08378","20260717",-0.129206019191496,-0.667678938968631,0.409266900585639
