"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"P53367","High_vs_Control",-0.652107877402745,13.5885990659273,-2.30910357843661,0.0214359448635348,0.30154521240348,-3.28360923078347,FALSE,0.282407373793192,408.586669375703,-0.0969551415717733,-1.20726061323372,"moderated_fit_95pct_CI","Not significant",1
"P23588","High_vs_Control",-0.580489009498448,8.92201182114604,-2.18313868419919,0.029624900143192,0.307841353661865,-3.50808870569641,FALSE,0.26589653405889,387.586669375703,-0.0577089196015458,-1.10326909939535,"moderated_fit_95pct_CI","Not significant",2
"Q8TC71","High_vs_Control",-0.565231326250764,12.7714126731029,-4.01751729447291,6.93290425119208e-05,0.0994178469620944,1.13519123053657,FALSE,0.140691697090733,433.586669375703,-0.288708787590608,-0.84175386491092,"moderated_fit_95pct_CI","Not significant",3
"P22735","High_vs_Control",-0.491229981877318,8.92787899244459,-2.63252948304536,0.00875926837986011,0.293606469986091,-2.61838539943216,FALSE,0.186599992532298,461.586669375703,-0.124539231146182,-0.857920732608454,"moderated_fit_95pct_CI","Not significant",4
"Q15517","High_vs_Control",-0.382011917892255,10.6970786590595,-1.42793735925588,0.153935946418858,0.56085645246921,-4.69719353018168,FALSE,0.26752708402512,498.586669375703,0.143607466379755,-0.907631302164265,"moderated_fit_95pct_CI","Not significant",5
"P05067","High_vs_Control",-0.37360657906515,11.1199488298907,-2.68462476271955,0.00749348422315834,0.293606469986091,-2.49759924396327,FALSE,0.139165288294027,518.586669375703,-0.10020955231361,-0.64700360581669,"moderated_fit_95pct_CI","Not significant",6
"Q9BS26","High_vs_Control",-0.3723920689695,9.66366149782884,-2.84042705381704,0.00468376662891015,0.258327744071429,-2.13156757142408,FALSE,0.131104253661107,514.586669375703,-0.114826656262789,-0.629957481676211,"moderated_fit_95pct_CI","Not significant",7
"P29508","High_vs_Control",-0.37216579249523,7.94705885421987,-2.3224991257709,0.0206419870045818,0.30154521240348,-3.25678009023976,FALSE,0.160243673879403,459.586669375703,-0.0572646797124093,-0.687066905278051,"moderated_fit_95pct_CI","Not significant",8
"O00232","High_vs_Control",-0.370209591694479,7.37854505275025,-2.46873651171648,0.0139333042149102,0.293606469986091,-2.96669956740003,FALSE,0.149959134941087,445.586669375703,-0.0754945803407728,-0.664924603048185,"moderated_fit_95pct_CI","Not significant",9
"P62826","High_vs_Control",-0.367160667133671,11.7218192147756,-2.39677407963878,0.0168931407055049,0.293606469986091,-3.12229574271507,FALSE,0.153189518466841,518.586669375703,-0.0662123531414089,-0.668108981125933,"moderated_fit_95pct_CI","Not significant",10
"P31431","High_vs_Control",-0.358556407542441,8.97947961589843,-2.79731591145499,0.00534439862223777,0.267897711687735,-2.23435120783962,FALSE,0.128178732360602,518.586669375703,-0.106743008168526,-0.610369806916356,"moderated_fit_95pct_CI","Not significant",11
"P28482","High_vs_Control",-0.352145825745659,9.66480459812693,-2.85042990935935,0.00454257887972774,0.258327744071429,-2.10857584026798,FALSE,0.123541303222153,510.586669375703,-0.10943398731359,-0.594857664177728,"moderated_fit_95pct_CI","Not significant",12
"P16112","High_vs_Control",-0.350039328976735,10.6192276016162,-3.24269707452609,0.00126023199177128,0.225628573518908,-1.0921003443307,FALSE,0.107946971589349,518.586669375703,-0.137972214819592,-0.562106443133878,"moderated_fit_95pct_CI","Not significant",13
