"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","PG.ProteinNames","PG.CV","PG.Qvalue","PG.MolecularWeight","Control_detected_n","Control_total_n","Control_detection_rate","Short_detected_n","Short_total_n","Short_detection_rate","Long_detected_n","Long_total_n","Long_detection_rate","In_detection_analysis_universe","Contrast","Abundance_log2FC","Abundance_FDR","Detection_logOR","Detection_FDR","Detection_model_status","Detection_analysis_status","Detection_rate_difference","Abundance_evidence","Detection_evidence","Evidence","Plotted_jointly","Abundance_status"
"A0A024R1R8;Q9Y2S6","TMA7B;TMA7","Translation machinery-associated protein 7B;Translation machinery-associated protein 7","TMA7B_HUMAN;TMA7_HUMAN",1.07909809606976,0.0073810825587752,"7091.39;7066.29",81,153,0.529411764705882,111,186,0.596774193548387,90,176,0.511363636363636,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",-0.0854105571847508,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6H9","IGLV4-69","Immunoglobulin lambda variable 4-69","LV469_HUMAN",1.66469431246562,0.0016233766233766,"12773.26",150,153,0.980392156862745,182,186,0.978494623655914,172,176,0.977272727272727,TRUE,"High_vs_Low",-0.0308229681250989,0.959352695398628,-0.00438517197731833,1,"ok","ok",-0.0012218963831867,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6I0","IGLV8-61","Immunoglobulin lambda variable 8-61","LV861_HUMAN",1.38097037030364,0.0072727272727272,"12814.37",138,153,0.901960784313726,166,186,0.89247311827957,162,176,0.920454545454545,TRUE,"High_vs_Low",-0.0523988674880318,0.934206691411468,0.317301291527041,1,"ok","ok",0.0279814271749755,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6I1","IGLV4-60","Immunoglobulin lambda variable 4-60","LV460_HUMAN",1.18726003542324,0.0055467511885895,"12987.48",76,153,0.496732026143791,107,186,0.575268817204301,108,176,0.613636363636364,TRUE,"High_vs_Low",,,0.125865053809155,1,"ok","ok",0.0383675464320625,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6I4","IGLV10-54","Immunoglobulin lambda variable 10-54","LVX54_HUMAN",1.2147319760769,0.0072727272727272,"12394.85",103,153,0.673202614379085,137,186,0.736559139784946,125,176,0.710227272727273,TRUE,"High_vs_Low",,,-0.0931341421809498,1,"ok","ok",-0.0263318670576735,,FALSE,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6I9","IGLV7-46","Immunoglobulin lambda variable 7-46","LV746_HUMAN",1.22883683488325,0.0073810825587752,"12468.06",80,153,0.522875816993464,85,186,0.456989247311828,103,176,0.585227272727273,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.128238025415445,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6J1","IGLV5-37","Immunoglobulin lambda variable 5-37","LV537_HUMAN",3.0270875485891,0.0072727272727272,"13276.81",26,153,0.169934640522876,43,186,0.231182795698925,42,176,0.238636363636364,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.00745356793743893,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6J9","IGLV2-18","Immunoglobulin lambda variable 2-18","LV218_HUMAN",1.3882639679764,0.0040983606557377,"12411.7",138,153,0.901960784313726,178,186,0.956989247311828,160,176,0.909090909090909,TRUE,"High_vs_Low",0.243255188903007,0.41880005644988,-0.974800657344694,0.580192032691217,"ok","ok",-0.0478983382209189,FALSE,FALSE,"Neither",TRUE,"tested"
"A0A075B6K2","IGLV3-12","Immunoglobulin lambda variable 3-12","LV312_HUMAN",0.951707862955691,0.0072727272727272,"12386.69",26,153,0.169934640522876,37,186,0.198924731182796,41,176,0.232954545454545,FALSE,"High_vs_Low",,,,,,"outside_detection_analysis_universe",0.0340298142717498,,,"Not jointly evaluable",FALSE,"outside_core_quantitative_set"
"A0A075B6K4","IGLV3-10","Immunoglobulin lambda variable 3-10","LV310_HUMAN",1.53698648573496,0.0073810825587752,"12440.85",140,153,0.915032679738562,169,186,0.908602150537634,159,176,0.903409090909091,TRUE,"High_vs_Low",0.159671705606586,0.720442372329183,-0.202276872355121,1,"ok","ok",-0.00519305962854344,FALSE,FALSE,"Neither",TRUE,"tested"
