"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"Q8WWZ8","High_vs_Low",-0.605686218453402,10.3959110692191,-2.96229132828535,0.00319367987837037,0.0263115595784522,-1.96781211524962,TRUE,0.204465446281406,518.586669375703,-0.204003832191552,-1.00736860471525,"moderated_fit_95pct_CI","FDR < 0.05",1
"Q7Z794","High_vs_Low",-0.562097280594854,11.3088899295884,-1.94711598025189,0.0520708740273837,0.15902118989079,-4.30083079288767,FALSE,0.28868197184748,508.586669375703,0.00505868221886874,-1.12925324340858,"moderated_fit_95pct_CI","Not significant",2
"Q9HC84","High_vs_Low",-0.558904752870545,8.75911052980223,-3.76977423323489,0.000182603918120471,0.00513533483371889,0.56751846671771,TRUE,0.148259476109513,507.586669375703,-0.267626982614877,-0.850182523126213,"moderated_fit_95pct_CI","FDR < 0.05",3
"P22466","High_vs_Low",-0.551231399747444,8.46941183115627,-4.08846855012968,5.1539853641315e-05,0.00333617930149253,1.71265670402869,TRUE,0.134825887245717,444.586669375703,-0.286256169532099,-0.816206629962789,"moderated_fit_95pct_CI","FDR < 0.05",4
"P16112","High_vs_Low",-0.485827645913437,10.6192276016162,-4.7064894918868,3.23784959379927e-06,0.00222043175614817,4.22119519608349,TRUE,0.103225056966753,518.586669375703,-0.283036964365445,-0.688618327461429,"moderated_fit_95pct_CI","FDR < 0.05",5
"P28482","High_vs_Low",-0.482759223999901,9.66480459812693,-4.12820809718986,4.26984475888027e-05,0.00320865829552815,1.87555897801232,TRUE,0.116941591275043,510.586669375703,-0.253013318239958,-0.712505129759844,"moderated_fit_95pct_CI","FDR < 0.05",6
"P98164","High_vs_Low",-0.481314449975043,10.2936522238606,-2.83020333815534,0.00486602289478391,0.0340384235664396,-2.28049335332706,TRUE,0.170063558150119,437.586669375703,-0.147071530126621,-0.815557369823465,"moderated_fit_95pct_CI","FDR < 0.05",7
"P03950","High_vs_Low",-0.464434089810538,9.87591082263149,-2.31976349249712,0.0207463854737381,0.089072804698624,-3.55600538225106,FALSE,0.200207517409715,511.586669375703,-0.0711040238958607,-0.857764155725215,"moderated_fit_95pct_CI","Not significant",8
"Q92696","High_vs_Low",-0.464069862261104,9.20255972567773,-4.54915970733747,6.83846140763912e-06,0.00222043175614817,3.5387660831808,TRUE,0.102012215907169,477.586669375703,-0.263621612687095,-0.664518111835113,"moderated_fit_95pct_CI","FDR < 0.05",9
"Q13444","High_vs_Low",-0.458229327159033,7.67045513309621,-3.71601628984113,0.000226983196809475,0.00602766489305162,0.381088303187581,TRUE,0.123311980200879,465.586669375703,-0.215912375455861,-0.700546278862205,"moderated_fit_95pct_CI","FDR < 0.05",10
"Q9H0B8","High_vs_Low",-0.453311755660997,7.3761908131981,-2.79230874909665,0.00547612527779161,0.0369051920761932,-2.36973336040644,TRUE,0.162342991550504,413.586669375703,-0.134191479342932,-0.772432031979062,"moderated_fit_95pct_CI","FDR < 0.05",11
"Q08378","High_vs_Low",-0.442043249452322,10.9803317747758,-4.5591107170844,6.64582868503172e-06,0.00222043175614817,3.56419778160695,TRUE,0.0969582177058893,445.586669375703,-0.251491055061148,-0.632595443843496,"moderated_fit_95pct_CI","FDR < 0.05",12
"O43396","High_vs_Low",-0.437290300888533,8.10964613365551,-2.55293517678857,0.0109977923541791,0.0570976095964838,-3.00006855061722,FALSE,0.171289230084806,468.586669375703,-0.100700202442097,-0.773880399334969,"moderated_fit_95pct_CI","Not significant",13
"Q6UWP8","High_vs_Low",-0.434119086010783,8.86699732756677,-4.11741073006935,4.45768114273447e-05,0.00320865829552815,1.83537659759168,TRUE,0.105434972236416,518.586669375703,-0.226986917648764,-0.641251254372802,"moderated_fit_95pct_CI","FDR < 0.05",14
"Q14393","High_vs_Low",-0.423813894355977,9.14485263270739,-3.45060895438996,0.000605110229710756,0.0103300960643479,-0.503182308365179,TRUE,0.122822927766645,516.586669375703,-0.182520050217862,-0.665107738494092,"moderated_fit_95pct_CI","FDR < 0.05",15
"Q8TB73","High_vs_Low",-0.420930130056909,8.07615447087365,-4.47801951235436,9.29427112264782e-06,0.00222043175614817,3.25912848510633,TRUE,0.0939991728253103,512.586669375703,-0.236259093322833,-0.605601166790985,"moderated_fit_95pct_CI","FDR < 0.05",16
"P0DJI8","High_vs_Low",-0.420730900879429,13.9628809768512,-2.20263563356006,0.0280596338864852,0.10683427386014,-3.81450111803083,FALSE,0.191012482713454,518.586669375703,-0.0454775206259156,-0.795984281132942,"moderated_fit_95pct_CI","Not significant",17
"Q07954","High_vs_Low",-0.409638795159573,10.8348134453399,-2.90354116593597,0.00384688875326,0.029533879018191,-2.1294345111624,TRUE,0.141082482303131,518.586669375703,-0.132475346851191,-0.686802243467955,"moderated_fit_95pct_CI","FDR < 0.05",18
"Q16181","High_vs_Low",-0.409530873210414,11.5200606895582,-0.84585134216583,0.398097051211966,0.651321101853308,-5.6984928131847,FALSE,0.484164122931811,438.455560546857,0.542040071678993,-1.36110181809982,"moderated_fit_95pct_CI","Not significant",19
"Q14956","High_vs_Low",-0.407432461317501,8.13264599466575,-4.06165330200944,5.66151365500641e-05,0.00333617930149253,1.62741792565941,TRUE,0.100311974218954,496.586669375703,-0.210344248593234,-0.604520674041768,"moderated_fit_95pct_CI","FDR < 0.05",20
"P35555","High_vs_Low",-0.406019942656906,8.03190824669307,-2.4721921925716,0.0137627563689228,0.0649203705034056,-3.19819415165004,FALSE,0.16423478072494,496.586669375703,-0.0833392292897442,-0.728700656024068,"moderated_fit_95pct_CI","Not significant",21
"Q99983","High_vs_Low",-0.405920109753758,14.0210376603404,-4.32733189112763,1.81140916412683e-05,0.00236141885577988,2.65176229156186,TRUE,0.0938037848647617,518.586669375703,-0.221637978811141,-0.590202240696375,"moderated_fit_95pct_CI","FDR < 0.05",22
"Q08722","High_vs_Low",-0.402388829694333,8.23883829507143,-2.85635171549646,0.00449531680922354,0.0321794129002044,-2.21536598700802,TRUE,0.140875098648135,425.586669375703,-0.12549125533115,-0.679286404057516,"moderated_fit_95pct_CI","FDR < 0.05",23
"Q9BUD6","High_vs_Low",-0.397306702209899,8.30220130383214,-3.58059602139138,0.000376874236770287,0.00759083958367728,-0.0766211730132884,TRUE,0.110961052248366,491.586669375703,-0.17929026813953,-0.615323136280268,"moderated_fit_95pct_CI","FDR < 0.05",24
"Q9BY76","High_vs_Low",-0.392981085620209,8.04806467104058,-3.44341718483724,0.000623187425359183,0.0104349010104512,-0.520940066865484,TRUE,0.114125319276056,494.586669375703,-0.168750851941444,-0.617211319298974,"moderated_fit_95pct_CI","FDR < 0.05",25
"P0DJI9","High_vs_Low",-0.392007898295471,11.2077247000343,-2.15814775392546,0.0313746489271129,0.114190981120507,-3.90618731293933,FALSE,0.181640899045233,518.586669375703,-0.0351654532848863,-0.748850343306056,"moderated_fit_95pct_CI","Not significant",26
"Q9NYQ8","High_vs_Low",-0.384732795302275,7.98396282762633,-2.08054294248942,0.0380005150715037,0.130054268765003,-4.03798289414096,FALSE,0.184919420524882,484.586669375703,-0.0213898998922413,-0.748075690712309,"moderated_fit_95pct_CI","Not significant",27
"Q96MT3","High_vs_Low",-0.382237492651718,11.9342487165789,-2.14371313585282,0.0326193103058956,0.116569502902454,-3.88092261937685,FALSE,0.178306269742409,427.586669375703,-0.0317716155576306,-0.732703369745805,"moderated_fit_95pct_CI","Not significant",28
"P09326","High_vs_Low",-0.382030297331022,8.27252669852262,-3.74169207306107,0.000204265124819723,0.0055795634154485,0.47185411379767,TRUE,0.102100945206452,493.586669375703,-0.181424220372623,-0.582636374289421,"moderated_fit_95pct_CI","FDR < 0.05",29
"Q9BYE9","High_vs_Low",-0.380813061372482,9.3211487711656,-2.75131741084823,0.00614324130359004,0.0389796815457881,-2.5336266381504,TRUE,0.138411169816673,518.586669375703,-0.108897537315001,-0.652728585429963,"moderated_fit_95pct_CI","FDR < 0.05",30
"Q9Y240","High_vs_Low",-0.379634582288464,12.7172879304592,-4.35560652765205,1.59987846371112e-05,0.00236141885577988,2.76460142870678,TRUE,0.0871599810217731,518.586669375703,-0.20840452948444,-0.550864635092488,"moderated_fit_95pct_CI","FDR < 0.05",31
"P13591","High_vs_Low",-0.377030017430075,13.0415600066814,-4.51288950269405,7.91935535745394e-06,0.00222043175614817,3.40467967514497,TRUE,0.0835451471180493,518.586669375703,-0.212901482925577,-0.541158551934573,"moderated_fit_95pct_CI","FDR < 0.05",32
"Q8NI99","High_vs_Low",-0.376744036144384,11.9412872681069,-3.07341049010804,0.00222760627050579,0.0210157065256928,-1.65358663661136,TRUE,0.122581749934464,518.586669375703,-0.135926182950444,-0.617561889338324,"moderated_fit_95pct_CI","FDR < 0.05",33
"Q6KB66","High_vs_Low",-0.376506480607331,9.52359920940855,-2.09285829285671,0.0368656546585417,0.127694079179587,-4.01515786278492,FALSE,0.179900608604229,499.586669375703,-0.0230514765615689,-0.729961484653093,"moderated_fit_95pct_CI","Not significant",34
"Q15517","High_vs_Low",-0.375537508637258,10.6970786590595,-1.45632144711413,0.145933197527471,0.329930781300205,-5.07869192003166,FALSE,0.25786718267552,498.586669375703,0.13110274528611,-0.882177762560626,"moderated_fit_95pct_CI","Not significant",35
"P06734","High_vs_Low",-0.374318015664242,9.32929477376901,-3.67806183320427,0.000260887600708244,0.00668058606099324,0.257673143095375,TRUE,0.101770452112857,492.586669375703,-0.174360287730861,-0.574275743597623,"moderated_fit_95pct_CI","FDR < 0.05",36
"Q86YZ3","High_vs_Low",-0.374262172725114,8.67645995600954,-3.14118200627042,0.00177910550875881,0.0184610984350618,-1.45549450834133,TRUE,0.119146923666955,516.586669375703,-0.140190084137127,-0.608334261313101,"moderated_fit_95pct_CI","FDR < 0.05",37
"P22735","High_vs_Low",-0.371949903549227,8.92787899244459,-2.07663004205953,0.0383884067342231,0.131068988706847,-4.00583992563904,FALSE,0.179112261700856,461.586669375703,-0.0199734172861278,-0.723926389812326,"moderated_fit_95pct_CI","Not significant",38
"Q14574","High_vs_Low",-0.370787890857295,11.9750992507169,-2.90415867411668,0.00383943220226742,0.029533879018191,-2.1277520038861,TRUE,0.127674804466417,518.586669375703,-0.119964482519623,-0.621611299194967,"moderated_fit_95pct_CI","FDR < 0.05",39
"P35625","High_vs_Low",-0.369667180512963,8.9238477481363,-2.86502305665445,0.0043440194741955,0.0316209336344992,-2.22526706133245,TRUE,0.129027645922204,503.586669375703,-0.116168385798044,-0.623165975227882,"moderated_fit_95pct_CI","FDR < 0.05",40
"P05062","High_vs_Low",-0.369353148021011,9.25785699932758,-1.33783325105513,0.181644059018362,0.386465253163695,-5.21047689924781,FALSE,0.276083097598081,438.586669375703,0.173257145128656,-0.911963441170678,"moderated_fit_95pct_CI","Not significant",41
"O43399","High_vs_Low",-0.369314782086658,11.3308041015108,-1.65137230652869,0.0993268663220029,0.253482311962588,-4.77429048556153,FALSE,0.223641138116809,472.586669375703,0.0701392504704854,-0.808768814643801,"moderated_fit_95pct_CI","Not significant",42
"Q14767","High_vs_Low",-0.368237871251832,9.5297482203054,-3.20546772902101,0.00143166332577641,0.0162936921362173,-1.2654973240199,TRUE,0.114878046631996,517.586669375703,-0.142553300629002,-0.593922441874662,"moderated_fit_95pct_CI","FDR < 0.05",43
"A8MYB1","High_vs_Low",-0.368186421920864,12.1465112764336,-2.53983489145816,0.0114090178470393,0.0580160694774979,-3.03553900923887,FALSE,0.1449647074143,473.586669375703,-0.0833328372016085,-0.653040006640119,"moderated_fit_95pct_CI","Not significant",44
"O15335","High_vs_Low",-0.366008636182293,11.1646172019808,-4.05511642891275,5.78098550129799e-05,0.00333617930149253,1.60039865750979,TRUE,0.0902584778016909,518.586669375703,-0.188691434654523,-0.543325837710063,"moderated_fit_95pct_CI","FDR < 0.05",45
"Q504Y2","High_vs_Low",-0.363995873900211,7.74771695121705,-3.25751079858569,0.00120262232495459,0.0148669001205594,-1.09867194778447,TRUE,0.111740496473027,485.586669375703,-0.14444129132202,-0.583550456478402,"moderated_fit_95pct_CI","FDR < 0.05",46
"P26572","High_vs_Low",-0.363749683883542,8.8671349175869,-3.31226723817126,0.000990098269487841,0.0130256964995006,-0.940354478970073,TRUE,0.109818942050211,517.586669375703,-0.148004016982966,-0.579495350784118,"moderated_fit_95pct_CI","FDR < 0.05",47
"O95715","High_vs_Low",-0.363457232280329,8.76671663485513,-3.09942260606512,0.00205541640559966,0.0199153184164183,-1.55999222215006,TRUE,0.117266110006778,469.586669375703,-0.13302596792794,-0.593888496632718,"moderated_fit_95pct_CI","FDR < 0.05",48
"Q13316","High_vs_Low",-0.362469661182347,8.79183929707337,-4.24892628619516,2.56663538243007e-05,0.00281842874659094,2.33931725280601,TRUE,0.0853085313247296,495.586669375703,-0.194858675700505,-0.530080646664189,"moderated_fit_95pct_CI","FDR < 0.05",49
"P00966","High_vs_Low",-0.362197878692168,7.86739839602239,-3.16186500868749,0.00166426444559807,0.0181325247291018,-1.38824986810389,TRUE,0.114551974134569,492.586669375703,-0.137127123844474,-0.587268633539862,"moderated_fit_95pct_CI","FDR < 0.05",50
"Q14517","High_vs_Low",-0.36159708067219,10.1621116505705,-3.56740754780393,0.000393953187700191,0.00759083958367728,-0.122603105097091,TRUE,0.10136130392357,518.586669375703,-0.162467833285343,-0.560726328059037,"moderated_fit_95pct_CI","FDR < 0.05",51
"Q6ZRP7","High_vs_Low",-0.361076103515192,8.45863801831273,-3.92756441043777,9.74140595942879e-05,0.00409842065051398,1.1297368170612,TRUE,0.0919338464712653,518.586669375703,-0.180467558157439,-0.541684648872945,"moderated_fit_95pct_CI","FDR < 0.05",52
"P28906","High_vs_Low",-0.360813359055095,10.8771231873645,-3.87247959138573,0.000121590454264875,0.00435901778539578,0.931078435433412,TRUE,0.093173727721566,515.586669375703,-0.177766514769838,-0.543860203340352,"moderated_fit_95pct_CI","FDR < 0.05",53
"P29508","High_vs_Low",-0.359964105805002,7.94705885421987,-2.37465095358941,0.0179751897246415,0.0798031642883466,-3.38791539127911,FALSE,0.15158611216562,459.586669375703,-0.0620763062572979,-0.657851905352706,"moderated_fit_95pct_CI","Not significant",54
"Q9UGM3","High_vs_Low",-0.358368075190482,8.55711416424444,-3.30159130940832,0.00102948558184273,0.0133216298702043,-0.97096027557928,TRUE,0.108544044857783,504.586669375703,-0.145114140508843,-0.571622009872121,"moderated_fit_95pct_CI","FDR < 0.05",55
"P18065","High_vs_Low",-0.357215175116147,11.9484702190205,-2.25656617480255,0.0244555985724659,0.099065899302023,-3.69580729575752,FALSE,0.158300332206036,512.586669375703,-0.0462179015745448,-0.668212448657749,"moderated_fit_95pct_CI","Not significant",56
"Q9UHF0","High_vs_Low",-0.357022814377159,7.85842642136385,-2.8888155636543,0.00406924871175463,0.0304074113461027,-2.14011917068488,TRUE,0.123587957247617,415.586669375703,-0.114087374594488,-0.59995825415983,"moderated_fit_95pct_CI","FDR < 0.05",57
"Q11201","High_vs_Low",-0.355818971416977,8.11844883503902,-2.72180814906413,0.00675662016477173,0.0414059543430883,-2.56094427772983,TRUE,0.130728894885307,429.586669375703,-0.0988711286096741,-0.61276681422428,"moderated_fit_95pct_CI","FDR < 0.05",58
"P01275","High_vs_Low",-0.355378844900882,8.5357857833907,-2.73943300145013,0.00636727818241214,0.0398719515876813,-2.56132745181591,TRUE,0.129727153287837,516.586669375703,-0.10052118863829,-0.610236501163474,"moderated_fit_95pct_CI","FDR < 0.05",59
"P35443","High_vs_Low",-0.352856303425291,15.3802682371216,-3.90552672217365,0.000106452749782255,0.00412576332939874,1.04984916047251,TRUE,0.0903479424227076,518.586669375703,-0.17536334426654,-0.530349262584042,"moderated_fit_95pct_CI","FDR < 0.05",60
"P08833","High_vs_Low",-0.352034235171971,10.056158224592,-2.87362980297408,0.00422590448398608,0.0311800080650509,-2.20942657528866,TRUE,0.122505075221461,513.586669375703,-0.111361532250019,-0.592706938093923,"moderated_fit_95pct_CI","FDR < 0.05",61
"Q9BRK5","High_vs_Low",-0.352007245233523,9.51665916467102,-3.57848081958735,0.000378022499435981,0.00759083958367728,-0.0857975542158895,TRUE,0.0983677887294402,518.586669375703,-0.15875890510195,-0.545255585365096,"moderated_fit_95pct_CI","FDR < 0.05",62
"P55291","High_vs_Low",-0.349854445958238,7.85112566053338,-2.8032844970876,0.00525561925368138,0.0362334519700918,-2.38265593968557,TRUE,0.124801619786258,498.586669375703,-0.104652541309051,-0.595056350607425,"moderated_fit_95pct_CI","FDR < 0.05",63
"P09619","High_vs_Low",-0.348245667087998,10.0526943388665,-3.57139819507059,0.000388140847572887,0.00759083958367728,-0.109351400572341,TRUE,0.0975096161410011,518.586669375703,-0.156683249049463,-0.539808085126533,"moderated_fit_95pct_CI","FDR < 0.05",64
"Q9UBX7","High_vs_Low",-0.347652624485256,11.0180551557968,-2.18534792284611,0.0293261119756763,0.108947265733471,-3.83649297859077,FALSE,0.15908342138605,500.586669375703,-0.0350991594671196,-0.660206089503392,"moderated_fit_95pct_CI","Not significant",65
"P01042","High_vs_Low",-0.346780035136995,15.4118958099664,-2.29826167678021,0.0219438935977469,0.0921309762014727,-3.61121786155473,FALSE,0.150887968346068,518.586669375703,-0.0503532291130814,-0.643206841160909,"moderated_fit_95pct_CI","Not significant",66
"Q6V0I7","High_vs_Low",-0.346723746392032,9.78190102316283,-3.37204585174451,0.000801823342971536,0.0117488855678119,-0.754085670062612,TRUE,0.102822963161268,518.586669375703,-0.144722997824041,-0.548724494960023,"moderated_fit_95pct_CI","FDR < 0.05",67
"P49746","High_vs_Low",-0.346564228366676,12.0163436387452,-4.05931417217803,5.6812009059856e-05,0.00333617930149253,1.61612756234314,TRUE,0.0853750692030635,518.586669375703,-0.17884072227578,-0.514287734457572,"moderated_fit_95pct_CI","FDR < 0.05",68
"Q8NG11","High_vs_Low",-0.346357582439577,7.23294595188545,-3.97297696417439,8.41697039103971e-05,0.00377185485648467,1.28366249645,TRUE,0.0871783515391089,400.586669375703,-0.174973346801802,-0.517741818077352,"moderated_fit_95pct_CI","FDR < 0.05",69
"Q8NEH6","High_vs_Low",-0.345264693865811,10.1664893061128,-3.3732968881325,0.000806715104195617,0.0117488855678119,-0.735270999549779,TRUE,0.102352299639109,451.586669375703,-0.144118777162359,-0.546410610569263,"moderated_fit_95pct_CI","FDR < 0.05",70
"Q8WWA0","High_vs_Low",-0.344883563722574,11.3286383558247,-3.57116691943514,0.00038847549243782,0.00759083958367728,-0.110119779466213,TRUE,0.0965744731352755,518.586669375703,-0.155158279932722,-0.534608847512426,"moderated_fit_95pct_CI","FDR < 0.05",71
"Q14520","High_vs_Low",-0.344859582489377,17.7652235911754,-4.15027761936659,3.8811577244848e-05,0.00320865829552815,1.96070021206284,TRUE,0.083093135957977,518.586669375703,-0.181619046053486,-0.508100118925268,"moderated_fit_95pct_CI","FDR < 0.05",72
"Q0VD83","High_vs_Low",-0.342918078277039,10.4164400313693,-3.9647236270911,8.37975980160914e-05,0.00377185485648467,1.26539664184893,TRUE,0.0864923032551039,518.586669375703,-0.172999711156084,-0.512836445397994,"moderated_fit_95pct_CI","FDR < 0.05",73
