"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank","Protein_label"
"O14594","High_vs_Low",-0.338048803475971,11.5404132603241,-4.44327643726295,1.08389276799422e-05,0.00222043175614817,3.11879712974412,TRUE,0.076080974985254,518.586669375703,-0.188584000806357,-0.487513606145585,"moderated_fit_95pct_CI","FDR < 0.05",79,"O14594"
"P07585","High_vs_Low",-0.303334431128075,12.3218478838271,-4.47675053653027,9.32545892917131e-06,0.00222043175614817,3.25575507268628,TRUE,0.0677577248615636,518.586669375703,-0.170221061093865,-0.436447801162285,"moderated_fit_95pct_CI","FDR < 0.05",152,"P07585"
"P13591","High_vs_Low",-0.377030017430075,13.0415600066814,-4.51288950269405,7.91935535745394e-06,0.00222043175614817,3.40467967514497,TRUE,0.0835451471180493,518.586669375703,-0.212901482925577,-0.541158551934573,"moderated_fit_95pct_CI","FDR < 0.05",32,"P13591"
"P16112","High_vs_Low",-0.485827645913437,10.6192276016162,-4.7064894918868,3.23784959379927e-06,0.00222043175614817,4.22119519608349,TRUE,0.103225056966753,518.586669375703,-0.283036964365445,-0.688618327461429,"moderated_fit_95pct_CI","FDR < 0.05",5,"P16112"
"Q08378","High_vs_Low",-0.442043249452322,10.9803317747758,-4.5591107170844,6.64582868503172e-06,0.00222043175614817,3.56419778160695,TRUE,0.0969582177058893,445.586669375703,-0.251491055061148,-0.632595443843496,"moderated_fit_95pct_CI","FDR < 0.05",12,"Q08378"
"Q8TB73","High_vs_Low",-0.420930130056909,8.07615447087365,-4.47801951235436,9.29427112264782e-06,0.00222043175614817,3.25912848510633,TRUE,0.0939991728253103,512.586669375703,-0.236259093322833,-0.605601166790985,"moderated_fit_95pct_CI","FDR < 0.05",16,"Q8TB73"
"Q92696","High_vs_Low",-0.464069862261104,9.20255972567773,-4.54915970733747,6.83846140763912e-06,0.00222043175614817,3.5387660831808,TRUE,0.102012215907169,477.586669375703,-0.263621612687095,-0.664518111835113,"moderated_fit_95pct_CI","FDR < 0.05",9,"Q92696"
"O14786","High_vs_Low",-0.293258576953324,14.1057122819407,-4.37906373725451,1.44251683923063e-05,0.00236141885577988,2.85873140999053,TRUE,0.0669683280602773,518.586669375703,-0.16169601560887,-0.424821138297778,"moderated_fit_95pct_CI","FDR < 0.05",179,"O14786"
"P98160","High_vs_Low",-0.331180140853975,12.0119256250694,-4.34173897792126,1.70049085770336e-05,0.00236141885577988,2.70917339006531,TRUE,0.0762782245865315,518.586669375703,-0.181327831679123,-0.481032450028827,"moderated_fit_95pct_CI","FDR < 0.05",88,"P98160"
"Q99983","High_vs_Low",-0.405920109753758,14.0210376603404,-4.32733189112763,1.81140916412683e-05,0.00236141885577988,2.65176229156186,TRUE,0.0938037848647617,518.586669375703,-0.221637978811141,-0.590202240696375,"moderated_fit_95pct_CI","FDR < 0.05",22,"Q99983"
"Q9Y240","High_vs_Low",-0.379634582288464,12.7172879304592,-4.35560652765205,1.59987846371112e-05,0.00236141885577988,2.76460142870678,TRUE,0.0871599810217731,518.586669375703,-0.20840452948444,-0.550864635092488,"moderated_fit_95pct_CI","FDR < 0.05",31,"Q9Y240"
"O75752","High_vs_Low",-0.255696667271577,9.08650774546357,-4.23111517778811,2.75160407616967e-05,0.00281842874659094,2.27253342711408,TRUE,0.060432452563309,516.586669375703,-0.136973078322453,-0.374420256220701,"moderated_fit_95pct_CI","FDR < 0.05",313,"O75752"
