"Protein","UniqueSampleID","Exposure","Log2_abundance"
"O14594","20250913_FJ_QZ_Q3","Short exposure",12.631931378672
"O14594","20250913_FJ_QZ_Q4","Control",11.3759931348968
"O14594","20250913_FJ_QZ_Q12","Control",12.1277160431171
"O14594","20250913_FJ_QZ_Q13","Control",11.4091351651482
"O14594","20250913_FJ_QZ_Q14","Control",12.2468182878299
"O14594","20250913_FJ_QZ_Q15","Control",11.9058564946967
"O14594","20250913_FJ_QZ_Q16","Control",11.0587696360738
"O14594","20250913_FJ_QZ_Q18","Control",11.8210334478712
"O14594","20250913_FJ_QZ_Q20","Control",12.0580678809911
"O14594","20250913_FJ_QZ_Q21","Control",11.6339930687271
"O14594","20250913_FJ_QZ_Q22","Control",11.0354025468826
"O14594","20250913_FJ_QZ_Q23","Control",11.5575668865853
"O14594","20250913_FJ_QZ_Q25","Control",12.0798006734232
"O14594","20250913_FJ_QZ_Q26","Control",11.9307313830037
"O14594","20250913_FJ_QZ_Q27","Control",12.2604524142808
"O14594","20250913_FJ_QZ_Q28","Control",11.4937756967015
"O14594","20250913_FJ_QZ_Q29","Control",11.9870157880689
"O14594","20250913_FJ_QZ_Q31","Long exposure",10.4433681474669
"O14594","20250913_FJ_QZ_Q32","Long exposure",11.0393329228795
"O14594","20250913_FJ_QZ_Q33","Long exposure",11.8206381591047
"O14594","20250913_FJ_QZ_Q34","Long exposure",11.5191999901494
"O14594","20250913_FJ_QZ_Q36","Short exposure",11.9835798225962
"O14594","20250913_FJ_QZ_Q37","Long exposure",11.6821046526311
"O14594","20250913_FJ_QZ_Q38","Short exposure",11.8253408122486
"O14594","20250913_FJ_QZ_Q39","Long exposure",12.2477642836224
"O14594","20250913_FJ_QZ_Q41","Long exposure",11.8693351610852
"O14594","20250913_FJ_QZ_Q42","Long exposure",12.2634220886262
"O14594","20250913_FJ_QZ_Q44","Short exposure",12.4849258775903
"O14594","20250913_FJ_QZ_Q45","Short exposure",10.9466538633936
"O14594","20250913_FJ_QZ_Q48","Short exposure",10.6339620376815
"O14594","20250913_FJ_QZ_Q49","Short exposure",11.9728586942462
"O14594","20250913_FJ_QZ_Q50","Control",11.0456233652836
"O14594","20250913_FJ_QZ_Q52","Short exposure",12.3660649636359
"O14594","20250913_FJ_QZ_Q54","Control",11.4082335831892
"O14594","20250913_FJ_QZ_Q55","Control",12.0337768590478
"O14594","20250913_FJ_QZ_Q57","Control",11.468020642878
"O14594","20250913_FJ_QZ_Q58","Short exposure",11.4661141854708
"O14594","20250913_FJ_QZ_Q59","Short exposure",12.1358670722457
"O14594","20250913_FJ_QZ_Q60","Short exposure",11.9388829446199
"O14594","20250913_FJ_QZ_Q61","Control",10.8607223306856
"O14594","20250913_FJ_QZ_Q62","Control",11.8641322901976
"O14594","20250913_FJ_QZ_Q63","Control",12.0694940196698
"O14594","20250913_FJ_QZ_Q65","Control",11.8302381041327
"O14594","20250913_FJ_QZ_Q66","Short exposure",12.0713289643439
"O14594","20250913_FJ_QZ_Q67","Short exposure",12.1163150852163
"O14594","20250913_FJ_QZ_Q68","Control",12.122760550119
"O14594","20250913_FJ_QZ_Q69","Control",11.4084966405921
"O14594","20250913_FJ_QZ_Q70","Control",12.5447326653644
"O14594","20250913_FJ_QZ_Q71","Control",12.53953832135
"O14594","20250913_FJ_QZ_Q72","Short exposure",12.2824917728793
"O14594","20250914_FJ_FQ_F47","Short exposure",11.7813970364041
"O14594","20250914_FJ_FQ_F51","Short exposure",12.3359289442768
"O14594","20250914_FJ_FQ_F53","Control",10.9255218432665
"O14594","20250914_FJ_FQ_F54","Short exposure",12.2502992854442
"O14594","20250914_FJ_FQ_F55","Long exposure",11.8887038650593
"O14594","20250914_FJ_FQ_F56","Control",12.4339532774552
"O14594","20250914_FJ_FQ_F57","Short exposure",12.6671459838869
"O14594","20250914_FJ_FQ_F58","Long exposure",11.9178322238363
"O14594","20250914_FJ_FQ_F62","Long exposure",11.364177947011
"O14594","20250914_FJ_FQ_F66","Control",12.12369391294
"O14594","20250914_FJ_FQ_F69","Long exposure",11.1335939436172
"O14594","20250914_FJ_FQ_F70","Control",12.8263309514772
"O14594","20250914_FJ_FQ_F71","Long exposure",11.6329300969918
"O14594","20250914_FJ_FQ_F72","Short exposure",12.3707516510288
"O14594","20250914_FJ_FQ_F74","Short exposure",11.6635616872201
"O14594","20250914_FJ_FQ_F75","Long exposure",11.7693202126271
"O14594","20250914_FJ_FQ_F77","Short exposure",10.0153606018181
"O14594","20250914_FJ_FQ_F79","Long exposure",11.1763818177943
"O14594","20250914_FJ_FQ_F81","Long exposure",11.0492097592385
"O14594","20250914_FJ_FQ_F83","Short exposure",12.0800543440463
"O14594","20250914_FJ_FQ_F84","Short exposure",11.6922787779418
"O14594","20250914_FJ_FQ_F85","Long exposure",12.2127193073485
"O14594","20250914_FJ_FQ_F88","Long exposure",11.5784763496453
"O14594","20250914_FJ_FQ_F89","Long exposure",11.3132315339013
"O14594","20250914_FJ_FQ_F93","Short exposure",11.9329798264497
"O14594","20250914_FJ_FQ_F94","Control",11.6002841918114
"O14594","20250914_FJ_FQ_F102","Long exposure",10.9355816997076
"O14594","20250914_FJ_FQ_F105","Long exposure",12.5939884060862
"O14594","20250914_FJ_FQ_F106","Long exposure",12.0945658135245
"O14594","20250914_FJ_FQ_F107","Short exposure",12.211821620581
"O14594","20250914_FJ_FQ_F110","Long exposure",12.3317291082922
"O14594","20250914_FJ_FQ_F111","Short exposure",11.1663330519632
"O14594","20250914_FJ_FQ_F118","Short exposure",13.034300429086
"O14594","20250914_FJ_FQ_F121","Long exposure",11.4466865451913
"O14594","20250914_FJ_FQ_F122","Long exposure",11.0286621951827
"O14594","20250914_FJ_FQ_F123","Long exposure",11.8668790423319
"O14594","20250914_FJ_FQ_F124","Long exposure",11.662469871178
"O14594","20250914_FJ_FQ_F125","Long exposure",11.8798251472126
"O14594","20250914_FJ_FQ_F126","Long exposure",10.5573579380913
"O14594","20250914_FJ_FQ_F128","Short exposure",12.3279552430522
"O14594","20250914_FJ_FQ_F129","Long exposure",10.3771092303439
"O14594","20250914_FJ_FQ_F131","Control",11.8359284793159
"O14594","20250914_FJ_FQ_F135","Long exposure",10.6638382030453
"O14594","20250914_FJ_FQ_F137","Control",12.1416900989336
"O14594","20250914_FJ_PT_P2","Control",11.9654706863087
"O14594","20250914_FJ_PT_P3","Control",11.7616341114357
"O14594","20250914_FJ_PT_P4","Short exposure",12.0051257695076
"O14594","20250914_FJ_PT_P6","Long exposure",11.5527825915233
"O14594","20250914_FJ_PT_P7","Control",12.6436792982139
"O14594","20250914_FJ_PT_P8","Short exposure",12.0877519050089
"O14594","20250914_FJ_PT_P9","Short exposure",12.3312206636294
"O14594","20250914_FJ_PT_P10","Short exposure",11.6214310537899
"O14594","20250914_FJ_PT_P11","Long exposure",12.8930798482664
"O14594","20250914_FJ_PT_P13","Short exposure",11.418092844142
"O14594","20250914_FJ_PT_P15","Short exposure",12.7143362954429
"O14594","20250914_FJ_PT_P17","Long exposure",12.3664401499156
"O14594","20250914_FJ_PT_P18","Long exposure",11.5260449823191
"O14594","20250914_FJ_PT_P19","Long exposure",11.904903768698
"O14594","20250914_FJ_PT_P20","Short exposure",11.9988584435929
"O14594","20250914_FJ_PT_P21","Long exposure",12.1623114161406
"O14594","20250914_FJ_PT_P22","Short exposure",11.5812206988154
"O14594","20250914_FJ_PT_P23","Short exposure",11.8190154645036
"O14594","20250914_FJ_PT_P24","Long exposure",12.534528969854
"O14594","20250914_FJ_PT_P25","Short exposure",10.8995461137643
"O14594","20250914_FJ_PT_P26","Long exposure",11.6491916973604
"O14594","20250914_FJ_PT_P27","Long exposure",12.3815033456407
"O14594","20250914_FJ_PT_P29","Long exposure",11.8737915973641
"O14594","20250914_FJ_PT_P30","Long exposure",11.9275095226919
"O14594","20250914_FJ_PT_P33","Long exposure",12.2982635627775
"O14594","20251001_FJ_FQ_F83","Short exposure",10.9405414021703
"O14594","20251001_FJ_FQ_F95","Long exposure",10.298470822717
"O14594","20251001_FJ_FQ_F97","Long exposure",11.5168478270554
"O14594","20251001_FJ_FQ_F105","Long exposure",10.8443917196527
"O14594","20251001_FJ_FQ_F120","Long exposure",11.9331028708644
