"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank"
"P23588","Low_vs_Control",-0.507624554158097,8.92201182114604,-1.91240417438836,0.0565612061836689,0.3036308237416,-4.15420877925433,FALSE,0.265437903219622,387.586669375703,0.0142538200687211,-1.02950292838492,"moderated_fit_95pct_CI","Not significant",1
"Q8TC71","Low_vs_Control",-0.35997134811071,12.7714126731029,-2.61953935336686,0.00911365803279216,0.141420691921424,-2.74000059516957,FALSE,0.137417805022873,433.586669375703,-0.0898834816069367,-0.630059214614483,"moderated_fit_95pct_CI","Not significant",2
"P53367","Low_vs_Control",-0.325992255156242,13.5885990659273,-1.1704964602327,0.242483474264018,0.562554643440755,-5.26028245054709,FALSE,0.278507681340132,408.586669375703,0.221494516060785,-0.873479026373269,"moderated_fit_95pct_CI","Not significant",3
"Q13201","Low_vs_Control",-0.30675453756762,13.5818124872409,-2.01634897777865,0.0442785369464007,0.266905612791851,-4.07455055473323,FALSE,0.152133653920148,518.586669375703,-0.00788052120558597,-0.605628553929654,"moderated_fit_95pct_CI","Not significant",4
"P07996","Low_vs_Control",-0.276846844840808,16.5819902692783,-2.18093621840036,0.0296367051476821,0.223401084779981,-3.75332314054203,FALSE,0.126939450363141,518.586669375703,-0.0274680756650258,-0.52622561401659,"moderated_fit_95pct_CI","Not significant",5
"Q8NI51","Low_vs_Control",-0.271811646185181,12.5696084430357,-1.29843977302474,0.194743815024224,0.510534973939192,-5.16619238535565,FALSE,0.209337122777741,492.586669375703,0.139492171118586,-0.683115463488948,"moderated_fit_95pct_CI","Not significant",6
"P22314","Low_vs_Control",-0.25687570307711,7.28798037388502,-1.27968060762366,0.201256228639853,0.51628163125143,-5.19073442177167,FALSE,0.200734231297075,495.586669375703,0.137519345169249,-0.651270751323469,"moderated_fit_95pct_CI","Not significant",7
"P04839","Low_vs_Control",-0.243410555507478,7.02369859089844,-1.58014629628986,0.11485869172693,0.391228892960612,-4.7092524508918,FALSE,0.154043050367551,402.586669375703,0.0594186738101196,-0.546239784825076,"moderated_fit_95pct_CI","Not significant",8
"Q9Y566","Low_vs_Control",-0.232283457407947,13.2234153508551,-2.51431385554875,0.0122769265854217,0.156172016176314,-2.99254829138751,FALSE,0.0923844319973534,446.586669375703,-0.0507212411776487,-0.413845673638245,"moderated_fit_95pct_CI","Not significant",9
"P02775","Low_vs_Control",-0.23058816766866,15.281641962055,-1.43377748365915,0.152238426667208,0.458713059712104,-5.01173953942895,FALSE,0.160825630404082,518.586669375703,0.0853616623278851,-0.546537997665205,"moderated_fit_95pct_CI","Not significant",10
