"Protein","UniqueSampleID","Exposure","Log2_abundance"
"Q9Y5X9","20250913_FJ_QZ_Q3","Short exposure",8.46317984455284
"Q9Y5X9","20250913_FJ_QZ_Q4","Control",8.22498893777653
"Q9Y5X9","20250913_FJ_QZ_Q12","Control",7.34943471803563
"Q9Y5X9","20250913_FJ_QZ_Q13","Control",7.87780282113713
"Q9Y5X9","20250913_FJ_QZ_Q14","Control",8.22019128148234
"Q9Y5X9","20250913_FJ_QZ_Q15","Control",8.23940244944384
"Q9Y5X9","20250913_FJ_QZ_Q16","Control",7.43168721954386
"Q9Y5X9","20250913_FJ_QZ_Q18","Control",8.58801940445436
"Q9Y5X9","20250913_FJ_QZ_Q20","Control",7.61367572447077
"Q9Y5X9","20250913_FJ_QZ_Q21","Control",7.46261447454219
"Q9Y5X9","20250913_FJ_QZ_Q22","Control",8.19014598456095
"Q9Y5X9","20250913_FJ_QZ_Q23","Control",7.64506742965572
"Q9Y5X9","20250913_FJ_QZ_Q25","Control",8.75765176010513
"Q9Y5X9","20250913_FJ_QZ_Q26","Control",8.66581200859625
"Q9Y5X9","20250913_FJ_QZ_Q27","Control",8.91653116760253
"Q9Y5X9","20250913_FJ_QZ_Q28","Control",8.73391700983325
"Q9Y5X9","20250913_FJ_QZ_Q29","Control",7.51114132525089
"Q9Y5X9","20250913_FJ_QZ_Q31","Long exposure",7.60848563089372
"Q9Y5X9","20250913_FJ_QZ_Q32","Long exposure",8.42404682627499
"Q9Y5X9","20250913_FJ_QZ_Q33","Long exposure",8.29030661498778
"Q9Y5X9","20250913_FJ_QZ_Q34","Long exposure",8.24615910012453
"Q9Y5X9","20250913_FJ_QZ_Q36","Short exposure",8.50771940433186
"Q9Y5X9","20250913_FJ_QZ_Q37","Long exposure",8.65194675001747
"Q9Y5X9","20250913_FJ_QZ_Q38","Short exposure",8.12078398468743
"Q9Y5X9","20250913_FJ_QZ_Q39","Long exposure",8.7665136429352
"Q9Y5X9","20250913_FJ_QZ_Q41","Long exposure",8.71182186244446
"Q9Y5X9","20250913_FJ_QZ_Q42","Long exposure",8.61192646112338
"Q9Y5X9","20250913_FJ_QZ_Q44","Short exposure",8.69061433216214
"Q9Y5X9","20250913_FJ_QZ_Q45","Short exposure",6.84085512579793
"Q9Y5X9","20250913_FJ_QZ_Q48","Short exposure",7.46812097842418
"Q9Y5X9","20250913_FJ_QZ_Q49","Short exposure",8.34973881334905
"Q9Y5X9","20250913_FJ_QZ_Q50","Control",7.46835929399836
"Q9Y5X9","20250913_FJ_QZ_Q52","Short exposure",7.56433442877415
"Q9Y5X9","20250913_FJ_QZ_Q54","Control",7.30277723968474
"Q9Y5X9","20250913_FJ_QZ_Q55","Control",8.40775477337662
"Q9Y5X9","20250913_FJ_QZ_Q57","Control",7.92950692844361
"Q9Y5X9","20250913_FJ_QZ_Q58","Short exposure",
"Q9Y5X9","20250913_FJ_QZ_Q59","Short exposure",8.08346163504312
"Q9Y5X9","20250913_FJ_QZ_Q60","Short exposure",8.12741330777232
"Q9Y5X9","20250913_FJ_QZ_Q61","Control",7.02623484952398
"Q9Y5X9","20250913_FJ_QZ_Q62","Control",8.90040840643487
"Q9Y5X9","20250913_FJ_QZ_Q63","Control",8.97622995596957
"Q9Y5X9","20250913_FJ_QZ_Q65","Control",7.8269393486317
"Q9Y5X9","20250913_FJ_QZ_Q66","Short exposure",8.59223334624212
"Q9Y5X9","20250913_FJ_QZ_Q67","Short exposure",8.70000604501557
"Q9Y5X9","20250913_FJ_QZ_Q68","Control",8.14048905317174
"Q9Y5X9","20250913_FJ_QZ_Q69","Control",
"Q9Y5X9","20250913_FJ_QZ_Q70","Control",8.72058505971224
"Q9Y5X9","20250913_FJ_QZ_Q71","Control",8.61258372390386
"Q9Y5X9","20250913_FJ_QZ_Q72","Short exposure",7.72353096482774
"Q9Y5X9","20250914_FJ_FQ_F47","Short exposure",8.84750701679983
"Q9Y5X9","20250914_FJ_FQ_F51","Short exposure",8.76119125717442
"Q9Y5X9","20250914_FJ_FQ_F53","Control",7.59897048089447
"Q9Y5X9","20250914_FJ_FQ_F54","Short exposure",7.96858954517101
"Q9Y5X9","20250914_FJ_FQ_F55","Long exposure",8.15987318408736
"Q9Y5X9","20250914_FJ_FQ_F56","Control",8.89094155786266
"Q9Y5X9","20250914_FJ_FQ_F57","Short exposure",9.20544844370645
"Q9Y5X9","20250914_FJ_FQ_F58","Long exposure",7.18900031453909
"Q9Y5X9","20250914_FJ_FQ_F62","Long exposure",9.17805129776559
"Q9Y5X9","20250914_FJ_FQ_F66","Control",8.00767491279369
"Q9Y5X9","20250914_FJ_FQ_F69","Long exposure",8.16140132955096
"Q9Y5X9","20250914_FJ_FQ_F70","Control",9.69011054112419
"Q9Y5X9","20250914_FJ_FQ_F71","Long exposure",7.9329303715286
"Q9Y5X9","20250914_FJ_FQ_F72","Short exposure",9.6417904795098
"Q9Y5X9","20250914_FJ_FQ_F74","Short exposure",7.07325295976251
"Q9Y5X9","20250914_FJ_FQ_F75","Long exposure",7.98420982349743
"Q9Y5X9","20250914_FJ_FQ_F77","Short exposure",
"Q9Y5X9","20250914_FJ_FQ_F79","Long exposure",7.92684313592297
"Q9Y5X9","20250914_FJ_FQ_F81","Long exposure",7.5894394787139
"Q9Y5X9","20250914_FJ_FQ_F83","Short exposure",7.67595100470597
"Q9Y5X9","20250914_FJ_FQ_F84","Short exposure",8.656906849061
"Q9Y5X9","20250914_FJ_FQ_F85","Long exposure",8.63826244492449
"Q9Y5X9","20250914_FJ_FQ_F88","Long exposure",8.14677266020582
"Q9Y5X9","20250914_FJ_FQ_F89","Long exposure",7.22834986758823
"Q9Y5X9","20250914_FJ_FQ_F93","Short exposure",8.82655663333603
"Q9Y5X9","20250914_FJ_FQ_F94","Control",7.33676709226164
"Q9Y5X9","20250914_FJ_FQ_F102","Long exposure",8.481169484546
"Q9Y5X9","20250914_FJ_FQ_F105","Long exposure",8.64423983893257
"Q9Y5X9","20250914_FJ_FQ_F106","Long exposure",8.60602639605585
"Q9Y5X9","20250914_FJ_FQ_F107","Short exposure",9.15444792110429
"Q9Y5X9","20250914_FJ_FQ_F110","Long exposure",8.34756027608048
"Q9Y5X9","20250914_FJ_FQ_F111","Short exposure",6.93781209836274
"Q9Y5X9","20250914_FJ_FQ_F118","Short exposure",8.45972627300018
"Q9Y5X9","20250914_FJ_FQ_F121","Long exposure",9.6052778475751
"Q9Y5X9","20250914_FJ_FQ_F122","Long exposure",8.61181336193105
"Q9Y5X9","20250914_FJ_FQ_F123","Long exposure",8.45751953103667
"Q9Y5X9","20250914_FJ_FQ_F124","Long exposure",8.42808588497502
"Q9Y5X9","20250914_FJ_FQ_F125","Long exposure",8.60044572685998
"Q9Y5X9","20250914_FJ_FQ_F126","Long exposure",
"Q9Y5X9","20250914_FJ_FQ_F128","Short exposure",8.88055489379519
"Q9Y5X9","20250914_FJ_FQ_F129","Long exposure",7.31085252126304
"Q9Y5X9","20250914_FJ_FQ_F131","Control",8.37644365122177
"Q9Y5X9","20250914_FJ_FQ_F135","Long exposure",8.95866740376869
"Q9Y5X9","20250914_FJ_FQ_F137","Control",10.1934199311372
"Q9Y5X9","20250914_FJ_PT_P2","Control",7.69011491155113
"Q9Y5X9","20250914_FJ_PT_P3","Control",8.38540810160238
"Q9Y5X9","20250914_FJ_PT_P4","Short exposure",7.87922481515456
"Q9Y5X9","20250914_FJ_PT_P6","Long exposure",7.61503102983354
"Q9Y5X9","20250914_FJ_PT_P7","Control",8.90807536756302
"Q9Y5X9","20250914_FJ_PT_P8","Short exposure",7.85294186653878
