"Contrast","Evidence","Abundance_status","Detection_analysis_status","N_proteins"
"Low_vs_Control","Abundance-only","tested","ok",2
"Low_vs_Control","Detection-only","tested","ok",1
"Low_vs_Control","Neither","tested","ok",768
"Low_vs_Control","Not jointly evaluable","outside_core_quantitative_set","ok",414
"Low_vs_Control","Not jointly evaluable","outside_core_quantitative_set","outside_detection_analysis_universe",1969
"Low_vs_Control","Not jointly evaluable","tested","constant_detection",481
"Low_vs_Control","Not jointly evaluable","tested","full_model_separation_no_finite_MLE",182
"High_vs_Control","Neither","tested","ok",771
"High_vs_Control","Not jointly evaluable","outside_core_quantitative_set","ok",414
"High_vs_Control","Not jointly evaluable","outside_core_quantitative_set","outside_detection_analysis_universe",1969
"High_vs_Control","Not jointly evaluable","tested","constant_detection",481
"High_vs_Control","Not jointly evaluable","tested","full_model_separation_no_finite_MLE",182
"High_vs_Low","Abundance-only","tested","ok",67
"High_vs_Low","Neither","tested","ok",704
"High_vs_Low","Not jointly evaluable","outside_core_quantitative_set","ok",414
"High_vs_Low","Not jointly evaluable","outside_core_quantitative_set","outside_detection_analysis_universe",1969
"High_vs_Low","Not jointly evaluable","tested","constant_detection",481
"High_vs_Low","Not jointly evaluable","tested","full_model_separation_no_finite_MLE",182
