"Protein","UniqueSampleID","Exposure","Log2_abundance"
"Q8TC71","20250913_FJ_QZ_Q3","Short exposure",
"Q8TC71","20250913_FJ_QZ_Q4","Control",11.7928965124601
"Q8TC71","20250913_FJ_QZ_Q12","Control",12.3892399446837
"Q8TC71","20250913_FJ_QZ_Q13","Control",
"Q8TC71","20250913_FJ_QZ_Q14","Control",12.0824796163254
"Q8TC71","20250913_FJ_QZ_Q15","Control",
"Q8TC71","20250913_FJ_QZ_Q16","Control",10.4340870707237
"Q8TC71","20250913_FJ_QZ_Q18","Control",11.7832315710886
"Q8TC71","20250913_FJ_QZ_Q20","Control",11.5938362881331
"Q8TC71","20250913_FJ_QZ_Q21","Control",
"Q8TC71","20250913_FJ_QZ_Q22","Control",
"Q8TC71","20250913_FJ_QZ_Q23","Control",
"Q8TC71","20250913_FJ_QZ_Q25","Control",
"Q8TC71","20250913_FJ_QZ_Q26","Control",
"Q8TC71","20250913_FJ_QZ_Q27","Control",
"Q8TC71","20250913_FJ_QZ_Q28","Control",12.0984260276143
"Q8TC71","20250913_FJ_QZ_Q29","Control",11.0214392101011
"Q8TC71","20250913_FJ_QZ_Q31","Long exposure",10.5364081370755
"Q8TC71","20250913_FJ_QZ_Q32","Long exposure",11.9720944071862
"Q8TC71","20250913_FJ_QZ_Q33","Long exposure",12.5764497471217
"Q8TC71","20250913_FJ_QZ_Q34","Long exposure",12.4192460476692
"Q8TC71","20250913_FJ_QZ_Q36","Short exposure",12.010037338163
"Q8TC71","20250913_FJ_QZ_Q37","Long exposure",12.2616773119168
"Q8TC71","20250913_FJ_QZ_Q38","Short exposure",
"Q8TC71","20250913_FJ_QZ_Q39","Long exposure",14.0505576342125
"Q8TC71","20250913_FJ_QZ_Q41","Long exposure",13.6604354479818
"Q8TC71","20250913_FJ_QZ_Q42","Long exposure",13.0174916579103
"Q8TC71","20250913_FJ_QZ_Q44","Short exposure",14.5259303207683
"Q8TC71","20250913_FJ_QZ_Q45","Short exposure",12.2923300591044
"Q8TC71","20250913_FJ_QZ_Q48","Short exposure",12.7174781285579
"Q8TC71","20250913_FJ_QZ_Q49","Short exposure",12.8867915270491
"Q8TC71","20250913_FJ_QZ_Q50","Control",15.2273985432593
"Q8TC71","20250913_FJ_QZ_Q52","Short exposure",13.0158687839234
"Q8TC71","20250913_FJ_QZ_Q54","Control",
"Q8TC71","20250913_FJ_QZ_Q55","Control",
"Q8TC71","20250913_FJ_QZ_Q57","Control",
"Q8TC71","20250913_FJ_QZ_Q58","Short exposure",13.3378403220313
"Q8TC71","20250913_FJ_QZ_Q59","Short exposure",13.5486683622599
"Q8TC71","20250913_FJ_QZ_Q60","Short exposure",
"Q8TC71","20250913_FJ_QZ_Q61","Control",12.9766084343422
"Q8TC71","20250913_FJ_QZ_Q62","Control",
"Q8TC71","20250913_FJ_QZ_Q63","Control",13.233412542213
"Q8TC71","20250913_FJ_QZ_Q65","Control",13.7477236238182
"Q8TC71","20250913_FJ_QZ_Q66","Short exposure",14.3885067624677
"Q8TC71","20250913_FJ_QZ_Q67","Short exposure",12.8551363274053
"Q8TC71","20250913_FJ_QZ_Q68","Control",15.5604368637922
"Q8TC71","20250913_FJ_QZ_Q69","Control",
"Q8TC71","20250913_FJ_QZ_Q70","Control",11.3014874033989
"Q8TC71","20250913_FJ_QZ_Q71","Control",12.5748908631569
"Q8TC71","20250913_FJ_QZ_Q72","Short exposure",13.2660237188484
"Q8TC71","20250914_FJ_FQ_F47","Short exposure",13.0412378625216
"Q8TC71","20250914_FJ_FQ_F51","Short exposure",14.203728554038
"Q8TC71","20250914_FJ_FQ_F53","Control",
"Q8TC71","20250914_FJ_FQ_F54","Short exposure",13.8886931829365
"Q8TC71","20250914_FJ_FQ_F55","Long exposure",13.3269320818174
"Q8TC71","20250914_FJ_FQ_F56","Control",
"Q8TC71","20250914_FJ_FQ_F57","Short exposure",14.5674926384875
"Q8TC71","20250914_FJ_FQ_F58","Long exposure",13.2197688250759
"Q8TC71","20250914_FJ_FQ_F62","Long exposure",12.6404293105318
"Q8TC71","20250914_FJ_FQ_F66","Control",
"Q8TC71","20250914_FJ_FQ_F69","Long exposure",
"Q8TC71","20250914_FJ_FQ_F70","Control",
"Q8TC71","20250914_FJ_FQ_F71","Long exposure",
"Q8TC71","20250914_FJ_FQ_F72","Short exposure",13.5551434220577
"Q8TC71","20250914_FJ_FQ_F74","Short exposure",12.6730845256268
"Q8TC71","20250914_FJ_FQ_F75","Long exposure",12.3840742610712
"Q8TC71","20250914_FJ_FQ_F77","Short exposure",10.2358348578955
"Q8TC71","20250914_FJ_FQ_F79","Long exposure",12.7276571997415
"Q8TC71","20250914_FJ_FQ_F81","Long exposure",11.8670126642748
"Q8TC71","20250914_FJ_FQ_F83","Short exposure",13.1352383296113
"Q8TC71","20250914_FJ_FQ_F84","Short exposure",12.8472069651063
"Q8TC71","20250914_FJ_FQ_F85","Long exposure",13.7539629329818
"Q8TC71","20250914_FJ_FQ_F88","Long exposure",12.0788891087919
"Q8TC71","20250914_FJ_FQ_F89","Long exposure",12.6806343409146
"Q8TC71","20250914_FJ_FQ_F93","Short exposure",14.6776794303189
"Q8TC71","20250914_FJ_FQ_F94","Control",
"Q8TC71","20250914_FJ_FQ_F102","Long exposure",
"Q8TC71","20250914_FJ_FQ_F105","Long exposure",12.8602187811949
"Q8TC71","20250914_FJ_FQ_F106","Long exposure",12.5674425031867
"Q8TC71","20250914_FJ_FQ_F107","Short exposure",
"Q8TC71","20250914_FJ_FQ_F110","Long exposure",
"Q8TC71","20250914_FJ_FQ_F111","Short exposure",11.3626368071101
