"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank","Protein_label"
"Q9Y5X9","Low_vs_Control",0.390940972296345,8.29807601065005,4.73853877173527,2.79327226176606e-06,0.00400555242337253,4.31963821385325,TRUE,0.0825024318948817,511.586669375703,0.553026229609267,0.228855714983423,"moderated_fit_95pct_CI","FDR < 0.05",1392,"Q9Y5X9"
"Q6EMK4","Low_vs_Control",0.306529480534664,10.3663343732983,4.41063992510743,1.25391827418903e-05,0.00899059402593535,2.97587536630804,TRUE,0.0694977340566284,518.586669375703,0.443061183878011,0.169997777191317,"moderated_fit_95pct_CI","FDR < 0.05",1325,"Q6EMK4"
"P05090","Low_vs_Control",0.324495885047277,12.5090928069042,4.26566396006255,2.36923863024118e-05,0.0113249606525528,2.40766713942072,TRUE,0.0760716005961516,518.586669375703,0.473942271270236,0.175049498824318,"moderated_fit_95pct_CI","FDR < 0.05",1349,"P05090"
"P08195","Low_vs_Control",0.349959956723101,7.34264566609518,3.94229125887558,9.1897105136716e-05,0.0219634081276751,1.20310531886214,TRUE,0.0887707005247798,513.586669375703,0.524358318562,0.175561594884202,"moderated_fit_95pct_CI","FDR < 0.05",1371,"P08195"
"P58335","Low_vs_Control",0.325900030842005,9.06891161186794,3.98218397077231,7.8041768250482e-05,0.0219634081276751,1.34770339400332,TRUE,0.081839521537424,518.586669375703,0.486677780332434,0.165122281351576,"moderated_fit_95pct_CI","FDR < 0.05",1351,"P58335"
"Q9H6X2","Low_vs_Control",0.364567462551566,8.48097339830864,3.98006511652171,7.87197183144164e-05,0.0219634081276751,1.34003715674212,TRUE,0.0915983663277781,518.586669375703,0.544516940731807,0.184617984371325,"moderated_fit_95pct_CI","FDR < 0.05",1381,"Q9H6X2"
"P04278","Low_vs_Control",0.398281612493626,10.6527842920064,3.85831379250255,0.000128557953632616,0.0263360150727388,0.905960924701656,TRUE,0.103226858651975,518.586669375703,0.601075833540504,0.195487391446748,"moderated_fit_95pct_CI","FDR < 0.05",1395,"P04278"
"Q9H8L6","Low_vs_Control",0.374462799030914,10.7485586581377,3.80416727942258,0.00015923621259817,0.028543091108222,0.716988102708331,TRUE,0.0984348929807715,518.586669375703,0.567842968751757,0.181082629310071,"moderated_fit_95pct_CI","FDR < 0.05",1387,"Q9H8L6"
"Q96IY4","Low_vs_Control",0.283058318481842,12.6369758746046,3.76440264928577,0.000186034909753646,0.0296415622874143,0.579811269854408,TRUE,0.0751934223974546,518.586669375703,0.430779480610309,0.135337156353375,"moderated_fit_95pct_CI","FDR < 0.05",1287,"Q96IY4"
"P04180","Low_vs_Control",0.305152860987066,11.8711718459701,3.71209231876348,0.000227798701474036,0.0326663337913768,0.401427250786371,TRUE,0.0822050840289215,518.586669375703,0.466648775901448,0.143656946072684,"moderated_fit_95pct_CI","FDR < 0.05",1320,"P04180"
"P15291","Low_vs_Control",0.285542255211285,8.76843422974652,3.65560753972062,0.000282726574353447,0.0337858256352369,0.211457492343692,TRUE,0.0781107523465462,518.586669375703,0.438994654948729,0.132089855473841,"moderated_fit_95pct_CI","FDR < 0.05",1298,"P15291"
"Q96PD5","Low_vs_Control",0.354389910509507,12.8582879207523,3.66631062869593,0.000271445410629512,0.0337858256352369,0.247242565297145,TRUE,0.0966611796981208,518.586669375703,0.544285533589942,0.164494287429072,"moderated_fit_95pct_CI","FDR < 0.05",1373,"Q96PD5"
