"Protein","N_observed_Control","N_total_Control","N_observed_Short","N_total_Short","N_observed_Long","N_total_Long","Short_minus_Control","Long_minus_Short","Long_minus_Control","Pattern","logFC","adj.P.Val","Pattern_version","Tolerance_log2","Baseline","Exposure","Abundance","Centered_log2"
"O14786",153,153,186,186,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression",-0.293258576953324,0.00236141885577988,"2.0",0.05,14.1064389710838,"Control",14.1688947321773,0.0624557610935348
"O14786",153,153,186,186,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression",-0.293258576953324,0.00236141885577988,"2.0",0.05,14.1064389710838,"Short",14.2126627307296,0.10622375964587
"O14786",153,153,186,186,176,176,0.0437679985523349,-0.274903280385276,-0.231135281832941,"Long_suppression",-0.293258576953324,0.00236141885577988,"2.0",0.05,14.1064389710838,"Long",13.9377594503444,-0.168679520739406
"P16871",153,153,186,186,176,176,-0.00992338550527805,-0.232156386384741,-0.242079771890019,"Long_suppression",-0.300120345626206,0.0176252027347758,"2.0",0.05,10.2893881841952,"Control",10.3733892366603,0.0840010524650978
"P16871",153,153,186,186,176,176,-0.00992338550527805,-0.232156386384741,-0.242079771890019,"Long_suppression",-0.300120345626206,0.0176252027347758,"2.0",0.05,10.2893881841952,"Short",10.3634658511551,0.0740776669598198
"P16871",153,153,186,186,176,176,-0.00992338550527805,-0.232156386384741,-0.242079771890019,"Long_suppression",-0.300120345626206,0.0176252027347758,"2.0",0.05,10.2893881841952,"Long",10.1313094647703,-0.158078719424921
"P32942",153,153,186,186,176,176,0.0214010543273861,-0.253647336459647,-0.232246282132261,"Long_suppression",-0.245322274199392,0.0184610984350618,"2.0",0.05,9.77974656120079,"Control",9.85002830380242,0.0702817426016242
"P32942",153,153,186,186,176,176,0.0214010543273861,-0.253647336459647,-0.232246282132261,"Long_suppression",-0.245322274199392,0.0184610984350618,"2.0",0.05,9.77974656120079,"Short",9.8714293581298,0.0916827969290104
"P32942",153,153,186,186,176,176,0.0214010543273861,-0.253647336459647,-0.232246282132261,"Long_suppression",-0.245322274199392,0.0184610984350618,"2.0",0.05,9.77974656120079,"Long",9.61778202167016,-0.161964539530636
"P21810",153,153,186,186,176,176,0.0380943844546859,-0.25556272995108,-0.217468345496394,"Long_suppression",-0.255156077599995,0.0198609095611421,"2.0",0.05,10.8049185391422,"Control",10.8647098594895,0.0597913203472373
"P21810",153,153,186,186,176,176,0.0380943844546859,-0.25556272995108,-0.217468345496394,"Long_suppression",-0.255156077599995,0.0198609095611421,"2.0",0.05,10.8049185391422,"Short",10.9028042439442,0.0978857048019233
"P21810",153,153,186,186,176,176,0.0380943844546859,-0.25556272995108,-0.217468345496394,"Long_suppression",-0.255156077599995,0.0198609095611421,"2.0",0.05,10.8049185391422,"Long",10.6472415139931,-0.157677025149157
"Q99969",153,153,186,186,176,176,0.022683161744963,-0.195449699094059,-0.172766537349096,"Long_suppression",-0.2734710909269,0.029026832214738,"2.0",0.05,12.6748744347938,"Control",12.7249022266619,0.0500277918680432
"Q99969",153,153,186,186,176,176,0.022683161744963,-0.195449699094059,-0.172766537349096,"Long_suppression",-0.2734710909269,0.029026832214738,"2.0",0.05,12.6748744347938,"Short",12.7475853884068,0.0727109536130062
"Q99969",153,153,186,186,176,176,0.022683161744963,-0.195449699094059,-0.172766537349096,"Long_suppression",-0.2734710909269,0.029026832214738,"2.0",0.05,12.6748744347938,"Long",12.5521356893128,-0.122738745481053
"P08238",153,153,186,186,176,176,0.032395160330374,-0.231885824285117,-0.199490663954743,"Long_suppression",-0.234764218216146,0.0381900572030871,"2.0",0.05,12.9440484813587,"Control",12.9997469825668,0.0556985012081217
"P08238",153,153,186,186,176,176,0.032395160330374,-0.231885824285117,-0.199490663954743,"Long_suppression",-0.234764218216146,0.0381900572030871,"2.0",0.05,12.9440484813587,"Short",13.0321421428972,0.0880936615384957
"P08238",153,153,186,186,176,176,0.032395160330374,-0.231885824285117,-0.199490663954743,"Long_suppression",-0.234764218216146,0.0381900572030871,"2.0",0.05,12.9440484813587,"Long",12.8002563186121,-0.143792162746621
"P07333",153,153,186,186,176,176,-0.0391433080038173,-0.230011890312293,-0.26915519831611,"Long_suppression",-0.233644655041504,0.0481355782757968,"2.0",0.05,11.7140958536796,"Control",11.8168620224529,0.102766168773311
"P07333",153,153,186,186,176,176,-0.0391433080038173,-0.230011890312293,-0.26915519831611,"Long_suppression",-0.233644655041504,0.0481355782757968,"2.0",0.05,11.7140958536796,"Short",11.7777187144491,0.0636228607694935
"P07333",153,153,186,186,176,176,-0.0391433080038173,-0.230011890312293,-0.26915519831611,"Long_suppression",-0.233644655041504,0.0481355782757968,"2.0",0.05,11.7140958536796,"Long",11.5477068241368,-0.166389029542799
