"Protein","Cluster","logFC","adj.P.Val"
"P16112",1,-0.485827645913437,0.00222043175614817
"Q08378",2,-0.442043249452322,0.00222043175614817
"Q92696",3,-0.464069862261104,0.00222043175614817
"P13591",1,-0.377030017430075,0.00222043175614817
"Q8TB73",1,-0.420930130056909,0.00222043175614817
"P07585",1,-0.303334431128075,0.00222043175614817
"O14594",2,-0.338048803475971,0.00222043175614817
"O14786",1,-0.293258576953324,0.00236141885577988
"Q9Y240",1,-0.379634582288464,0.00236141885577988
"P98160",1,-0.331180140853975,0.00236141885577988
"Q99983",1,-0.405920109753758,0.00236141885577988
"P05090",1,-0.310231470196234,0.00281842874659094
"Q13316",1,-0.362469661182347,0.00281842874659094
"O75752",1,-0.255696667271577,0.00281842874659094
"Q92859",1,-0.335777933302136,0.00294029176268442
"O75487",1,-0.342779620231813,0.00317808047041317
"Q14520",1,-0.344859582489377,0.00320865829552815
"P28482",3,-0.482759223999901,0.00320865829552815
"Q6UWP8",2,-0.434119086010783,0.00320865829552815
"Q06828",1,-0.290548621602927,0.00320865829552815
"P22466",2,-0.551231399747444,0.00333617930149253
"Q14956",4,-0.407432461317501,0.00333617930149253
"P49746",1,-0.346564228366676,0.00333617930149253
"O15335",1,-0.366008636182293,0.00333617930149253
"P35052",1,-0.290024136196072,0.00333617930149253
"Q99715",1,-0.320290009890424,0.00333617930149253
"O00468",2,-0.276281453354587,0.00336698512263927
"Q7LGC8",1,-0.278969044252412,0.00354711847400752
"Q9NR99",1,-0.290871863924691,0.00354711847400752
"P09603",1,-0.299395117325982,0.00377185485648467
"Q0VD83",1,-0.342918078277039,0.00377185485648467
"Q8NG11",1,-0.346357582439577,0.00377185485648467
"Q9UKM7",1,-0.326302054051277,0.0038308820800138
"Q6ZRP7",2,-0.361076103515192,0.00409842065051398
"P78539",1,-0.300069477399235,0.00409842065051398
"Q13103",2,-0.30571895391865,0.00409842065051398
"P35443",1,-0.352856303425291,0.00412576332939874
"Q14515",1,-0.323722684974175,0.00435901778539578
"Q9BYH1",2,-0.310548175266486,0.00435901778539578
"P28906",1,-0.360813359055095,0.00435901778539578
"P04004",2,-0.272652972367123,0.0044124299371178
"Q6P4E1",1,-0.2898375651728,0.00441702037030292
"O95196",1,-0.320096612381255,0.00443006302497877
"Q5JRA6",1,-0.329167581397352,0.00443006302497877
"Q9H251",1,-0.340042349521346,0.00443006302497877
"P08294",1,-0.314605377643598,0.00443006302497877
"P08493",1,-0.31932544773318,0.00443006302497877
"Q8IUX7",1,-0.291694663019666,0.00464220544740407
"P49747",1,-0.318139621116435,0.00499848821147557
"Q9HC84",1,-0.558904752870545,0.00513533483371889
"Q8IZF2",1,-0.285626412674647,0.00513533483371889
"P09326",1,-0.382030297331022,0.0055795634154485
"P07359",2,-0.272122274218855,0.0055795634154485
"Q13444",2,-0.458229327159033,0.00602766489305162
"P19256",4,-0.30410409387196,0.00668058606099324
